conteo,tupla,X,L,M,T
1,1|2|3|10,176.0,123,123|229,123|229
1,1|2|3|31,176.0,123,123|229,123|229
1,1|2|4|5,176.0,278,278|74,278|74
1,1|2|4|13,176.0,278,278|74,278|74
1,1|2|5|13,176.0,278,278|74,278|74
1,1|2|10|31,176.0,123,123|229,123|229
1,1|2|15|36,176.0,0,0|352,0|352
1,1|2|15|39,176.0,0,0|352,0|352
1,1|2|20|31,176.0,312,312|40,312|40
1,1|2|20|43,176.0,312,312|40,312|40
1,1|2|22|29,176.0,133,133|219,133|219
1,1|2|22|42,176.0,133,133|219,133|219
1,1|2|25|31,176.0,351,351|1,351|1
1,1|2|25|33,176.0,351,351|1,351|1
1,1|2|29|42,176.0,133,133|219,133|219
1,1|2|31|33,176.0,351,351|1,351|1
1,1|2|31|43,176.0,312,312|40,312|40
1,1|2|33|34,176.0,279,279|73,279|73
1,1|2|33|41,176.0,279,279|73,279|73
1,1|2|34|41,176.0,279,279|73,279|73
1,1|2|36|39,176.0,0,0|352,0|352
1,1|3|8|28,176.0,33,33|319,33|319
1,1|3|8|41,176.0,33,33|319,33|319
1,1|3|10|31,176.0,123,123|229,123|229
1,1|3|17|23,176.0,132,132|220,132|220
1,1|3|17|32,176.0,132,132|220,132|220
1,1|3|23|32,176.0,132,132|220,132|220
1,1|3|28|41,176.0,33,33|319,33|319
1,1|4|5|13,176.0,278,278|74,278|74
1,1|4|8|11,176.0,52,52|300,52|300
1,1|4|8|19,176.0,141,141|211,141|211
1,1|4|8|22,176.0,131,131|221,131|221
1,1|4|8|27,176.0,141,141|211,141|211
1,1|4|8|36,176.0,52,52|300,52|300
1,1|4|8|37,176.0,131,131|221,131|221
1,1|4|11|36,176.0,52,52|300,52|300
1,1|4|13|23,176.0,314,314|38,314|38
1,1|4|13|33,176.0,314,314|38,314|38
1,1|4|14|21,176.0,270,270|82,270|82
1,1|4|14|42,176.0,270,270|82,270|82
1,1|4|18|21,176.0,234,234|118,234|118
1,1|4|18|42,176.0,234,234|118,234|118
1,1|4|19|27,176.0,141,141|211,141|211
1,1|4|21|30,176.0,139,139|213,139|213
2,1|4|21|42,117.33333333333333,234,234|36|82,234|36|82
1,1|4|21|43,176.0,139,139|213,139|213
1,1|4|22|37,176.0,131,131|221,131|221
1,1|4|23|33,176.0,314,314|38,314|38
1,1|4|29|32,176.0,68,68|284,68|284
1,1|4|29|33,176.0,68,68|284,68|284
1,1|4|30|43,176.0,139,139|213,139|213
1,1|4|32|33,176.0,68,68|284,68|284
1,1|5|6|8,176.0,163,163|189,163|189
1,1|5|6|13,176.0,318,318|34,318|34
1,1|5|6|26,176.0,318,318|34,318|34
1,1|5|6|27,176.0,163,163|189,163|189
1,1|5|8|27,176.0,163,163|189,163|189
1,1|5|9|29,176.0,277,277|75,277|75
1,1|5|9|42,176.0,277,277|75,277|75
1,1|5|13|26,176.0,318,318|34,318|34
1,1|5|18|38,176.0,4,4|348,4|348
1,1|5|18|41,176.0,4,4|348,4|348
1,1|5|29|42,176.0,277,277|75,277|75
1,1|5|38|41,176.0,4,4|348,4|348
1,1|6|8|27,176.0,163,163|189,163|189
1,1|6|12|18,176.0,316,316|36,316|36
1,1|6|12|36,176.0,316,316|36,316|36
