conteo,tupla,X,L,M,T
8,1|2,70.4,26,26|76|144|67|39,26|76|144|67|39
6,1|3,88.0,35,35|222|77|18,35|222|77|18
8,1|4,70.4,15,15|158|82|29|68,15|158|82|29|68
12,1|5,39.111111111111114,26,26|14|17|45|27|95|22|38|68,26|14|17|45|27|95|22|38|68
3,1|6,117.33333333333333,189,189|68|95,189|68|95
4,1|7,88.0,98,98|215|21|18,98|215|21|18
10,1|8,50.285714285714285,76,76|53|26|1|17|7|172,76|53|26|1|17|7|172
7,1|9,70.4,9,9|63|4|99|177,9|63|4|99|177
7,1|10,58.666666666666664,15,15|68|72|25|110|62,15|68|72|25|110|62
10,1|11,58.666666666666664,14,41,14|41|177|41|56|23
8,1|12,58.666666666666664,91,91|53|12|24|84|88,91|53|12|24|84|88
4,1|13,88.0,144,144|80|3|125,144|80|3|125
8,1|14,44.0,15,15|139|2|17|59|14|44|62,15|139|2|17|59|14|44|62
7,1|15,50.285714285714285,40,40|17|26|72|27|50|120,40|17|26|72|27|50|120
1,1|16,176.0,334,334|18,334|18
2,1|17,117.33333333333333,175,175|14|163,175|14|163
3,1|18,88.0,9,9|48|200|95,9|48|200|95
5,1|19,70.4,90,90|8|46|185|23,90|8|46|185|23
9,1|20,39.111111111111114,72,72|11|46|98|30|7|65|16|7,72|11|46|98|30|7|65|16|7
2,1|21,117.33333333333333,102,102|171|79,102|171|79
4,1|22,70.4,76,76|22|126|3|125,76|22|126|3|125
8,1|23,44.0,9,9|18|28|21|15|133|60|68,9|18|28|21|15|133|60|68
3,1|24,88.0,14,14|13|155|170,14|13|155|170
3,1|25,88.0,15,15|249|81|7,15|249|81|7
3,1|26,88.0,27,27|162|95|68,27|162|95|68
2,1|27,117.33333333333333,144,144|201|7,144|201|7
2,1|28,117.33333333333333,83,83|230|39,83|230|39
3,1|29,88.0,91,91|38|53|170,91|38|53|170
5,1|30,58.666666666666664,26,26|14|15|101|90|106,26|14|15|101|90|106
2,1|31,117.33333333333333,90,90|64|198,90|64|198
4,1|32,70.4,14,14|41|172|107|18,14|41|172|107|18
3,1|33,88.0,72,72|103|7|170,72|103|7|170
4,1|34,70.4,98,98|56|136|55|7,98|56|136|55|7
3,1|35,88.0,102,102|87|75|88,102|87|75|88
3,1|36,88.0,35,35|55|165|97,35|55|165|97
3,1|37,88.0,255,255|18|56|23,255|18|56|23
4,1|38,70.4,9,9|82|182|40|39,9|82|182|40|39
3,1|39,88.0,14,14|21|22|295,14|21|22|295
7,1|40,50.285714285714285,35,35|5|115|23|2|52|120,35|5|115|23|2|52|120
4,1|41,70.4,72,72|18|83|5|174,72|18|83|5|174
5,1|42,58.666666666666664,27,27|127|21|3|112|62,27|127|21|3|112|62
3,1|43,88.0,26,26|152|77|97,26|152|77|97
10,2|3,58.666666666666664,41,41|74|13|105|54|65,41|74|13|105|54|65
10,2|4,58.666666666666664,21,21|58|42|64|120|47,21|58|42|64|120|47
9,2|5,50.285714285714285,26,26|56|20|24|81|39|106,26|56|20|24|81|39|106
13,2|6,44.0,21,21|155|96|3|7|36|4|30,21|155|96|3|7|36|4|30
7,2|7,70.4,54,54|41|10|208|39,54|41|10|208|39
10,2|8,44.0,41,41|163|16|55|12|2|33|30,41|163|16|55|12|2|33|30
6,2|9,88.0,34,34|111|5|202,34|111|5|202
9,2|10,50.285714285714285,34,34|18|10|16|37|167|70,34|18|10|16|37|167|70
4,2|11,88.0,52,52|210|27|63,52|210|27|63
6,2|12,58.666666666666664,126,126|2|105|68|21|30,126|2|105|68|21|30
2,2|13,117.33333333333333,62,62|20|270,62|20|270
7,2|14,58.666666666666664,49,49|197|26|16|30|34,49|197|26|16|30|34
10,2|15,44.0,20,20|34|88|3|127|10|28|42,20|34|88|3|127|10|28|42
6,2|16,50.285714285714285,21,21|33|8|43|196|9|42,21|33|8|43|196|9|42
3,2|17,88.0,41,41|11|155|145,41|11|155|145
2,2|18,117.33333333333333,79,79|71|202,79|71|202
9,2|19,44.0,41,41|80|40|59|13|29|6|84,41|80|40|59|13|29|6|84
3,2|20,88.0,204,204|3|111|34,204|3|111|34
5,2|21,70.4,102,102|160|40|3|47,102|160|40|3|47
5,2|22,58.666666666666664,52,52|2|122|28|106|42,52|2|122|28|106|42
7,2|23,58.666666666666664,207,207|13|15|4|23|90,207|13|15|4|23|90
4,2|24,70.4,115,115|160|7|19|51,115|160|7|19|51
4,2|25,88.0,100,100|61|78|113,100|61|78|113
7,2|26,44.0,49,5,49|13|33|5|5|56|126|65
8,2|27,39.111111111111114,20,20,20|62|39|114|33|20|17|13|34
10,2|28,32.0,20,15,20|59|21|15|46|15|28|31|75|3|39
5,2|29,58.666666666666664,34,34|15|79|161|33|30,34|15|79|161|33|30
6,2|30,58.666666666666664,26,26|116|3|38|63|106,26|116|3|38|63|106
4,2|31,70.4,34,34|94|22|152|50,34|94|22|152|50
7,2|32,50.285714285714285,95,95|50|34|4|2|104|63,95|50|34|4|2|104|63
4,2|33,70.4,79,79|16|90|54|113,79|16|90|54|113
6,2|34,50.285714285714285,21,21|100|55|3|56|67|50,21|100|55|3|56|67|50
4,2|35,70.4,100,100|2|81|50|119,100|2|81|50|119
3,2|36,88.0,78,78|105|56|113,78|105|56|113
6,2|37,50.285714285714285,78,78,78|64|78|48|7|13|64
3,2|38,88.0,126,126|16|171|39,126|16|171|39
1,2|39,176.0,272,272|80,272|80
6,2|40,50.285714285714285,49,49|29|48|142|19|14|51,49|29|48|142|19|14|51
6,2|41,50.285714285714285,20,20|62|23|74|6|103|64,20|62|23|74|6|103|64
3,2|42,88.0,150,150|152|3|47,150|152|3|47
2,2|43,117.33333333333333,26,26|153|173,26|153|173
8,3|4,70.4,96,96|27|118|106|5,96|27|118|106|5
6,3|5,88.0,160,160|109|79|4,160|109|79|4
7,3|6,70.4,60,60|151|46|35|60,60|151|46|35|60
9,3|7,44.0,60,60|36|64|65|53|14|42|18,60|36|64|65|53|14|42|18
4,3|8,70.4,41,41|200|46|61|4,41|200|46|61|4
7,3|9,70.4,151,151|60|6|135|0,151|60|6|135|0
6,3|10,58.666666666666664,115,115|77|33|53|74|0,115|77|33|53|74|0
2,3|11,176.0,22,22|330,22|330
6,3|12,70.4,31,31|97|105|88|31,31|97|105|88|31
5,3|13,70.4,96,96|64|65|114|13,96|64|65|114|13
3,3|14,117.33333333333333,265,265|56|31,265|56|31
4,3|15,88.0,22,22|85|44|201,22|85|44|201
3,3|16,88.0,160,160|174|5|13,160|174|5|13
6,3|17,70.4,41,41|9|146|73|83,41|9|146|73|83
6,3|18,70.4,135,135|83|39|21|74,135|83|39|21|74
7,3|19,58.666666666666664,13,13|12|16|192|8|111,13|12|16|192|8|111
