conteo,tupla,X,L,M,T
14,1|2,44.0,0,0|123|10|145|1|33|39|1,0|123|10|145|1|33|39|1
5,1|3,88.0,33,33|90|9|220,33|90|9|220
17,1|4,35.2,52,8|36,52|16|63|8|2|93|36|8|36|38
9,1|5,58.666666666666664,4,4|159|114|1|40|34,4|159|114|1|40|34
4,1|6,88.0,163,163|153|2|34,163|153|2|34
10,1|7,58.666666666666664,38,38|27|130|40|95|22,38|27|130|40|95|22
9,1|8,44.0,29,29|4|19|70|9|10|22|189,29|4|19|70|9|10|22|189
5,1|9,88.0,3,3|95|179|75,3|95|179|75
6,1|10,70.4,65,65|58|42|142|45,65|58|42|142|45
4,1|11,88.0,52,52|143|149|8,52|143|149|8
7,1|12,58.666666666666664,215,215|20|15|66|14|22,215|20|15|66|14|22
8,1|13,50.285714285714285,3,3|14|125|136|36|4|34,3|14|125|136|36|4|34
7,1|14,58.666666666666664,29,29|9|19|126|87|82,29|9|19|126|87|82
4,1|15,88.0,0,0|183|4|165,0|183|4|165
2,1|16,117.33333333333333,3,3|192|157,3|192|157
1,1|17,176.0,132,132|220,132|220
9,1|18,44.0,4,4|53|5|121|51|60|22|36,4|53|5|121|51|60|22|36
6,1|19,58.666666666666664,62,62|40|39|46|143|22,62|40|39|46|143|22
4,1|20,88.0,215,215|97|36|4,215|97|36|4
6,1|21,50.285714285714285,122,122|17|48|47|36|60|22,122|17|48|47|36|60|22
6,1|22,58.666666666666664,57,57|74|2|161|29|29,57|74|2|161|29|29
5,1|23,58.666666666666664,29,29|103|33|30|119|38,29|103|33|30|119|38
1,1|24,176.0,17,17|335,17|335
3,1|25,88.0,65,65|118|168|1,65|118|168|1
2,1|26,117.33333333333333,235,235|83|34,235|83|34
7,1|27,50.285714285714285,17,17|48|33|43|22|162|27,17|48|33|43|22|162|27
4,1|28,70.4,33,33|217|57|37|8,33|217|57|37|8
4,1|29,70.4,68,68|30|35|144|75,68|30|35|144|75
4,1|30,70.4,3,3|136|111|44|58,3|136|111|44|58
7,1|31,44.0,102,102|21|189|11|2|19|7|1,102|21|189|11|2|19|7|1
4,1|32,70.4,68,68|64|10|181|29,68|64|10|181|29
