conteo,tupla,X,L,M,T,P,Pr
4,1|2,74,48,48|76|144|67|39,48|76|144|67|39,0.0010666666666666667,0.4447888888888889
3,1|3,93,57,57|222|77|18,57|222|77|18,0.0008,0.44469999999999993
4,1|4,74,37,37|158|82|29|68,37|158|82|29|68,0.0010666666666666667,0.4447888888888889
9,1|5,37,20,20|28|14|17|45|27|95|22|38|68,20|28|14|17|45|27|95|22|38|68,0.0024,0.4452333333333333
2,1|6,124,211,211|68|95,211|68|95,0.0005333333333333334,0.44461111111111107
3,1|7,93,120,120|215|21|18,120|215|21|18,0.0008,0.44469999999999993
6,1|8,53,98,98|53|26|1|17|7|172,98|53|26|1|17|7|172,0.0016,0.4449666666666667
4,1|9,74,31,31|63|4|99|177,31|63|4|99|177,0.0010666666666666667,0.4447888888888889
5,1|10,62,37,37|68|72|25|110|62,37|68|72|25|110|62,0.0013333333333333333,0.44487777777777776
5,1|11,62,36,41,36|41|177|41|56|23,0.0013333333333333333,0.6671111111111111
5,1|12,62,113,113|53|12|24|84|88,113|53|12|24|84|88,0.0013333333333333333,0.44487777777777776
3,1|13,93,166,166|80|3|125,166|80|3|125,0.0008,0.44469999999999993
7,1|14,46,37,37|139|2|17|59|14|44|62,37|139|2|17|59|14|44|62,0.0018666666666666666,0.44505555555555554
6,1|15,53,62,62|17|26|72|27|50|120,62|17|26|72|27|50|120,0.0016,0.4449666666666667
2,1|16,124,20,20|336|18,20|336|18,0.0005333333333333334,0.44461111111111107
2,1|17,124,197,197|14|163,197|14|163,0.0005333333333333334,0.44461111111111107
3,1|18,93,31,31|48|200|95,31|48|200|95,0.0008,0.44469999999999993
4,1|19,74,112,112|8|46|185|23,112|8|46|185|23,0.0010666666666666667,0.4447888888888889
8,1|20,41,94,7,94|11|46|98|30|7|65|16|7,0.0021333333333333334,0.6673777777777778
2,1|21,124,124,124|171|79,124|171|79,0.0005333333333333334,0.44461111111111107
4,1|22,74,98,98|22|126|3|125,98|22|126|3|125,0.0010666666666666667,0.4447888888888889
7,1|23,46,31,31|18|28|21|15|133|60|68,31|18|28|21|15|133|60|68,0.0018666666666666666,0.44505555555555554
3,1|24,93,36,36|13|155|170,36|13|155|170,0.0008,0.44469999999999993
3,1|25,93,37,37|249|81|7,37|249|81|7,0.0008,0.44469999999999993
4,1|26,74,20,20|29|162|95|68,20|29|162|95|68,0.0010666666666666667,0.4447888888888889
2,1|27,124,166,166|201|7,166|201|7,0.0005333333333333334,0.44461111111111107
2,1|28,124,105,105|230|39,105|230|39,0.0005333333333333334,0.44461111111111107
4,1|29,74,20,20|93|38|53|170,20|93|38|53|170,0.0010666666666666667,0.4447888888888889
5,1|30,62,48,48|14|15|101|90|106,48|14|15|101|90|106,0.0013333333333333333,0.44487777777777776
2,1|31,124,112,112|64|198,112|64|198,0.0005333333333333334,0.44461111111111107
4,1|32,74,36,36|41|172|107|18,36|41|172|107|18,0.0010666666666666667,0.4447888888888889
3,1|33,93,94,94|103|7|170,94|103|7|170,0.0008,0.44469999999999993
4,1|34,74,120,120|56|136|55|7,120|56|136|55|7,0.0010666666666666667,0.4447888888888889
3,1|35,93,124,124|87|75|88,124|87|75|88,0.0008,0.44469999999999993
3,1|36,93,57,57|55|165|97,57|55|165|97,0.0008,0.44469999999999993
3,1|37,93,277,277|18|56|23,277|18|56|23,0.0008,0.44469999999999993
4,1|38,74,31,31|82|182|40|39,31|82|182|40|39,0.0010666666666666667,0.4447888888888889
3,1|39,93,36,36|21|22|295,36|21|22|295,0.0008,0.44469999999999993
6,1|40,53,57,57|5|115|23|2|52|120,57|5|115|23|2|52|120,0.0016,0.4449666666666667
4,1|41,74,94,94|18|83|5|174,94|18|83|5|174,0.0010666666666666667,0.4447888888888889
5,1|42,62,49,49|127|21|3|112|62,49|127|21|3|112|62,0.0013333333333333333,0.44487777777777776
3,1|43,93,48,48|152|77|97,48|152|77|97,0.0008,0.44469999999999993
6,2|3,53,12,12|51|74|13|105|54|65,12|51|74|13|105|54|65,0.0016,0.4449666666666667
6,2|4,53,12,12|31|58|42|64|120|47,12|31|58|42|64|120|47,0.0016,0.4449666666666667
7,2|5,46,17,17|31|56|20|24|81|39|106,17|31|56|20|24|81|39|106,0.0018666666666666666,0.44505555555555554
7,2|6,46,43,43|155|96|3|7|36|4|30,43|155|96|3|7|36|4|30,0.0018666666666666666,0.44505555555555554
5,2|7,62,17,17|59|41|10|208|39,17|59|41|10|208|39,0.0013333333333333333,0.44487777777777776
7,2|8,46,63,63|163|16|55|12|2|33|30,63|163|16|55|12|2|33|30,0.0018666666666666666,0.44505555555555554
3,2|9,93,56,56|111|5|202,56|111|5|202,0.0008,0.44469999999999993
6,2|10,53,56,56|18|10|16|37|167|70,56|18|10|16|37|167|70,0.0016,0.4449666666666667
4,2|11,74,12,12|62|210|27|63,12|62|210|27|63,0.0010666666666666667,0.4447888888888889
6,2|12,53,17,17|131|2|105|68|21|30,17|131|2|105|68|21|30,0.0016,0.4449666666666667
2,2|13,124,84,84|20|270,84|20|270,0.0005333333333333334,0.44461111111111107
5,2|14,62,71,71|197|26|16|30|34,71|197|26|16|30|34,0.0013333333333333333,0.44487777777777776
7,2|15,46,42,42,42|34|88|3|127|10|28|42,0.0018666666666666666,0.6672888888888888
6,2|16,53,43,43,43|33|8|43|196|9|42,0.0016,0.6671999999999999
3,2|17,93,63,63|11|155|145,63|11|155|145,0.0008,0.44469999999999993
2,2|18,124,101,101|71|202,101|71|202,0.0005333333333333334,0.44461111111111107
7,2|19,46,63,63|80|40|59|13|29|6|84,63|80|40|59|13|29|6|84,0.0018666666666666666,0.44505555555555554
3,2|20,93,226,226|3|111|34,226|3|111|34,0.0008,0.44469999999999993
4,2|21,74,124,124|160|40|3|47,124|160|40|3|47,0.0010666666666666667,0.4447888888888889
6,2|22,53,17,17|57|2|122|28|106|42,17|57|2|122|28|106|42,0.0016,0.4449666666666667
5,2|23,62,229,229|13|15|4|23|90,229|13|15|4|23|90,0.0013333333333333333,0.44487777777777776
4,2|24,74,137,137|160|7|19|51,137|160|7|19|51,0.0010666666666666667,0.4447888888888889
3,2|25,93,122,122|61|78|113,122|61|78|113,0.0008,0.44469999999999993
7,2|26,46,71,5,71|13|33|5|5|56|126|65,0.0018666666666666666,0.6672888888888888
8,2|27,41,42,42|62|39|114|33|20|17|13|34,42|62|39|114|33|20|17|13|34,0.0021333333333333334,0.4451444444444444
10,2|28,34,42,15,42|59|21|15|46|15|28|31|75|3|39,0.0026666666666666666,0.6675555555555556
5,2|29,62,56,56|15|79|161|33|30,56|15|79|161|33|30,0.0013333333333333333,0.44487777777777776
5,2|30,62,48,48|116|3|38|63|106,48|116|3|38|63|106,0.0013333333333333333,0.44487777777777776
4,2|31,74,56,56|94|22|152|50,56|94|22|152|50,0.0010666666666666667,0.4447888888888889
6,2|32,53,117,117|50|34|4|2|104|63,117|50|34|4|2|104|63,0.0016,0.4449666666666667
5,2|33,62,12,12|89|16|90|54|113,12|89|16|90|54|113,0.0013333333333333333,0.44487777777777776
6,2|34,53,43,43|100|55|3|56|67|50,43|100|55|3|56|67|50,0.0016,0.4449666666666667
4,2|35,74,122,122|2|81|50|119,122|2|81|50|119,0.0010666666666666667,0.4447888888888889
3,2|36,93,100,100|105|56|113,100|105|56|113,0.0008,0.44469999999999993
6,2|37,53,100,64,100|64|78|48|7|13|64,0.0016,0.6671999999999999
3,2|38,93,148,148|16|171|39,148|16|171|39,0.0008,0.44469999999999993
1,2|39,187,294,294|80,294|80,0.0002666666666666667,0.4445222222222222
6,2|40,53,71,71|29|48|142|19|14|51,71|29|48|142|19|14|51,0.0016,0.4449666666666667
6,2|41,53,42,42|62|23|74|6|103|64,42|62|23|74|6|103|64,0.0016,0.4449666666666667
3,2|42,93,172,172|152|3|47,172|152|3|47,0.0008,0.44469999999999993
2,2|43,124,48,48|153|173,48|153|173,0.0005333333333333334,0.44461111111111107
5,3|4,62,12,106,12|106|27|118|106|5,0.0013333333333333333,0.6671111111111111
3,3|5,93,182,182|109|79|4,182|109|79|4,0.0008,0.44469999999999993
4,3|6,74,82,82|151|46|35|60,82|151|46|35|60,0.0010666666666666667,0.4447888888888889
7,3|7,46,82,82|36|64|65|53|14|42|18,82|36|64|65|53|14|42|18,0.0018666666666666666,0.44505555555555554
5,3|8,62,14,14|49|200|46|61|4,14|49|200|46|61|4,0.0013333333333333333,0.44487777777777776
5,3|9,62,14,14|159|60|6|135|0,14|159|60|6|135|0,0.0013333333333333333,0.44487777777777776
5,3|10,62,137,137|77|33|53|74|0,137|77|33|53|74|0,0.0013333333333333333,0.44487777777777776
2,3|11,124,12,12|32|330,12|32|330,0.0005333333333333334,0.44461111111111107
4,3|12,74,53,53|97|105|88|31,53|97|105|88|31,0.0010666666666666667,0.4447888888888889
4,3|13,74,118,118|64|65|114|13,118|64|65|114|13,0.0010666666666666667,0.4447888888888889
2,3|14,124,287,287|56|31,287|56|31,0.0005333333333333334,0.44461111111111107
3,3|15,93,44,44,44|85|44|201,0.0008,0.6669333333333333
4,3|16,74,5,5,5|177|174|5|13,0.0010666666666666667,0.6670222222222222
4,3|17,74,63,63|9|146|73|83,63|9|146|73|83,0.0010666666666666667,0.4447888888888889
4,3|18,74,157,157|83|39|21|74,157|83|39|21|74,0.0010666666666666667,0.4447888888888889
5,3|19,62,35,35|12|16|192|8|111,35|12|16|192|8|111,0.0013333333333333333,0.44487777777777776
7,3|20,46,115,115|27|29|10|98|82|9|4,115|27|29|10|98|82|9|4,0.0018666666666666666,0.44505555555555554
5,3|21,62,5,5|77|136|29|127|0,5|77|136|29|127|0,0.0013333333333333333,0.44487777777777776
3,3|22,93,72,72|73|26|203,72|73|26|203,0.0008,0.44469999999999993
6,3|23,53,14,14|21|9|155|41|103|31,14|21|9|155|41|103|31,0.0016,0.4449666666666667
8,3|24,41,115,115|3|19|20|24|52|30|107|4,115|3|19|20|24|52|30|107|4,0.0021333333333333334,0.4451444444444444
5,3|26,62,44,44|85|158|22|52|13,44|85|158|22|52|13,0.0013333333333333333,0.44487777777777776
2,3|27,124,80,80|101|193,80|101|193,0.0005333333333333334,0.44461111111111107
9,3|28,37,5,5,5|61|71|5|39|33|4|22|74|60,0.0024,0.6674666666666668
7,3|29,46,53,53|97|2|21|41|25|130|5,53|97|2|21|41|25|130|5,0.0018666666666666666,0.44505555555555554
6,3|30,53,35,35|12|105|47|34|58|83,35|12|105|47|34|58|83,0.0016,0.4449666666666667
5,3|31,62,129,21,129|21|68|21|48|87,0.0013333333333333333,0.6671111111111111
3,3|32,93,66,66|133|157|18,66|133|157|18,0.0008,0.44469999999999993
4,3|33,74,12,12|41|118|43|160,12|41|118|43|160,0.0010666666666666667,0.4447888888888889
3,3|34,93,82,82|47|28|217,82|47|28|217,0.0008,0.44469999999999993
5,3|35,62,14,14|58|8|91|84|119,14|58|8|91|84|119,0.0013333333333333333,0.44487777777777776
5,3|36,62,47,47|10|15|80|5|217,47|10|15|80|5|217,0.0013333333333333333,0.44487777777777776
5,3|37,62,53,53|62|27|10|139|83,53|62|27|10|139|83,0.0013333333333333333,0.44487777777777776
2,3|38,124,115,115|30|229,115|30|229,0.0005333333333333334,0.44461111111111107
5,3|39,62,5,5|42|10|23|62|232,5|42|10|23|62|232,0.0013333333333333333,0.44487777777777776
9,3|40,37,35,5,35|22|142|88|13|9|5|55|5|0,0.0024,0.6674666666666668
4,3|41,74,66,66,66|107|66|104|31,0.0010666666666666667,0.6670222222222222
1,3|42,187,80,80|294,80|294,0.0002666666666666667,0.4445222222222222
4,3|43,74,66,66|79|95|129|5,66|79|95|129|5,0.0010666666666666667,0.4447888888888889
2,4|5,124,1,1|305|68,1|305|68,0.0005333333333333334,0.44461111111111107
4,4|6,74,43,43|113|53|132|33,43|113|53|132|33,0.0010666666666666667,0.4447888888888889
4,4|7,74,118,118|8|156|73|19,118|8|156|73|19,0.0010666666666666667,0.4447888888888889
11,4|8,31,32,32|51|9|16|11|76|35|28|2|3|92|19,32|51|9|16|11|76|35|28|2|3|92|19,0.0029333333333333334,0.44541111111111104
2,4|9,124,52,52|62|260,52|62|260,0.0005333333333333334,0.44461111111111107
4,4|10,74,37,37|27|44|6|260,37|27|44|6|260,0.0010666666666666667,0.4447888888888889
6,4|11,53,12,12|7|14|93|10|195|43,12|7|14|93|10|195|43,0.0016,0.4449666666666667
4,4|12,74,15,15|4|239|63|53,15|4|239|63|53,0.0010666666666666667,0.4447888888888889
5,4|13,62,15,15|11|63|29|248|8,15|11|63|29|248|8,0.0013333333333333333,0.44487777777777776
3,4|14,93,37,37|82|76|179,37|82|76|179,0.0008,0.44469999999999993
3,4|15,93,1,1|90|157|126,1|90|157|126,0.0008,0.44469999999999993
3,4|16,93,43,43|49|142|140,43|49|142|140,0.0008,0.44469999999999993
6,4|17,53,91,91|23|146|22|63|9|20,91|23|146|22|63|9|20,0.0016,0.4449666666666667
9,4|18,37,64,64|25|12|67|41|21|4|48|49|43,64|25|12|67|41|21|4|48|49|43,0.0024,0.4452333333333333
6,4|19,53,6,6,6|85|52|109|6|5|111,0.0016,0.6671999999999999
6,4|20,53,156,156|74|35|17|59|25|8,156|74|35|17|59|25|8,0.0016,0.4449666666666667
3,4|21,93,19,19|308|27|20,19|308|27|20,0.0008,0.44469999999999993
7,4|22,46,26,26|7|50|62|23|66|41|99,26|7|50|62|23|66|41|99,0.0018666666666666666,0.44505555555555554
2,4|23,124,260,260|46|68,260|46|68,0.0005333333333333334,0.44461111111111107
7,4|24,46,15,15|17|86|18|94|33|92|19,15|17|86|18|94|33|92|19,0.0018666666666666666,0.44505555555555554
6,4|25,53,37,37|15|31|8|23|21|239,37|15|31|8|23|21|239,0.0016,0.4449666666666667
5,4|26,62,32,32|55|21|28|170|68,32|55|21|28|170|68,0.0013333333333333333,0.44487777777777776
6,4|27,53,136,136|7|13|78|31|62|47,136|7|13|78|31|62|47,0.0016,0.4449666666666667
3,4|28,93,83,83|18|220|53,83|18|220|53,0.0008,0.44469999999999993
7,4|29,46,89,33,89|30|156|33|33|7|21|5,0.0018666666666666666,0.6672888888888888
5,4|30,62,64,64|184|4|6|90|26,64|184|4|6|90|26,0.0013333333333333333,0.44487777777777776
5,4|31,62,52,52|40|43|213|18|8,52|40|43|213|18|8,0.0013333333333333333,0.44487777777777776
10,4|32,34,6,99,6|9|17|55|21|99|2|41|15|10|99,0.0026666666666666666,0.6675555555555556
6,4|33,53,12,12|89|106|114|24|21|8,12|89|106|114|24|21|8,0.0016,0.4449666666666667
