conteo,tupla,X,L,M,T,P,Pr
8,1|2,41,16,1,16|6|123|10|145|1|33|39|1,0.0021333333333333334,0.6673777777777778
5,1|3,62,4,4|15|36|90|9|220,4|15|36|90|9|220,0.0013333333333333333,0.44487777777777776
9,1|4,37,74,8|36,74|16|63|8|2|93|36|8|36|38,0.0024,0.4452333333333333
6,1|5,53,16,16|10|159|114|1|40|34,16|10|159|114|1|40|34,0.0016,0.4449666666666667
3,1|6,93,185,185|153|2|34,185|153|2|34,0.0008,0.44469999999999993
5,1|7,62,60,60|27|130|40|95|22,60|27|130|40|95|22,0.0013333333333333333,0.44487777777777776
8,1|8,41,2,2|49|4|19|70|9|10|22|189,2|49|4|19|70|9|10|22|189,0.0021333333333333334,0.4451444444444444
3,1|9,93,25,25|95|179|75,25|95|179|75,0.0008,0.44469999999999993
4,1|10,74,87,87|58|42|142|45,87|58|42|142|45,0.0010666666666666667,0.4447888888888889
3,1|11,93,74,74|143|149|8,74|143|149|8,0.0008,0.44469999999999993
6,1|12,53,4,4|233|20|15|66|14|22,4|233|20|15|66|14|22,0.0016,0.4449666666666667
6,1|13,53,25,25|14|125|136|36|4|34,25|14|125|136|36|4|34,0.0016,0.4449666666666667
6,1|14,53,2,2|49|9|19|126|87|82,2|49|9|19|126|87|82,0.0016,0.4449666666666667
4,1|15,74,4,4,4|18|183|4|165,0.0010666666666666667,0.6670222222222222
3,1|16,93,16,16|9|192|157,16|9|192|157,0.0008,0.44469999999999993
1,1|17,187,154,154|220,154|220,0.0002666666666666667,0.4445222222222222
7,1|18,46,26,26|53|5|121|51|60|22|36,26|53|5|121|51|60|22|36,0.0018666666666666666,0.44505555555555554
5,1|19,62,84,84|40|39|46|143|22,84|40|39|46|143|22,0.0013333333333333333,0.44487777777777776
3,1|20,93,237,237|97|36|4,237|97|36|4,0.0008,0.44469999999999993
6,1|21,53,144,144|17|48|47|36|60|22,144|17|48|47|36|60|22,0.0016,0.4449666666666667
5,1|22,62,79,29,79|74|2|161|29|29,0.0013333333333333333,0.6671111111111111
7,1|23,46,4,4|12|35|103|33|30|119|38,4|12|35|103|33|30|119|38,0.0018666666666666666,0.44505555555555554
1,1|24,187,39,39|335,39|335,0.0002666666666666667,0.4445222222222222
3,1|25,93,87,87|118|168|1,87|118|168|1,0.0008,0.44469999999999993
3,1|26,93,19,19|238|83|34,19|238|83|34,0.0008,0.44469999999999993
6,1|27,53,39,39|48|33|43|22|162|27,39|48|33|43|22|162|27,0.0016,0.4449666666666667
5,1|28,62,2,2|53|217|57|37|8,2|53|217|57|37|8,0.0013333333333333333,0.44487777777777776
4,1|29,74,90,90|30|35|144|75,90|30|35|144|75,0.0010666666666666667,0.4447888888888889
4,1|30,74,25,25|136|111|44|58,25|136|111|44|58,0.0010666666666666667,0.4447888888888889
7,1|31,46,124,124|21|189|11|2|19|7|1,124|21|189|11|2|19|7|1,0.0018666666666666666,0.44505555555555554
4,1|32,74,90,90|64|10|181|29,90|64|10|181|29,0.0010666666666666667,0.4447888888888889
6,1|33,53,19,19|71|182|29|35|37|1,19|71|182|29|35|37|1,0.0016,0.4449666666666667
6,1|34,53,2,2|17|65|60|157|46|27,2|17|65|60|157|46|27,0.0016,0.4449666666666667
4,1|35,74,60,60,60|60|24|185|45,0.0010666666666666667,0.6670222222222222
5,1|36,62,22,22|52|264|9|23|4,22|52|264|9|23|4,0.0013333333333333333,0.44487777777777776
4,1|37,74,124,29,124|29|11|181|29,0.0010666666666666667,0.6670222222222222
2,1|38,124,26,26|161|187,26|161|187,0.0005333333333333334,0.44461111111111107
6,1|39,53,22,22|17|85|113|79|54|4,22|17|85|113|79|54|4,0.0016,0.4449666666666667
2,1|40,124,51,51|33|290,51|33|290,0.0005333333333333334,0.44461111111111107
6,1|41,53,26,26|29|182|64|28|37|8,26|29|182|64|28|37|8,0.0016,0.4449666666666667
5,1|42,62,155,155|54|47|36|7|75,155|54|47|36|7|75,0.0013333333333333333,0.44487777777777776
8,1|43,41,60,60|19|82|3|23|70|77|36|4,60|19|82|3|23|70|77|36|4,0.0021333333333333334,0.4451444444444444
5,2|3,62,71,71|31|8|35|93|136,71|31|8|35|93|136,0.0013333333333333333,0.44487777777777776
8,2|4,41,71,71|39|69|28|18|75|17|5|52,71|39|69|28|18|75|17|5|52,0.0021333333333333334,0.4451444444444444
6,2|5,53,16,16|55|157|13|59|11|63,16|55|157|13|59|11|63,0.0016,0.4449666666666667
2,2|6,124,225,225|71|78,225|71|78,0.0005333333333333334,0.44461111111111107
4,2|7,74,37,37|21|167|86|63,37|21|167|86|63,0.0010666666666666667,0.4447888888888889
4,2|8,74,43,43|45|28|139|119,43|45|28|139|119,0.0010666666666666667,0.4447888888888889
9,2|9,37,58,58|30|6|22|112|13|70|11|37|15,58|30|6|22|112|13|70|11|37|15,0.0024,0.4452333333333333
6,2|10,53,32,32|76|37|11|161|8|49,32|76|37|11|161|8|49,0.0016,0.4449666666666667
6,2|11,53,62,62|50|15|9|105|1|132,62|50|15|9|105|1|132,0.0016,0.4449666666666667
6,2|12,53,58,58|52|6|30|33|180|15,58|52|6|30|33|180|15,0.0016,0.4449666666666667
4,2|13,74,225,225|18|57|3|71,225|18|57|3|71,0.0010666666666666667,0.4447888888888889
6,2|14,53,37,37|6|62|51|147|7|64,37|6|62|51|147|7|64,0.0016,0.4449666666666667
2,2|15,124,22,22|300|52,22|300|52,0.0005333333333333334,0.44461111111111107
