conteo,tupla,X,L,M,T,P,Pr
1,1|2|3|10|31,187,145,145|229,145|229,0.0026666666666666666,0.4453222222222222
1,1|2|4|5|13,187,300,300|74,300|74,0.0026666666666666666,0.4453222222222222
1,1|2|5|16|23,187,16,16|358,16|358,0.0026666666666666666,0.4453222222222222
1,1|2|15|36|39,187,22,22|352,22|352,0.0026666666666666666,0.4453222222222222
1,1|2|20|31|43,187,334,334|40,334|40,0.0026666666666666666,0.4453222222222222
1,1|2|22|29|42,187,155,155|219,155|219,0.0026666666666666666,0.4453222222222222
1,1|2|25|31|33,187,373,373|1,373|1,0.0026666666666666666,0.4453222222222222
1,1|2|33|34|41,187,301,301|73,301|73,0.0026666666666666666,0.4453222222222222
1,1|3|8|28|41,187,55,55|319,55|319,0.0026666666666666666,0.4453222222222222
1,1|3|12|15|23,187,4,4|370,4|370,0.0026666666666666666,0.4453222222222222
1,1|3|17|23|32,187,154,154|220,154|220,0.0026666666666666666,0.4453222222222222
1,1|3|26|33|34,187,19,19|355,19|355,0.0026666666666666666,0.4453222222222222
1,1|4|8|11|36,187,74,74|300,74|300,0.0026666666666666666,0.4453222222222222
1,1|4|8|19|27,187,163,163|211,163|211,0.0026666666666666666,0.4453222222222222
1,1|4|8|22|37,187,153,153|221,153|221,0.0026666666666666666,0.4453222222222222
1,1|4|13|23|33,187,336,336|38,336|38,0.0026666666666666666,0.4453222222222222
1,1|4|14|21|42,187,292,292|82,292|82,0.0026666666666666666,0.4453222222222222
1,1|4|18|21|42,187,256,256|118,256|118,0.0026666666666666666,0.4453222222222222
1,1|4|21|30|43,187,161,161|213,161|213,0.0026666666666666666,0.4453222222222222
1,1|4|29|32|33,187,90,90|284,90|284,0.0026666666666666666,0.4453222222222222
1,1|5|6|8|27,187,185,185|189,185|189,0.0026666666666666666,0.4453222222222222
1,1|5|6|13|26,187,340,340|34,340|34,0.0026666666666666666,0.4453222222222222
1,1|5|9|29|42,187,299,299|75,299|75,0.0026666666666666666,0.4453222222222222
1,1|5|18|38|41,187,26,26|348,26|348,0.0026666666666666666,0.4453222222222222
1,1|6|12|18|36,187,338,338|36,338|36,0.0026666666666666666,0.4453222222222222
1,1|7|10|25|27,187,87,87|287,87|287,0.0026666666666666666,0.4453222222222222
1,1|7|11|16|23,187,217,217|157,217|157,0.0026666666666666666,0.4453222222222222
1,1|7|12|19|21,187,352,352|22,352|22,0.0026666666666666666,0.4453222222222222
1,1|7|12|26|43,187,257,257|117,257|117,0.0026666666666666666,0.4453222222222222
1,1|7|14|35|43,187,60,60|314,60|314,0.0026666666666666666,0.4453222222222222
1,1|8|14|23|40,187,51,51|323,51|323,0.0026666666666666666,0.4453222222222222
1,1|8|14|28|34,187,2,2|372,2|372,0.0026666666666666666,0.4453222222222222
1,1|8|21|34|35,187,144,144|230,144|230,0.0026666666666666666,0.4453222222222222
1,1|9|13|16|30,187,25,25|349,25|349,0.0026666666666666666,0.4453222222222222
1,1|9|27|29|35,187,120,120|254,120|254,0.0026666666666666666,0.4453222222222222
1,1|10|23|38|43,187,187,187,187|187,0.0026666666666666666,0.6675555555555556
1,1|10|28|35|41,187,329,329|45,329|45,0.0026666666666666666,0.4453222222222222
1,1|11|28|31|41,187,366,366|8,366|8,0.0026666666666666666,0.4453222222222222
1,1|12|20|39|41,187,237,237|137,237|137,0.0026666666666666666,0.4453222222222222
1,1|12|28|30|33,187,272,272|102,272|102,0.0026666666666666666,0.4453222222222222
1,1|13|24|27|39,187,39,39|335,39|335,0.0026666666666666666,0.4453222222222222
1,1|13|32|37|43,187,164,164|210,164|210,0.0026666666666666666,0.4453222222222222
1,1|14|15|18|25,187,205,205|169,205|169,0.0026666666666666666,0.4453222222222222
1,1|14|18|22|43,187,79,79|295,79|295,0.0026666666666666666,0.4453222222222222
1,1|15|19|21|42,187,209,209|165,209|165,0.0026666666666666666,0.4453222222222222
1,1|18|19|34|40,187,84,84|290,84|290,0.0026666666666666666,0.4453222222222222
1,1|18|22|30|39,187,316,316|58,316|58,0.0026666666666666666,0.4453222222222222
1,1|19|31|37|39,187,124,124|250,124|250,0.0026666666666666666,0.4453222222222222
1,1|20|36|39|43,187,370,370|4,370|4,0.0026666666666666666,0.4453222222222222
1,1|22|31|32|37,187,345,345|29,345|29,0.0026666666666666666,0.4453222222222222
1,1|27|31|34|36,187,347,347|27,347|27,0.0026666666666666666,0.4453222222222222
1,2|3|4|5|29,187,71,71|303,71|303,0.0026666666666666666,0.4453222222222222
1,2|3|4|12|16,187,110,110|264,110|264,0.0026666666666666666,0.4453222222222222
1,2|3|18|21|36,187,102,102|272,102|272,0.0026666666666666666,0.4453222222222222
1,2|3|22|28|37,187,238,238|136,238|136,0.0026666666666666666,0.4453222222222222
1,2|4|6|7|13,187,225,225|149,225|149,0.0026666666666666666,0.4453222222222222
1,2|4|9|15|24,187,322,322|52,322|52,0.0026666666666666666,0.4453222222222222
1,2|4|10|17|37,187,317,317|57,317|57,0.0026666666666666666,0.4453222222222222
1,2|4|12|18|35,187,179,179|195,179|195,0.0026666666666666666,0.4453222222222222
1,2|4|16|30|40,187,207,207|167,207|167,0.0026666666666666666,0.4453222222222222
1,2|5|7|9|28,187,311,311|63,311|63,0.0026666666666666666,0.4453222222222222
1,2|5|9|11|42,187,241,241|133,241|133,0.0026666666666666666,0.4453222222222222
1,2|5|9|34|42,187,228,228|146,228|146,0.0026666666666666666,0.4453222222222222
1,2|6|16|23|43,187,296,296|78,296|78,0.0026666666666666666,0.4453222222222222
1,2|7|9|12|34,187,58,58|316,58|316,0.0026666666666666666,0.4453222222222222
1,2|7|14|25|31,187,37,37|337,37|337,0.0026666666666666666,0.4453222222222222
1,2|8|9|12|39,187,116,116|258,116|258,0.0026666666666666666,0.4453222222222222
1,2|8|9|25|33,187,88,88|286,88|286,0.0026666666666666666,0.4453222222222222
1,2|8|14|19|28,187,43,43|331,43|331,0.0026666666666666666,0.4453222222222222
1,2|8|20|25|27,187,255,255|119,255|119,0.0026666666666666666,0.4453222222222222
1,2|9|12|34|40,187,359,359|15,359|15,0.0026666666666666666,0.4453222222222222
1,2|9|17|27|42,187,94,94|280,94|280,0.0026666666666666666,0.4453222222222222
1,2|10|14|34|40,187,156,156|218,156|218,0.0026666666666666666,0.4453222222222222
1,2|10|16|23|25,187,108,108|266,108|266,0.0026666666666666666,0.4453222222222222
1,2|10|21|23|35,187,325,325|49,325|49,0.0026666666666666666,0.4453222222222222
1,2|10|27|30|31,187,32,32|342,32|342,0.0026666666666666666,0.4453222222222222
1,2|11|18|23|43,187,127,127|247,127|247,0.0026666666666666666,0.4453222222222222
1,2|11|24|28|39,187,112,112|262,112|262,0.0026666666666666666,0.4453222222222222
