conteo,tupla,X,L,M,T,P,Pr
42,1,8,20,7,20|11|5|1|11|1|8|5|15|2|15|4|7|7|1|7|4|27|15|10|1|1|17|2|3|2|2|7|35|3|5|14|9|2|7|9|11|6|23|16|5|11|7,0.0224,0.6741333333333334
52,2,7,12,3,12|5|25|1|5|8|7|8|3|2|8|16|1|3|13|5|2|3|10|6|5|2|14|3|5|11|15|3|4|2|19|3|13|13|2|4|7|16|6|4|3|7|5|1|1|12|1|3|5|3|5|4|30,0.027733333333333332,0.6759111111111111
47,3,7,5,8,5|7|2|21|9|3|6|4|6|3|6|8|2|33|3|11|8|5|3|5|2|5|14|2|8|1|17|15|4|15|6|1|7|8|8|16|8|4|9|9|5|29|13|5|8|1|4|0,0.025066666666666668,0.6750222222222222
56,4,6,1,2,1|5|6|3|4|7|6|1|4|6|9|12|19|4|2|2|1|9|7|6|4|1|7|9|1|7|2|11|12|27|12|2|21|4|14|2|2|6|2|3|2|10|2|5|24|2|13|6|4|10|4|3|6|1|11|3|5,0.029866666666666666,0.6766222222222221
44,5,8,1,3,1|1|1|7|7|3|1|4|13|3|7|14|7|6|3|1|25|20|14|2|8|3|18|13|3|5|25|10|4|3|12|2|20|2|21|2|15|14|9|5|25|4|7|1|3,0.023466666666666667,0.6744888888888889
36,6,10,4,4|1,4|14|25|24|2|12|1|3|12|9|33|16|1|18|10|14|11|2|6|4|4|3|5|4|42|1|14|3|1|4|2|10|11|15|1|3|30,0.0192,0.45083333333333336
44,7,8,17,1,17|5|7|11|11|4|3|2|5|11|6|15|14|5|1|1|2|6|1|5|1|8|13|15|1|9|3|21|17|1|15|5|6|6|6|23|18|3|11|1|2|18|20|1|18,0.023466666666666667,0.6744888888888889
53,8,6,14,1,14|10|3|3|2|7|12|12|20|5|4|1|5|1|3|1|4|1|11|9|3|15|5|18|8|1|13|1|3|7|10|4|10|4|11|1|16|1|1|2|1|15|2|17|12|2|6|2|25|11|7|8|2|2,0.028266666666666666,0.6760888888888889
35,9,10,9,8|16|1,9|5|2|8|7|21|4|14|16|8|1|3|16|2|5|20|8|13|1|4|5|1|16|8|11|16|3|6|6|59|18|9|24|24|1|0,0.018666666666666668,0.45065555555555553
51,10,7,2,4,2|5|4|7|5|5|9|19|8|10|10|6|10|5|3|6|2|5|4|12|2|10|28|3|9|7|6|6|4|2|33|19|7|1|2|9|11|4|4|3|5|1|4|1|7|13|4|7|9|4|12|0,0.0272,0.6757333333333334
