conteo,tupla,X,L,M,T,P,Pr
3,1|2|5,93,48,48|76|144|106,48|76|144|106,0.0008,0.44469999999999993
1,1|2|7,187,335,335|39,335|39,0.0002666666666666667,0.4445222222222222
1,1|2|14,187,268,268|106,268|106,0.0002666666666666667,0.4445222222222222
1,1|2|21,187,124,124|250,124|250,0.0002666666666666667,0.4445222222222222
1,1|2|28,187,335,335|39,335|39,0.0002666666666666667,0.4445222222222222
2,1|2|30,124,48,48|220|106,48|220|106,0.0005333333333333334,0.44461111111111107
1,1|2|35,187,124,124|250,124|250,0.0002666666666666667,0.4445222222222222
1,1|2|38,187,335,335|39,335|39,0.0002666666666666667,0.4445222222222222
1,1|2|43,187,48,48|326,48|326,0.0002666666666666667,0.4445222222222222
1,1|3|6,187,279,279|95,279|95,0.0002666666666666667,0.4445222222222222
1,1|3|7,187,356,356|18,356|18,0.0002666666666666667,0.4445222222222222
1,1|3|16,187,356,356|18,356|18,0.0002666666666666667,0.4445222222222222
1,1|3|18,187,279,279|95,279|95,0.0002666666666666667,0.4445222222222222
1,1|3|20,187,279,279|95,279|95,0.0002666666666666667,0.4445222222222222
1,1|3|32,187,356,356|18,356|18,0.0002666666666666667,0.4445222222222222
1,1|3|36,187,57,57|317,57|317,0.0002666666666666667,0.4445222222222222
1,1|3|39,187,57,57|317,57|317,0.0002666666666666667,0.4445222222222222
1,1|3|40,187,57,57|317,57|317,0.0002666666666666667,0.4445222222222222
1,1|4|5,187,306,306|68,306|68,0.0002666666666666667,0.4445222222222222
1,1|4|8,187,195,195|179,195|179,0.0002666666666666667,0.4445222222222222
1,1|4|10,187,37,37|337,37|337,0.0002666666666666667,0.4445222222222222
2,1|4|14,124,37,37|158|179,37|158|179,0.0005333333333333334,0.44461111111111107
1,1|4|23,187,306,306|68,306|68,0.0002666666666666667,0.4445222222222222
1,1|4|25,187,37,37|337,37|337,0.0002666666666666667,0.4445222222222222
1,1|4|26,187,306,306|68,306|68,0.0002666666666666667,0.4445222222222222
1,1|4|36,187,277,277|97,277|97,0.0002666666666666667,0.4445222222222222
1,1|4|37,187,277,277|97,277|97,0.0002666666666666667,0.4445222222222222
1,1|4|41,187,195,195|179,195|179,0.0002666666666666667,0.4445222222222222
1,1|4|43,187,277,277|97,277|97,0.0002666666666666667,0.4445222222222222
1,1|5|8,187,151,151|223,151|223,0.0002666666666666667,0.4445222222222222
1,1|5|13,187,246,246|128,246|128,0.0002666666666666667,0.4445222222222222
1,1|5|14,187,268,268|106,268|106,0.0002666666666666667,0.4445222222222222
2,1|5|15,124,62,62|17|295,62|17|295,0.0005333333333333334,0.44461111111111107
1,1|5|16,187,20,20|354,20|354,0.0002666666666666667,0.4445222222222222
1,1|5|18,187,79,79|295,79|295,0.0002666666666666667,0.4445222222222222
1,1|5|20,187,151,151|223,151|223,0.0002666666666666667,0.4445222222222222
1,1|5|21,187,124,124|250,124|250,0.0002666666666666667,0.4445222222222222
1,1|5|22,187,246,246|128,246|128,0.0002666666666666667,0.4445222222222222
2,1|5|23,124,246,246|60|68,246|60|68,0.0005333333333333334,0.44461111111111107
2,1|5|26,124,20,20|286|68,20|286|68,0.0005333333333333334,0.44461111111111107
2,1|5|29,124,20,20|131|223,20|131|223,0.0005333333333333334,0.44461111111111107
3,1|5|30,93,48,48|14|206|106,48|14|206|106,0.0008,0.44469999999999993
1,1|5|35,187,124,124|250,124|250,0.0002666666666666667,0.4445222222222222
1,1|5|39,187,79,79|295,79|295,0.0002666666666666667,0.4445222222222222
1,1|5|40,187,62,62|312,62|312,0.0002666666666666667,0.4445222222222222
1,1|5|43,187,48,48|326,48|326,0.0002666666666666667,0.4445222222222222
1,1|6|17,187,211,211|163,211|163,0.0002666666666666667,0.4445222222222222
1,1|6|18,187,279,279|95,279|95,0.0002666666666666667,0.4445222222222222
1,1|6|20,187,279,279|95,279|95,0.0002666666666666667,0.4445222222222222
1,1|6|26,187,211,211|163,211|163,0.0002666666666666667,0.4445222222222222
1,1|6|35,187,211,211|163,211|163,0.0002666666666666667,0.4445222222222222
1,1|7|16,187,356,356|18,356|18,0.0002666666666666667,0.4445222222222222
1,1|7|19,187,120,120|254,120|254,0.0002666666666666667,0.4445222222222222
1,1|7|22,187,120,120|254,120|254,0.0002666666666666667,0.4445222222222222
1,1|7|28,187,335,335|39,335|39,0.0002666666666666667,0.4445222222222222
1,1|7|32,187,356,356|18,356|18,0.0002666666666666667,0.4445222222222222
1,1|7|34,187,120,120|254,120|254,0.0002666666666666667,0.4445222222222222
1,1|7|38,187,335,335|39,335|39,0.0002666666666666667,0.4445222222222222
1,1|8|9,187,98,98|276,98|276,0.0002666666666666667,0.4445222222222222
2,1|8|10,124,177,177|25|172,177|25|172,0.0005333333333333334,0.44461111111111107
2,1|8|12,124,178,178|24|172,178|24|172,0.0005333333333333334,0.44461111111111107
2,1|8|14,124,178,178|17|179,178|17|179,0.0005333333333333334,0.44461111111111107
1,1|8|15,187,177,177|197,177|197,0.0002666666666666667,0.4445222222222222
1,1|8|20,187,151,151|223,151|223,0.0002666666666666667,0.4445222222222222
1,1|8|22,187,98,98|276,98|276,0.0002666666666666667,0.4445222222222222
