conteo,tupla,X,L,M,T,P,Pr
1,1|2|3,187,145,145|229,145|229,0.0002666666666666667,0.4445222222222222
1,1|2|4,187,300,300|74,300|74,0.0002666666666666667,0.4445222222222222
2,1|2|5,124,16,16|284|74,16|284|74,0.0005333333333333334,0.44461111111111107
1,1|2|10,187,145,145|229,145|229,0.0002666666666666667,0.4445222222222222
1,1|2|13,187,300,300|74,300|74,0.0002666666666666667,0.4445222222222222
1,1|2|15,187,22,22|352,22|352,0.0002666666666666667,0.4445222222222222
1,1|2|16,187,16,16|358,16|358,0.0002666666666666667,0.4445222222222222
1,1|2|20,187,334,334|40,334|40,0.0002666666666666667,0.4445222222222222
1,1|2|22,187,155,155|219,155|219,0.0002666666666666667,0.4445222222222222
1,1|2|23,187,16,16|358,16|358,0.0002666666666666667,0.4445222222222222
1,1|2|25,187,373,373|1,373|1,0.0002666666666666667,0.4445222222222222
1,1|2|29,187,155,155|219,155|219,0.0002666666666666667,0.4445222222222222
3,1|2|31,93,145,145|189|39|1,145|189|39|1,0.0008,0.44469999999999993
2,1|2|33,124,301,301|72|1,301|72|1,0.0005333333333333334,0.44461111111111107
1,1|2|34,187,301,301|73,301|73,0.0002666666666666667,0.4445222222222222
1,1|2|36,187,22,22|352,22|352,0.0002666666666666667,0.4445222222222222
1,1|2|39,187,22,22|352,22|352,0.0002666666666666667,0.4445222222222222
1,1|2|41,187,301,301|73,301|73,0.0002666666666666667,0.4445222222222222
1,1|2|42,187,155,155|219,155|219,0.0002666666666666667,0.4445222222222222
1,1|2|43,187,334,334|40,334|40,0.0002666666666666667,0.4445222222222222
1,1|3|8,187,55,55|319,55|319,0.0002666666666666667,0.4445222222222222
1,1|3|10,187,145,145|229,145|229,0.0002666666666666667,0.4445222222222222
1,1|3|12,187,4,4|370,4|370,0.0002666666666666667,0.4445222222222222
1,1|3|15,187,4,4|370,4|370,0.0002666666666666667,0.4445222222222222
1,1|3|17,187,154,154|220,154|220,0.0002666666666666667,0.4445222222222222
2,1|3|23,124,4,4|150|220,4|150|220,0.0005333333333333334,0.44461111111111107
1,1|3|26,187,19,19|355,19|355,0.0002666666666666667,0.4445222222222222
1,1|3|28,187,55,55|319,55|319,0.0002666666666666667,0.4445222222222222
1,1|3|31,187,145,145|229,145|229,0.0002666666666666667,0.4445222222222222
1,1|3|32,187,154,154|220,154|220,0.0002666666666666667,0.4445222222222222
1,1|3|33,187,19,19|355,19|355,0.0002666666666666667,0.4445222222222222
1,1|3|34,187,19,19|355,19|355,0.0002666666666666667,0.4445222222222222
1,1|3|41,187,55,55|319,55|319,0.0002666666666666667,0.4445222222222222
1,1|4|5,187,300,300|74,300|74,0.0002666666666666667,0.4445222222222222
3,1|4|8,93,74,74|79|10|211,74|79|10|211,0.0008,0.44469999999999993
1,1|4|11,187,74,74|300,74|300,0.0002666666666666667,0.4445222222222222
2,1|4|13,124,300,300|36|38,300|36|38,0.0005333333333333334,0.44461111111111107
1,1|4|14,187,292,292|82,292|82,0.0002666666666666667,0.4445222222222222
1,1|4|18,187,256,256|118,256|118,0.0002666666666666667,0.4445222222222222
1,1|4|19,187,163,163|211,163|211,0.0002666666666666667,0.4445222222222222
3,1|4|21,93,161,161|95|36|82,161|95|36|82,0.0008,0.44469999999999993
1,1|4|22,187,153,153|221,153|221,0.0002666666666666667,0.4445222222222222
1,1|4|23,187,336,336|38,336|38,0.0002666666666666667,0.4445222222222222
1,1|4|27,187,163,163|211,163|211,0.0002666666666666667,0.4445222222222222
1,1|4|29,187,90,90|284,90|284,0.0002666666666666667,0.4445222222222222
1,1|4|30,187,161,161|213,161|213,0.0002666666666666667,0.4445222222222222
1,1|4|32,187,90,90|284,90|284,0.0002666666666666667,0.4445222222222222
2,1|4|33,124,90,90|246|38,90|246|38,0.0005333333333333334,0.44461111111111107
1,1|4|36,187,74,74|300,74|300,0.0002666666666666667,0.4445222222222222
1,1|4|37,187,153,153|221,153|221,0.0002666666666666667,0.4445222222222222
2,1|4|42,124,256,256|36|82,256|36|82,0.0005333333333333334,0.44461111111111107
1,1|4|43,187,161,161|213,161|213,0.0002666666666666667,0.4445222222222222
2,1|5|6,124,185,185|155|34,185|155|34,0.0005333333333333334,0.44461111111111107
1,1|5|8,187,185,185|189,185|189,0.0002666666666666667,0.4445222222222222
1,1|5|9,187,299,299|75,299|75,0.0002666666666666667,0.4445222222222222
2,1|5|13,124,300,300|40|34,300|40|34,0.0005333333333333334,0.44461111111111107
1,1|5|16,187,16,16|358,16|358,0.0002666666666666667,0.4445222222222222
1,1|5|18,187,26,26|348,26|348,0.0002666666666666667,0.4445222222222222
1,1|5|23,187,16,16|358,16|358,0.0002666666666666667,0.4445222222222222
1,1|5|26,187,340,340|34,340|34,0.0002666666666666667,0.4445222222222222
1,1|5|27,187,185,185|189,185|189,0.0002666666666666667,0.4445222222222222
1,1|5|29,187,299,299|75,299|75,0.0002666666666666667,0.4445222222222222
1,1|5|38,187,26,26|348,26|348,0.0002666666666666667,0.4445222222222222
1,1|5|41,187,26,26|348,26|348,0.0002666666666666667,0.4445222222222222
1,1|5|42,187,299,299|75,299|75,0.0002666666666666667,0.4445222222222222
1,1|6|8,187,185,185|189,185|189,0.0002666666666666667,0.4445222222222222
1,1|6|12,187,338,338|36,338|36,0.0002666666666666667,0.4445222222222222
1,1|6|13,187,340,340|34,340|34,0.0002666666666666667,0.4445222222222222
1,1|6|18,187,338,338|36,338|36,0.0002666666666666667,0.4445222222222222
1,1|6|26,187,340,340|34,340|34,0.0002666666666666667,0.4445222222222222
1,1|6|27,187,185,185|189,185|189,0.0002666666666666667,0.4445222222222222
1,1|6|36,187,338,338|36,338|36,0.0002666666666666667,0.4445222222222222
1,1|7|10,187,87,87|287,87|287,0.0002666666666666667,0.4445222222222222
1,1|7|11,187,217,217|157,217|157,0.0002666666666666667,0.4445222222222222
2,1|7|12,124,257,257|95|22,257|95|22,0.0005333333333333334,0.44461111111111107
1,1|7|14,187,60,60|314,60|314,0.0002666666666666667,0.4445222222222222
1,1|7|16,187,217,217|157,217|157,0.0002666666666666667,0.4445222222222222
1,1|7|19,187,352,352|22,352|22,0.0002666666666666667,0.4445222222222222
1,1|7|21,187,352,352|22,352|22,0.0002666666666666667,0.4445222222222222
1,1|7|23,187,217,217|157,217|157,0.0002666666666666667,0.4445222222222222
1,1|7|25,187,87,87|287,87|287,0.0002666666666666667,0.4445222222222222
1,1|7|26,187,257,257|117,257|117,0.0002666666666666667,0.4445222222222222
1,1|7|27,187,87,87|287,87|287,0.0002666666666666667,0.4445222222222222
1,1|7|35,187,60,60|314,60|314,0.0002666666666666667,0.4445222222222222
2,1|7|43,124,60,60|197|117,60|197|117,0.0005333333333333334,0.44461111111111107
1,1|8|11,187,74,74|300,74|300,0.0002666666666666667,0.4445222222222222
2,1|8|14,124,2,2|49|323,2|49|323,0.0005333333333333334,0.44461111111111107
1,1|8|19,187,163,163|211,163|211,0.0002666666666666667,0.4445222222222222
1,1|8|21,187,144,144|230,144|230,0.0002666666666666667,0.4445222222222222
1,1|8|22,187,153,153|221,153|221,0.0002666666666666667,0.4445222222222222
1,1|8|23,187,51,51|323,51|323,0.0002666666666666667,0.4445222222222222
2,1|8|27,124,163,163|22|189,163|22|189,0.0005333333333333334,0.44461111111111107
2,1|8|28,124,2,2|53|319,2|53|319,0.0005333333333333334,0.44461111111111107
2,1|8|34,124,2,2|142|230,2|142|230,0.0005333333333333334,0.44461111111111107
1,1|8|35,187,144,144|230,144|230,0.0002666666666666667,0.4445222222222222
1,1|8|36,187,74,74|300,74|300,0.0002666666666666667,0.4445222222222222
1,1|8|37,187,153,153|221,153|221,0.0002666666666666667,0.4445222222222222
1,1|8|40,187,51,51|323,51|323,0.0002666666666666667,0.4445222222222222
1,1|8|41,187,55,55|319,55|319,0.0002666666666666667,0.4445222222222222
1,1|9|13,187,25,25|349,25|349,0.0002666666666666667,0.4445222222222222
1,1|9|16,187,25,25|349,25|349,0.0002666666666666667,0.4445222222222222
1,1|9|27,187,120,120|254,120|254,0.0002666666666666667,0.4445222222222222
2,1|9|29,124,120,120|179|75,120|179|75,0.0005333333333333334,0.44461111111111107
1,1|9|30,187,25,25|349,25|349,0.0002666666666666667,0.4445222222222222
1,1|9|35,187,120,120|254,120|254,0.0002666666666666667,0.4445222222222222
1,1|9|42,187,299,299|75,299|75,0.0002666666666666667,0.4445222222222222
1,1|10|23,187,187,187,187|187,0.0002666666666666667,0.6667555555555555
1,1|10|25,187,87,87|287,87|287,0.0002666666666666667,0.4445222222222222
1,1|10|27,187,87,87|287,87|287,0.0002666666666666667,0.4445222222222222
1,1|10|28,187,329,329|45,329|45,0.0002666666666666667,0.4445222222222222
1,1|10|31,187,145,145|229,145|229,0.0002666666666666667,0.4445222222222222
1,1|10|35,187,329,329|45,329|45,0.0002666666666666667,0.4445222222222222
1,1|10|38,187,187,187,187|187,0.0002666666666666667,0.6667555555555555
1,1|10|41,187,329,329|45,329|45,0.0002666666666666667,0.4445222222222222
1,1|10|43,187,187,187,187|187,0.0002666666666666667,0.6667555555555555
