idSorteo,num1,num2
2023,1,2
2022,13,22
2021,9,17
2020,1,9
2019,1,5
2018,10,20
2017,6,14
2016,2,19
2015,10,11
2014,7,11
2013,2,10
2012,3,19
2011,10,18
2010,8,17
2009,7,18
2008,2,7
2007,13,29
2006,1,13
2005,4,11
2004,18,24
2003,7,24
2002,2,8
2001,5,12
2000,2,22
1999,5,6
1998,4,5
1997,10,13
1996,22,34
1995,3,30
1994,1,8
1993,8,12
1992,5,29
1991,5,14
1990,1,3
1989,13,25
1988,7,14
1987,2,7
1986,9,12
1985,1,7
1984,4,8
1983,2,11
1982,3,7
1981,16,18
1980,6,10
1979,24,30
1978,9,17
1977,8,11
1976,5,24
1975,4,9
1974,2,3
1973,11,20
1972,8,19
1971,1,4
1970,4,9
1969,5,23
1968,5,8
1967,19,20
1966,1,14
1965,5,8
1964,10,15
1963,4,12
1962,6,14
1961,1,18
1960,17,21
1959,12,22
1958,1,7
1957,2,8
1956,16,28
1955,1,4
1954,10,11
1953,4,9
1952,24,26
1951,2,9
1950,21,30
1949,8,14
1948,8,19
1947,11,21
1946,4,13
1945,12,15
1944,10,15
1943,2,3
1942,11,19
1941,17,18
1940,2,14
1939,3,7
1938,8,11
1937,2,10
1936,7,16
1935,2,3
1934,3,10
1933,2,11
1932,12,19
1931,4,8
1930,5,13
1929,2,8
1928,4,9
1927,19,23
1926,3,10
1925,1,9
1924,4,11
1923,21,23
1922,18,23
1921,1,19
1920,6,19
1919,11,14
1918,2,11
1917,17,18
1916,11,18
1915,4,8
1914,6,8
1913,10,12
1912,7,22
1911,6,29
1910,6,27
1909,2,11
1908,10,20
1907,9,13
1906,3,12
1905,10,11
1904,6,12
1903,2,18
1902,9,12
1901,1,8
1900,1,2
1899,2,12
1898,6,12
1897,15,16
1896,4,10
1895,10,14
1894,3,8
1893,10,25
1892,1,4
1891,1,3
1890,1,2
1889,2,10
1888,9,16
1887,3,4
1886,3,17
1885,3,11
1884,1,4
1883,4,11
1882,1,4
1881,1,13
1880,4,8
1879,10,17
1878,3,4
1877,6,7
1876,15,18
1875,20,29
1874,3,4
1873,6,17
1872,3,15
1871,18,20
1870,6,22
1869,5,16
1868,6,8
1867,24,29
1866,2,4
1865,6,22
1864,6,10
1863,3,7
1862,3,10
1861,19,25
1860,1,5
1859,3,5
1858,1,10
1857,16,17
1856,16,18
1855,3,7
1854,7,9
1853,8,15
1852,6,13
1851,2,19
1850,5,20
1849,10,14
1848,9,14
1847,10,14
1846,9,13
1845,3,7
1844,15,27
1843,4,13
1842,4,17
1841,14,20
1840,1,14
1839,3,6
1838,2,4
1837,5,13
1836,1,15
1835,10,12
1834,11,20
1833,5,23
1832,8,20
1831,9,14
1830,8,17
1829,6,20
1828,1,7
1827,19,20
1826,5,13
1825,11,21
1824,19,26
1823,8,16
1822,5,18
1821,10,14
1820,2,4
1819,20,23
1818,8,24
1817,2,5
1816,3,18
1815,8,9
1814,4,22
1813,3,8
1812,17,27
1811,3,22
1810,10,12
1809,6,12
1808,1,12
1807,2,3
1806,5,33
1805,6,16
1804,2,5
1803,2,11
1802,2,13
1801,12,25
1800,21,32
1799,4,13
1798,6,17
1797,8,11
1796,5,7
1795,3,16
1794,16,20
1793,11,12
1792,7,8
1791,3,20
1790,2,8
1789,1,4
1788,1,7
1787,3,16
1786,6,15
1785,9,12
1784,8,11
1783,12,13
1782,13,16
1781,6,10
1780,11,12
1779,5,6
1778,7,37
1777,10,18
1776,14,27
1775,10,12
1774,3,23
1773,1,12
1772,7,20
1771,13,15
1770,4,7
1769,9,15
1768,3,11
1767,17,26
1766,10,14
1765,7,17
1764,6,20
1763,4,17
1762,8,23
1761,15,28
1760,7,16
1759,5,6
1758,18,34
1757,10,23
1756,9,12
1755,5,6
1754,4,23
1753,1,4
1752,12,19
1751,12,13
1750,6,11
1749,2,6
1748,6,17
1747,7,10
1746,1,5
1745,1,2
1744,1,2
1743,14,30
1742,2,13
1741,6,8
1740,8,14
1739,17,23
1738,11,23
1737,11,15
1736,3,23
1735,2,14
1734,2,5
1733,15,21
1732,9,12
1731,8,12
1730,11,18
1729,1,18
1728,2,4
1727,15,20
1726,22,24
1725,13,20
1724,11,21
1723,2,4
1722,17,26
1721,18,27
1720,2,10
1719,19,22
1718,24,31
1717,3,10
1716,1,10
1715,4,15
1714,10,16
1713,10,17
1712,7,11
1711,1,2
1710,8,16
1709,1,4
1708,4,24
1707,1,6
1706,13,15
1705,1,5
1704,6,14
1703,15,16
1702,4,5
1701,14,25
1700,1,22
1699,3,13
1698,1,27
1697,6,9
1696,14,15
1695,7,23
1694,7,23
1693,1,7
1692,20,22
1691,10,16
1690,18,22
1689,3,4
1688,4,6
1687,9,20
1686,2,9
1685,13,20
1684,3,20
1683,3,26
1682,12,13
1681,8,12
1680,7,22
1679,1,11
1678,15,21
1677,11,19
1676,12,19
1675,1,20
1674,5,6
1673,6,19
1672,1,2
1671,15,28
2023,1,15
2022,13,27
2021,9,28
2020,1,13
2019,1,18
2018,10,21
2017,6,21
2016,2,22
2015,10,37
2014,7,16
2013,2,27
2012,3,20
2011,10,21
2010,8,26
2009,7,23
2008,2,14
2007,13,30
2006,1,24
2005,4,22
2004,18,28
2003,7,29
2002,2,14
2001,5,25
2000,2,24
1999,5,7
1998,4,13
1997,10,22
1996,22,36
1995,3,32
1994,1,14
1993,8,16
1992,5,33
1991,5,28
1990,1,8
1989,13,30
1988,7,16
1987,2,9
1986,9,23
1985,1,14
1984,4,18
1983,2,26
1982,3,12
1981,16,26
1980,6,14
1979,24,37
1978,9,28
1977,8,15
1976,5,27
1975,4,20
1974,2,4
1973,11,21
1972,8,25
1971,1,8
1970,4,14
1969,5,26
1968,5,12
1967,19,24
1966,1,18
1965,5,10
1964,10,20
1963,4,15
1962,6,25
1961,1,19
1960,17,32
1959,12,30
1958,1,10
1957,2,9
1956,16,37
1955,1,29
1954,10,15
1953,4,15
1952,24,35
1951,2,17
1950,21,35
1949,8,17
1948,8,22
1947,11,33
1946,4,24
1945,12,16
1944,10,16
1943,2,18
1942,11,29
1941,17,20
1940,2,16
1939,3,23
1938,8,13
1937,2,16
1936,7,19
1935,2,4
1934,3,16
1933,2,24
1932,12,20
1931,4,19
1930,5,14
1929,2,9
1928,4,10
1927,19,26
1926,3,20
1925,1,27
1924,4,14
1923,21,26
1922,18,28
1921,1,31
1920,6,23
1919,11,20
1918,2,18
1917,17,33
1916,11,29
1915,4,12
1914,6,13
1913,10,25
