conteo,tupla,X,L,M,T
1,1|2|3|10,180.0,131,131|229,131|229
1,1|2|3|31,180.0,131,131|229,131|229
1,1|2|4|5,180.0,286,286|74,286|74
1,1|2|4|13,180.0,286,286|74,286|74
1,1|2|5|13,180.0,286,286|74,286|74
1,1|2|5|16,180.0,2,2|358,2|358
1,1|2|5|23,180.0,2,2|358,2|358
1,1|2|10|31,180.0,131,131|229,131|229
1,1|2|15|36,180.0,8,8|352,8|352
1,1|2|15|39,180.0,8,8|352,8|352
1,1|2|16|23,180.0,2,2|358,2|358
1,1|2|20|31,180.0,320,320|40,320|40
1,1|2|20|43,180.0,320,320|40,320|40
1,1|2|22|29,180.0,141,141|219,141|219
1,1|2|22|42,180.0,141,141|219,141|219
1,1|2|25|31,180.0,359,359|1,359|1
1,1|2|25|33,180.0,359,359|1,359|1
1,1|2|29|42,180.0,141,141|219,141|219
1,1|2|31|33,180.0,359,359|1,359|1
1,1|2|31|43,180.0,320,320|40,320|40
1,1|2|33|34,180.0,287,287|73,287|73
1,1|2|33|41,180.0,287,287|73,287|73
1,1|2|34|41,180.0,287,287|73,287|73
1,1|2|36|39,180.0,8,8|352,8|352
1,1|3|8|28,180.0,41,41|319,41|319
1,1|3|8|41,180.0,41,41|319,41|319
1,1|3|10|31,180.0,131,131|229,131|229
1,1|3|17|23,180.0,140,140|220,140|220
1,1|3|17|32,180.0,140,140|220,140|220
1,1|3|23|32,180.0,140,140|220,140|220
1,1|3|26|33,180.0,5,5|355,5|355
1,1|3|26|34,180.0,5,5|355,5|355
1,1|3|28|41,180.0,41,41|319,41|319
1,1|3|33|34,180.0,5,5|355,5|355
1,1|4|5|13,180.0,286,286|74,286|74
1,1|4|8|11,180.0,60,60|300,60|300
1,1|4|8|19,180.0,149,149|211,149|211
1,1|4|8|22,180.0,139,139|221,139|221
1,1|4|8|27,180.0,149,149|211,149|211
1,1|4|8|36,180.0,60,60|300,60|300
1,1|4|8|37,180.0,139,139|221,139|221
1,1|4|11|36,180.0,60,60|300,60|300
1,1|4|13|23,180.0,322,322|38,322|38
1,1|4|13|33,180.0,322,322|38,322|38
1,1|4|14|21,180.0,278,278|82,278|82
1,1|4|14|42,180.0,278,278|82,278|82
1,1|4|18|21,180.0,242,242|118,242|118
1,1|4|18|42,180.0,242,242|118,242|118
1,1|4|19|27,180.0,149,149|211,149|211
1,1|4|21|30,180.0,147,147|213,147|213
2,1|4|21|42,120.0,242,242|36|82,242|36|82
1,1|4|21|43,180.0,147,147|213,147|213
1,1|4|22|37,180.0,139,139|221,139|221
1,1|4|23|33,180.0,322,322|38,322|38
1,1|4|29|32,180.0,76,76|284,76|284
1,1|4|29|33,180.0,76,76|284,76|284
1,1|4|30|43,180.0,147,147|213,147|213
1,1|4|32|33,180.0,76,76|284,76|284
1,1|5|6|8,180.0,171,171|189,171|189
1,1|5|6|13,180.0,326,326|34,326|34
1,1|5|6|26,180.0,326,326|34,326|34
1,1|5|6|27,180.0,171,171|189,171|189
1,1|5|8|27,180.0,171,171|189,171|189
1,1|5|9|29,180.0,285,285|75,285|75
1,1|5|9|42,180.0,285,285|75,285|75
1,1|5|13|26,180.0,326,326|34,326|34
1,1|5|16|23,180.0,2,2|358,2|358
1,1|5|18|38,180.0,12,12|348,12|348
1,1|5|18|41,180.0,12,12|348,12|348
1,1|5|29|42,180.0,285,285|75,285|75
1,1|5|38|41,180.0,12,12|348,12|348
1,1|6|8|27,180.0,171,171|189,171|189
1,1|6|12|18,180.0,324,324|36,324|36
1,1|6|12|36,180.0,324,324|36,324|36
1,1|6|13|26,180.0,326,326|34,326|34
1,1|6|18|36,180.0,324,324|36,324|36
1,1|7|10|25,180.0,73,73|287,73|287
1,1|7|10|27,180.0,73,73|287,73|287
1,1|7|11|16,180.0,203,203|157,203|157
1,1|7|11|23,180.0,203,203|157,203|157
1,1|7|12|19,180.0,338,338|22,338|22
1,1|7|12|21,180.0,338,338|22,338|22
1,1|7|12|26,180.0,243,243|117,243|117
1,1|7|12|43,180.0,243,243|117,243|117
1,1|7|14|35,180.0,46,46|314,46|314
1,1|7|14|43,180.0,46,46|314,46|314
1,1|7|16|23,180.0,203,203|157,203|157
1,1|7|19|21,180.0,338,338|22,338|22
1,1|7|25|27,180.0,73,73|287,73|287
1,1|7|26|43,180.0,243,243|117,243|117
1,1|7|35|43,180.0,46,46|314,46|314
1,1|8|11|36,180.0,60,60|300,60|300
1,1|8|14|23,180.0,37,37|323,37|323
1,1|8|14|40,180.0,37,37|323,37|323
1,1|8|19|27,180.0,149,149|211,149|211
1,1|8|21|34,180.0,130,130|230,130|230
1,1|8|21|35,180.0,130,130|230,130|230
1,1|8|22|37,180.0,139,139|221,139|221
1,1|8|23|40,180.0,37,37|323,37|323
1,1|8|28|41,180.0,41,41|319,41|319
1,1|8|34|35,180.0,130,130|230,130|230
1,1|9|13|16,180.0,11,11|349,11|349
1,1|9|13|30,180.0,11,11|349,11|349
1,1|9|16|30,180.0,11,11|349,11|349
1,1|9|27|29,180.0,106,106|254,106|254
1,1|9|27|35,180.0,106,106|254,106|254
1,1|9|29|35,180.0,106,106|254,106|254
1,1|9|29|42,180.0,285,285|75,285|75
1,1|10|23|38,180.0,173,173|187,173|187
1,1|10|23|43,180.0,173,173|187,173|187
1,1|10|25|27,180.0,73,73|287,73|287
1,1|10|28|35,180.0,315,315|45,315|45
1,1|10|28|41,180.0,315,315|45,315|45
1,1|10|35|41,180.0,315,315|45,315|45
1,1|10|38|43,180.0,173,173|187,173|187
1,1|11|16|23,180.0,203,203|157,203|157
1,1|11|28|31,180.0,352,352|8,352|8
1,1|11|28|41,180.0,352,352|8,352|8
1,1|11|31|41,180.0,352,352|8,352|8
1,1|12|18|36,180.0,324,324|36,324|36
1,1|12|19|21,180.0,338,338|22,338|22
1,1|12|20|39,180.0,223,223|137,223|137
1,1|12|20|41,180.0,223,223|137,223|137
1,1|12|26|43,180.0,243,243|117,243|117
1,1|12|28|30,180.0,258,258|102,258|102
1,1|12|28|33,180.0,258,258|102,258|102
1,1|12|30|33,180.0,258,258|102,258|102
1,1|12|39|41,180.0,223,223|137,223|137
1,1|13|16|30,180.0,11,11|349,11|349
1,1|13|23|33,180.0,322,322|38,322|38
1,1|13|24|27,180.0,25,25|335,25|335
1,1|13|24|39,180.0,25,25|335,25|335
1,1|13|27|39,180.0,25,25|335,25|335
1,1|13|32|37,180.0,150,150|210,150|210
1,1|13|32|43,180.0,150,150|210,150|210
1,1|13|37|43,180.0,150,150|210,150|210
1,1|14|15|18,180.0,191,191|169,191|169
1,1|14|15|25,180.0,191,191|169,191|169
1,1|14|18|22,180.0,65,65|295,65|295
1,1|14|18|25,180.0,191,191|169,191|169
1,1|14|18|43,180.0,65,65|295,65|295
1,1|14|21|42,180.0,278,278|82,278|82
1,1|14|22|43,180.0,65,65|295,65|295
1,1|14|23|40,180.0,37,37|323,37|323
1,1|14|35|43,180.0,46,46|314,46|314
1,1|15|18|25,180.0,191,191|169,191|169
1,1|15|19|21,180.0,195,195|165,195|165
1,1|15|19|42,180.0,195,195|165,195|165
1,1|15|21|42,180.0,195,195|165,195|165
1,1|15|36|39,180.0,8,8|352,8|352
1,1|17|23|32,180.0,140,140|220,140|220
1,1|18|19|34,180.0,70,70|290,70|290
1,1|18|19|40,180.0,70,70|290,70|290
1,1|18|21|42,180.0,242,242|118,242|118
1,1|18|22|30,180.0,302,302|58,302|58
1,1|18|22|39,180.0,302,302|58,302|58
1,1|18|22|43,180.0,65,65|295,65|295
1,1|18|30|39,180.0,302,302|58,302|58
1,1|18|34|40,180.0,70,70|290,70|290
1,1|18|38|41,180.0,12,12|348,12|348
1,1|19|21|42,180.0,195,195|165,195|165
1,1|19|31|37,180.0,110,110|250,110|250
1,1|19|31|39,180.0,110,110|250,110|250
1,1|19|34|40,180.0,70,70|290,70|290
1,1|19|37|39,180.0,110,110|250,110|250
1,1|20|31|43,180.0,320,320|40,320|40
1,1|20|36|39,180.0,356,356|4,356|4
1,1|20|36|43,180.0,356,356|4,356|4
1,1|20|39|41,180.0,223,223|137,223|137
1,1|20|39|43,180.0,356,356|4,356|4
1,1|21|30|43,180.0,147,147|213,147|213
1,1|21|34|35,180.0,130,130|230,130|230
1,1|22|29|42,180.0,141,141|219,141|219
1,1|22|30|39,180.0,302,302|58,302|58
1,1|22|31|32,180.0,331,331|29,331|29
1,1|22|31|37,180.0,331,331|29,331|29
1,1|22|32|37,180.0,331,331|29,331|29
1,1|23|38|43,180.0,173,173|187,173|187
1,1|24|27|39,180.0,25,25|335,25|335
1,1|25|31|33,180.0,359,359|1,359|1
1,1|26|33|34,180.0,5,5|355,5|355
1,1|27|29|35,180.0,106,106|254,106|254
1,1|27|31|34,180.0,333,333|27,333|27
1,1|27|31|36,180.0,333,333|27,333|27
1,1|27|34|36,180.0,333,333|27,333|27
1,1|28|30|33,180.0,258,258|102,258|102
1,1|28|31|41,180.0,352,352|8,352|8
1,1|28|35|41,180.0,315,315|45,315|45
1,1|29|32|33,180.0,76,76|284,76|284
1,1|31|32|37,180.0,331,331|29,331|29
1,1|31|34|36,180.0,333,333|27,333|27
1,1|31|37|39,180.0,110,110|250,110|250
1,1|32|37|43,180.0,150,150|210,150|210
1,1|33|34|41,180.0,287,287|73,287|73
1,1|36|39|43,180.0,356,356|4,356|4
1,2|3|4|5,180.0,57,57|303,57|303
1,2|3|4|12,180.0,96,96|264,96|264
1,2|3|4|16,180.0,96,96|264,96|264
1,2|3|4|29,180.0,57,57|303,57|303
1,2|3|5|29,180.0,57,57|303,57|303
1,2|3|10|31,180.0,131,131|229,131|229
1,2|3|12|16,180.0,96,96|264,96|264
