conteo,tupla,X,L,M,T
4,1|2,72.0,34,34|76|144|67|39,34|76|144|67|39
3,1|3,90.0,43,43|222|77|18,43|222|77|18
4,1|4,72.0,23,23|158|82|29|68,23|158|82|29|68
9,1|5,36.0,6,6|28|14|17|45|27|95|22|38|68,6|28|14|17|45|27|95|22|38|68
2,1|6,120.0,197,197|68|95,197|68|95
3,1|7,90.0,106,106|215|21|18,106|215|21|18
6,1|8,51.42857142857143,84,84|53|26|1|17|7|172,84|53|26|1|17|7|172
4,1|9,72.0,17,17|63|4|99|177,17|63|4|99|177
5,1|10,60.0,23,23|68|72|25|110|62,23|68|72|25|110|62
5,1|11,60.0,22,41,22|41|177|41|56|23
5,1|12,60.0,99,99|53|12|24|84|88,99|53|12|24|84|88
3,1|13,90.0,152,152|80|3|125,152|80|3|125
7,1|14,45.0,23,23|139|2|17|59|14|44|62,23|139|2|17|59|14|44|62
6,1|15,51.42857142857143,48,48|17|26|72|27|50|120,48|17|26|72|27|50|120
2,1|16,120.0,6,6|336|18,6|336|18
2,1|17,120.0,183,183|14|163,183|14|163
3,1|18,90.0,17,17|48|200|95,17|48|200|95
4,1|19,72.0,98,98|8|46|185|23,98|8|46|185|23
8,1|20,40.0,80,80|11|46|98|30|7|65|16|7,80|11|46|98|30|7|65|16|7
2,1|21,120.0,110,110|171|79,110|171|79
4,1|22,72.0,84,84|22|126|3|125,84|22|126|3|125
7,1|23,45.0,17,17|18|28|21|15|133|60|68,17|18|28|21|15|133|60|68
3,1|24,90.0,22,22|13|155|170,22|13|155|170
3,1|25,90.0,23,23|249|81|7,23|249|81|7
4,1|26,72.0,6,6|29|162|95|68,6|29|162|95|68
2,1|27,120.0,152,152|201|7,152|201|7
2,1|28,120.0,91,91|230|39,91|230|39
4,1|29,72.0,6,6|93|38|53|170,6|93|38|53|170
5,1|30,60.0,34,34|14|15|101|90|106,34|14|15|101|90|106
2,1|31,120.0,98,98|64|198,98|64|198
4,1|32,72.0,22,22|41|172|107|18,22|41|172|107|18
3,1|33,90.0,80,80|103|7|170,80|103|7|170
4,1|34,72.0,106,106|56|136|55|7,106|56|136|55|7
3,1|35,90.0,110,110|87|75|88,110|87|75|88
3,1|36,90.0,43,43|55|165|97,43|55|165|97
3,1|37,90.0,263,263|18|56|23,263|18|56|23
4,1|38,72.0,17,17|82|182|40|39,17|82|182|40|39
3,1|39,90.0,22,22,22|21|22|295
6,1|40,51.42857142857143,43,43|5|115|23|2|52|120,43|5|115|23|2|52|120
4,1|41,72.0,80,80|18|83|5|174,80|18|83|5|174
5,1|42,60.0,35,35|127|21|3|112|62,35|127|21|3|112|62
3,1|43,90.0,34,34|152|77|97,34|152|77|97
5,2|3,60.0,49,49|74|13|105|54|65,49|74|13|105|54|65
5,2|4,60.0,29,29|58|42|64|120|47,29|58|42|64|120|47
7,2|5,45.0,3,3|31|56|20|24|81|39|106,3|31|56|20|24|81|39|106
7,2|6,45.0,29,29|155|96|3|7|36|4|30,29|155|96|3|7|36|4|30
5,2|7,60.0,3,3|59|41|10|208|39,3|59|41|10|208|39
7,2|8,45.0,49,49|163|16|55|12|2|33|30,49|163|16|55|12|2|33|30
3,2|9,90.0,42,42|111|5|202,42|111|5|202
6,2|10,51.42857142857143,42,42|18|10|16|37|167|70,42|18|10|16|37|167|70
3,2|11,90.0,60,60|210|27|63,60|210|27|63
6,2|12,51.42857142857143,3,3|131|2|105|68|21|30,3|131|2|105|68|21|30
2,2|13,120.0,70,70|20|270,70|20|270
5,2|14,60.0,57,57|197|26|16|30|34,57|197|26|16|30|34
7,2|15,45.0,28,28,28|34|88|3|127|10|28|42
6,2|16,51.42857142857143,29,29|33|8|43|196|9|42,29|33|8|43|196|9|42
3,2|17,90.0,49,49|11|155|145,49|11|155|145
2,2|18,120.0,87,87|71|202,87|71|202
7,2|19,45.0,49,49|80|40|59|13|29|6|84,49|80|40|59|13|29|6|84
3,2|20,90.0,212,212|3|111|34,212|3|111|34
4,2|21,72.0,110,110|160|40|3|47,110|160|40|3|47
6,2|22,51.42857142857143,3,3|57|2|122|28|106|42,3|57|2|122|28|106|42
5,2|23,60.0,215,215|13|15|4|23|90,215|13|15|4|23|90
4,2|24,72.0,123,123|160|7|19|51,123|160|7|19|51
