conteo,tupla,X,L,M,T
8,1|2,40.0,2,2|6|123|10|145|1|33|39|1,2|6|123|10|145|1|33|39|1
4,1|3,72.0,5,5|36|90|9|220,5|36|90|9|220
9,1|4,36.0,60,8|36,60|16|63|8|2|93|36|8|36|38
6,1|5,51.42857142857143,2,2|10|159|114|1|40|34,2|10|159|114|1|40|34
3,1|6,90.0,171,171|153|2|34,171|153|2|34
5,1|7,60.0,46,46|27|130|40|95|22,46|27|130|40|95|22
7,1|8,45.0,37,37|4|19|70|9|10|22|189,37|4|19|70|9|10|22|189
3,1|9,90.0,11,11|95|179|75,11|95|179|75
4,1|10,72.0,73,73|58|42|142|45,73|58|42|142|45
3,1|11,90.0,60,60|143|149|8,60|143|149|8
5,1|12,60.0,223,223|20|15|66|14|22,223|20|15|66|14|22
6,1|13,51.42857142857143,11,11|14|125|136|36|4|34,11|14|125|136|36|4|34
5,1|14,60.0,37,37|9|19|126|87|82,37|9|19|126|87|82
3,1|15,90.0,8,8|183|4|165,8|183|4|165
3,1|16,90.0,2,2|9|192|157,2|9|192|157
1,1|17,180.0,140,140|220,140|220
7,1|18,45.0,12,12|53|5|121|51|60|22|36,12|53|5|121|51|60|22|36
5,1|19,60.0,70,70|40|39|46|143|22,70|40|39|46|143|22
3,1|20,90.0,223,223|97|36|4,223|97|36|4
6,1|21,51.42857142857143,130,130|17|48|47|36|60|22,130|17|48|47|36|60|22
5,1|22,60.0,65,65|74|2|161|29|29,65|74|2|161|29|29
6,1|23,51.42857142857143,2,2|35|103|33|30|119|38,2|35|103|33|30|119|38
1,1|24,180.0,25,25|335,25|335
3,1|25,90.0,73,73|118|168|1,73|118|168|1
3,1|26,90.0,5,5|238|83|34,5|238|83|34
6,1|27,51.42857142857143,25,25|48|33|43|22|162|27,25|48|33|43|22|162|27
4,1|28,72.0,41,41|217|57|37|8,41|217|57|37|8
4,1|29,72.0,76,76|30|35|144|75,76|30|35|144|75
4,1|30,72.0,11,11|136|111|44|58,11|136|111|44|58
7,1|31,45.0,110,110|21|189|11|2|19|7|1,110|21|189|11|2|19|7|1
4,1|32,72.0,76,76|64|10|181|29,76|64|10|181|29
6,1|33,51.42857142857143,5,5|71|182|29|35|37|1,5|71|182|29|35|37|1
5,1|34,60.0,5,5|65|60|157|46|27,5|65|60|157|46|27
4,1|35,72.0,46,46|60|24|185|45,46|60|24|185|45
5,1|36,60.0,8,8|52|264|9|23|4,8|52|264|9|23|4
4,1|37,72.0,110,110|29|11|181|29,110|29|11|181|29
2,1|38,120.0,12,12|161|187,12|161|187
6,1|39,51.42857142857143,8,8|17|85|113|79|54|4,8|17|85|113|79|54|4
2,1|40,120.0,37,37|33|290,37|33|290
6,1|41,51.42857142857143,12,12|29|182|64|28|37|8,12|29|182|64|28|37|8
5,1|42,60.0,141,141|54|47|36|7|75,141|54|47|36|7|75
8,1|43,40.0,46,46|19|82|3|23|70|77|36|4,46|19|82|3|23|70|77|36|4
5,2|3,60.0,57,57|31|8|35|93|136,57|31|8|35|93|136
8,2|4,40.0,57,57|39|69|28|18|75|17|5|52,57|39|69|28|18|75|17|5|52
6,2|5,51.42857142857143,2,2|55|157|13|59|11|63,2|55|157|13|59|11|63
2,2|6,120.0,211,211|71|78,211|71|78
4,2|7,72.0,23,23|21|167|86|63,23|21|167|86|63
4,2|8,72.0,29,29|45|28|139|119,29|45|28|139|119
9,2|9,36.0,44,44|30|6|22|112|13|70|11|37|15,44|30|6|22|112|13|70|11|37|15
6,2|10,51.42857142857143,18,18|76|37|11|161|8|49,18|76|37|11|161|8|49
6,2|11,51.42857142857143,48,48|50|15|9|105|1|132,48|50|15|9|105|1|132
6,2|12,51.42857142857143,44,44|52|6|30|33|180|15,44|52|6|30|33|180|15
4,2|13,72.0,211,211|18|57|3|71,211|18|57|3|71
6,2|14,51.42857142857143,23,23|6|62|51|147|7|64,23|6|62|51|147|7|64
2,2|15,120.0,8,8|300|52,8|300|52
7,2|16,45.0,2,2|89,2|89|3|2|36|61|89|78
3,2|17,90.0,80,80|11|212|57,80|11|212|57
4,2|18,72.0,88,88|25|15|37|195,88|25|15|37|195
3,2|19,90.0,15,15|14|151|180,15|14|151|180
2,2|20,120.0,241,241|79|40,241|79|40
4,2|21,72.0,6,6|82|208|15|49,6|82|208|15|49
5,2|22,60.0,15,15|16|110|39|44|136,15|16|110|39|44|136
5,2|23,60.0,2,2|92|19|169|29|49,2|92|19|169|29|49
3,2|24,90.0,31,31|67|210|52,31|67|210|52
7,2|25,45.0,15,15|8|51|20|135|12|118|1,15|8|51|20|135|12|118|1
4,2|26,72.0,48,48|84|96|61|71,48|84|96|61|71
6,2|27,51.42857142857143,6,6|12|13|49|161|55|64,6|12|13|49|161|55|64
6,2|28,51.42857142857143,29,29|69|82|44|72|1|63,29|69|82|44|72|1|63
3,2|29,90.0,57,57|71|13|219,57|71|13|219
3,2|30,90.0,18,18|114|61|167,18|114|61|167
6,2|31,51.42857142857143,18,18|5|68|40|189|39|1,18|5|68|40|189|39|1
2,2|32,120.0,48,48|132|180,48|132|180
5,2|33,60.0,74,74|48|106|59|72|1,74|48|106|59|72|1
5,2|34,60.0,44,44|98|72|73|58|15,44|98|72|73|58|15
2,2|35,120.0,165,165|146|49,165|146|49
5,2|36,60.0,6,6|2|80|34|107|131,6|2|80|34|107|131
5,2|37,60.0,15,15|16|97|96|79|57,15|16|97|96|79|57
1,2|38,180.0,122,122|238,122|238
4,2|39,72.0,8,8|90|4|26|232,8|90|4|26|232
5,2|40,60.0,6,6|136|51|35|117|15,6|136|51|35|117|15
2,2|41,120.0,48,48|239|73,48|239|73
5,2|42,60.0,80,80|61|73|13|62|71,80|61|73|13|62|71
4,2|43,72.0,113,113|116|53|38|40,113|116|53|38|40
6,3|4,51.42857142857143,57,57|39|48|9|4|185|18,57|39|48|9|4|185|18
2,3|5,120.0,57,57|115|188,57|115|188
1,3|6,180.0,192,192|168,192|168
5,3|7,60.0,49,49|43|76|8|10|174,49|43|76|8|10|174
3,3|8,90.0,41,41|96|81|142,41|96|81|142
1,3|9,180.0,342,342|18,342|18
6,3|10,51.42857142857143,97,97|8|26|38|49|96|46,97|8|26|38|49|96|46
4,3|11,72.0,146,146|30|10|77|97,146|30|10|77|97
4,3|12,90.0,49,49|47|29|235,49|47|29|235
2,3|13,120.0,314,314|18|28,314|18|28
2,3|14,120.0,168,168|164|28,168|164|28
2,3|15,120.0,159,159|59|142,159|59|142
4,3|16,72.0,96,96|1|139|8|116,96|1|139|8|116
3,3|17,90.0,140,140|5|187|28,140|5|187|28
4,3|18,72.0,88,88|127|21|27|97,88|127|21|27|97
4,3|19,72.0,19,19|149|8|68|116,19|149|8|68|116
8,3|20,40.0,19,19|86|39|15|81|4|98|5|13,19|86|39|15|81|4|98|5|13
3,3|21,90.0,19,19|69|226|46,19|69|226|46
5,3|22,60.0,157,157|11|52|4|16|120,157|11|52|4|16|120
8,3|23,40.0,92,92|48|19|33|52|13|38|37|28,92|48|19|33|52|13|38|37|28
