conteo,tupla,X,L,M,T
1,1|2|3|10|31,180.0,131,131|229,131|229
1,1|2|4|5|13,180.0,286,286|74,286|74
1,1|2|5|16|23,180.0,2,2|358,2|358
1,1|2|15|36|39,180.0,8,8|352,8|352
1,1|2|20|31|43,180.0,320,320|40,320|40
1,1|2|22|29|42,180.0,141,141|219,141|219
1,1|2|25|31|33,180.0,359,359|1,359|1
1,1|2|33|34|41,180.0,287,287|73,287|73
1,1|3|8|28|41,180.0,41,41|319,41|319
1,1|3|17|23|32,180.0,140,140|220,140|220
1,1|3|26|33|34,180.0,5,5|355,5|355
1,1|4|8|11|36,180.0,60,60|300,60|300
1,1|4|8|19|27,180.0,149,149|211,149|211
1,1|4|8|22|37,180.0,139,139|221,139|221
1,1|4|13|23|33,180.0,322,322|38,322|38
1,1|4|14|21|42,180.0,278,278|82,278|82
1,1|4|18|21|42,180.0,242,242|118,242|118
1,1|4|21|30|43,180.0,147,147|213,147|213
1,1|4|29|32|33,180.0,76,76|284,76|284
1,1|5|6|8|27,180.0,171,171|189,171|189
1,1|5|6|13|26,180.0,326,326|34,326|34
1,1|5|9|29|42,180.0,285,285|75,285|75
1,1|5|18|38|41,180.0,12,12|348,12|348
1,1|6|12|18|36,180.0,324,324|36,324|36
1,1|7|10|25|27,180.0,73,73|287,73|287
1,1|7|11|16|23,180.0,203,203|157,203|157
1,1|7|12|19|21,180.0,338,338|22,338|22
1,1|7|12|26|43,180.0,243,243|117,243|117
1,1|7|14|35|43,180.0,46,46|314,46|314
1,1|8|14|23|40,180.0,37,37|323,37|323
1,1|8|21|34|35,180.0,130,130|230,130|230
1,1|9|13|16|30,180.0,11,11|349,11|349
1,1|9|27|29|35,180.0,106,106|254,106|254
1,1|10|23|38|43,180.0,173,173|187,173|187
1,1|10|28|35|41,180.0,315,315|45,315|45
1,1|11|28|31|41,180.0,352,352|8,352|8
1,1|12|20|39|41,180.0,223,223|137,223|137
1,1|12|28|30|33,180.0,258,258|102,258|102
1,1|13|24|27|39,180.0,25,25|335,25|335
