conteo,tupla,X,L,M,T
3,1|2|5,90.0,34,34|76|144|106,34|76|144|106
1,1|2|7,180.0,321,321|39,321|39
1,1|2|14,180.0,254,254|106,254|106
1,1|2|21,180.0,110,110|250,110|250
1,1|2|28,180.0,321,321|39,321|39
2,1|2|30,120.0,34,34|220|106,34|220|106
1,1|2|35,180.0,110,110|250,110|250
1,1|2|38,180.0,321,321|39,321|39
1,1|2|43,180.0,34,34|326,34|326
1,1|3|6,180.0,265,265|95,265|95
1,1|3|7,180.0,342,342|18,342|18
1,1|3|16,180.0,342,342|18,342|18
1,1|3|18,180.0,265,265|95,265|95
1,1|3|20,180.0,265,265|95,265|95
1,1|3|32,180.0,342,342|18,342|18
1,1|3|36,180.0,43,43|317,43|317
1,1|3|39,180.0,43,43|317,43|317
1,1|3|40,180.0,43,43|317,43|317
1,1|4|5,180.0,292,292|68,292|68
1,1|4|8,180.0,181,181|179,181|179
1,1|4|10,180.0,23,23|337,23|337
2,1|4|14,120.0,23,23|158|179,23|158|179
1,1|4|23,180.0,292,292|68,292|68
1,1|4|25,180.0,23,23|337,23|337
1,1|4|26,180.0,292,292|68,292|68
1,1|4|36,180.0,263,263|97,263|97
1,1|4|37,180.0,263,263|97,263|97
1,1|4|41,180.0,181,181|179,181|179
1,1|4|43,180.0,263,263|97,263|97
1,1|5|8,180.0,137,137|223,137|223
1,1|5|13,180.0,232,232|128,232|128
1,1|5|14,180.0,254,254|106,254|106
2,1|5|15,120.0,48,48|17|295,48|17|295
1,1|5|16,180.0,6,6|354,6|354
1,1|5|18,180.0,65,65|295,65|295
1,1|5|20,180.0,137,137|223,137|223
1,1|5|21,180.0,110,110|250,110|250
1,1|5|22,180.0,232,232|128,232|128
2,1|5|23,120.0,232,232|60|68,232|60|68
2,1|5|26,120.0,6,6|286|68,6|286|68
2,1|5|29,120.0,6,6|131|223,6|131|223
3,1|5|30,90.0,34,34|14|206|106,34|14|206|106
1,1|5|35,180.0,110,110|250,110|250
1,1|5|39,180.0,65,65|295,65|295
1,1|5|40,180.0,48,48|312,48|312
1,1|5|43,180.0,34,34|326,34|326
1,1|6|17,180.0,197,197|163,197|163
1,1|6|18,180.0,265,265|95,265|95
1,1|6|20,180.0,265,265|95,265|95
1,1|6|26,180.0,197,197|163,197|163
1,1|6|35,180.0,197,197|163,197|163
1,1|7|16,180.0,342,342|18,342|18
1,1|7|19,180.0,106,106|254,106|254
1,1|7|22,180.0,106,106|254,106|254
