conteo,tupla,X,L,M,T
1,1|2|3,180.0,131,131|229,131|229
1,1|2|4,180.0,286,286|74,286|74
2,1|2|5,120.0,2,2|284|74,2|284|74
1,1|2|10,180.0,131,131|229,131|229
1,1|2|13,180.0,286,286|74,286|74
1,1|2|15,180.0,8,8|352,8|352
1,1|2|16,180.0,2,2|358,2|358
1,1|2|20,180.0,320,320|40,320|40
1,1|2|22,180.0,141,141|219,141|219
1,1|2|23,180.0,2,2|358,2|358
1,1|2|25,180.0,359,359|1,359|1
1,1|2|29,180.0,141,141|219,141|219
3,1|2|31,90.0,131,131|189|39|1,131|189|39|1
2,1|2|33,120.0,287,287|72|1,287|72|1
1,1|2|34,180.0,287,287|73,287|73
1,1|2|36,180.0,8,8|352,8|352
1,1|2|39,180.0,8,8|352,8|352
1,1|2|41,180.0,287,287|73,287|73
1,1|2|42,180.0,141,141|219,141|219
1,1|2|43,180.0,320,320|40,320|40
1,1|3|8,180.0,41,41|319,41|319
1,1|3|10,180.0,131,131|229,131|229
1,1|3|17,180.0,140,140|220,140|220
1,1|3|23,180.0,140,140|220,140|220
1,1|3|26,180.0,5,5|355,5|355
1,1|3|28,180.0,41,41|319,41|319
1,1|3|31,180.0,131,131|229,131|229
1,1|3|32,180.0,140,140|220,140|220
1,1|3|33,180.0,5,5|355,5|355
1,1|3|34,180.0,5,5|355,5|355
1,1|3|41,180.0,41,41|319,41|319
1,1|4|5,180.0,286,286|74,286|74
3,1|4|8,90.0,60,60|79|10|211,60|79|10|211
1,1|4|11,180.0,60,60|300,60|300
2,1|4|13,120.0,286,286|36|38,286|36|38
1,1|4|14,180.0,278,278|82,278|82
1,1|4|18,180.0,242,242|118,242|118
1,1|4|19,180.0,149,149|211,149|211
3,1|4|21,90.0,147,147|95|36|82,147|95|36|82
1,1|4|22,180.0,139,139|221,139|221
1,1|4|23,180.0,322,322|38,322|38
1,1|4|27,180.0,149,149|211,149|211
1,1|4|29,180.0,76,76|284,76|284
1,1|4|30,180.0,147,147|213,147|213
1,1|4|32,180.0,76,76|284,76|284
2,1|4|33,120.0,76,76|246|38,76|246|38
1,1|4|36,180.0,60,60|300,60|300
1,1|4|37,180.0,139,139|221,139|221
2,1|4|42,120.0,242,242|36|82,242|36|82
1,1|4|43,180.0,147,147|213,147|213
2,1|5|6,120.0,171,171|155|34,171|155|34
1,1|5|8,180.0,171,171|189,171|189
1,1|5|9,180.0,285,285|75,285|75
2,1|5|13,120.0,286,286|40|34,286|40|34
1,1|5|16,180.0,2,2|358,2|358
1,1|5|18,180.0,12,12|348,12|348
1,1|5|23,180.0,2,2|358,2|358
1,1|5|26,180.0,326,326|34,326|34
1,1|5|27,180.0,171,171|189,171|189
1,1|5|29,180.0,285,285|75,285|75
1,1|5|38,180.0,12,12|348,12|348
1,1|5|41,180.0,12,12|348,12|348
1,1|5|42,180.0,285,285|75,285|75
1,1|6|8,180.0,171,171|189,171|189
