conteo,tupla,X,L,M,R,T,P,Pr,PrX,PrL,PrM
1,10|11|15|28,197,111,86,111|283,111|283,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|11|15|31,197,160,37,160|234,160|234,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|11|15|35,197,111,86,111|283,111|283,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|11|15|38,197,160,37,160|234,160|234,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|11|23|33,197,10,187,10|384,10|384,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|11|28|35,197,111,86,111|283,111|283,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|11|31|38,197,160,37,160|234,160|234,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|11|37|40,197,50,147,50|344,50|344,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|11|37|41,197,50,147,50|344,50|344,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|11|40|41,197,50,147,50|344,50|344,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|12|13|32,197,230,33,230|164,230|164,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|12|13|38,197,230,33,230|164,230|164,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|12|16|17,197,290,93,290|104,290|104,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|12|16|27,197,290,93,290|104,290|104,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|12|17|27,197,290,93,290|104,290|104,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|12|18|39,197,201,4,201|193,201|193,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|12|25|27,197,152,45,152|242,152|242,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|12|25|41,197,152,45,152|242,152|242,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|12|27|41,197,152,45,152|242,152|242,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|12|32|38,197,230,33,230|164,230|164,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|12|34|35,197,255,58,255|139,255|139,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|12|34|36,197,255,58,255|139,255|139,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|12|35|36,197,255,58,255|139,255|139,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|13|21|38,197,348,151,348|46,348|46,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|13|22|26,197,68,129,68|326,68|326,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|13|22|42,197,68,129,68|326,68|326,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|13|26|42,197,68,129,68|326,68|326,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|13|32|38,197,230,33,230|164,230|164,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|14|18|20,197,299,102,299|95,299|95,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|14|18|33,197,299,102,299|95,299|95,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|14|19|39,197,216,19,216|178,216|178,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|14|19|41,197,216,19,216|178,216|178,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|14|20|21,197,244,47,244|150,244|150,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|14|20|33,197,299,102,299|95,299|95,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|14|20|41,197,244,47,244|150,244|150,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|14|21|41,197,244,47,244|150,244|150,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|14|22|39,197,85,112,85|309,85|309,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|14|27|35,197,170,27,170|224,170|224,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|14|27|41,197,170,27,170|224,170|224,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|14|29|30,197,218,21,218|176,218|176,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|14|29|42,197,218,21,218|176,218|176,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|14|30|42,197,218,21,218|176,218|176,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|14|34|40,197,176,21,176|218,176|218,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|14|35|41,197,170,27,170|224,170|224,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|14|39|41,197,216,19,216|178,216|178,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|15|16|29,197,121,76,121|273,121|273,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|15|16|39,197,121,76,121|273,121|273,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|15|20|32,197,101,96,101|293,101|293,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|15|20|41,197,101,96,101|293,101|293,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|15|28|35,197,111,86,111|283,111|283,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|15|29|39,197,121,76,121|273,121|273,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|15|31|38,197,160,37,160|234,160|234,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|15|32|41,197,101,96,101|293,101|293,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|16|17|27,197,290,93,290|104,290|104,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|16|18|35,197,374,177,374|20,374|20,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|16|18|40,197,374,177,374|20,374|20,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|16|19|23,197,351,154,351|43,351|43,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|16|19|34,197,351,154,351|43,351|43,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|16|23|25,197,128,69,128|266,128|266,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|16|23|34,197,351,154,351|43,351|43,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|16|25|41,197,131,66,131|263,131|263,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|16|29|39,197,121,76,121|273,121|273,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|16|35|40,197,374,177,374|20,374|20,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|17|24|29,197,186,11,186|208,186|208,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|17|24|37,197,352,155,352|42,352|42,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,10|17|24|42,197,352,155,352|42,352|42,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
