conteo,tupla,X,L,M,R,T,P,Pr,PrX,PrL,PrM
4,32|37,77,77,0,77|34|142|9|124,77|34|142|9|124,0.0010335917312661498,0.6670111972437555,1.0,1.0,0.0010335917312661498
5,31|36,64,64,0,64|60|50|1|24|187,64|60|50|1|24|187,0.0012919896640826874,0.6670973298880276,1.0,1.0,0.0012919896640826874
5,4|31,64,64,0,64|40|43|213|18|8,64|40|43|213|18|8,0.0012919896640826874,0.6670973298880276,1.0,1.0,0.0012919896640826874
6,2|16,55,55,0,55|33|8|43|196|9|42,55|33|8|43|196|9|42,0.0015503875968992248,0.6671834625322998,1.0,1.0,0.0015503875968992248
2,22|39,128,128,0,128,128|128|130,0.0005167958656330749,0.666838931955211,1.0,1.0,0.0005167958656330749
2,7|9,128,128,0,128|25|233,128|25|233,0.0005167958656330749,0.666838931955211,1.0,1.0,0.0005167958656330749
6,2|34,55,55,0,55,55|100|55|3|56|67|50,0.0015503875968992248,0.6671834625322998,1.0,1.0,0.0015503875968992248
9,8|37,38,39,1,39|61|4|7|142|1|55|22|53|2,39|61|4|7|142|1|55|22|53|2,0.002325581395348837,0.6674418604651162,1.0,1.0,0.002325581395348837
5,29|37,64,65,1,65|36|63|28|184|10,65|36|63|28|184|10,0.0012919896640826874,0.6670973298880276,1.0,1.0,0.0012919896640826874
3,4|28,96,95,1,95|18|220|53,95|18|220|53,0.0007751937984496124,0.6669250645994832,1.0,1.0,0.0007751937984496124
2,24|37,128,127,1,127|182|77,127|182|77,0.0005167958656330749,0.666838931955211,1.0,1.0,0.0005167958656330749
6,27|28,55,54,1,54|68|71|47|29|12|105,54|68|71|47|29|12|105,0.0015503875968992248,0.6671834625322998,1.0,1.0,0.0015503875968992248
7,10|14,48,49,1,49|84|18|41|9|85|38|62,49|84|18|41|9|85|38|62,0.0018087855297157622,0.667269595176572,1.0,1.0,0.0018087855297157622
6,2|41,55,54,1,54|62|23|74|6|103|64,54|62|23|74|6|103|64,0.0015503875968992248,0.6671834625322998,1.0,1.0,0.0015503875968992248
4,3|43,77,78,1,78|79|95|129|5,78|79|95|129|5,0.0010335917312661498,0.6670111972437555,1.0,1.0,0.0010335917312661498
4,3|41,77,78,1,78|107|66|104|31,78|107|66|104|31,0.0010335917312661498,0.6670111972437555,1.0,1.0,0.0010335917312661498
2,26|33,128,129,1,129|41|216,129|41|216,0.0005167958656330749,0.666838931955211,1.0,1.0,0.0005167958656330749
8,23|38,42,43,1,43|19|63|10|36|101|13|55|46,43|19|63|10|36|101|13|55|46,0.0020671834625322996,0.6673557278208441,1.0,1.0,0.0020671834625322996
7,1|14,48,49,1,49|139|2|17|59|14|44|62,49|139|2|17|59|14|44|62,0.0018087855297157622,0.667269595176572,1.0,1.0,0.0018087855297157622
4,3|17,77,75,2,75|9|146|73|83,75|9|146|73|83,0.0010335917312661498,0.6670111972437555,1.0,1.0,0.0010335917312661498
