conteo,tupla,X,L,M,R,T,P,Pr,PrX,PrL,PrM
8,11|40,42,42,0,42|38|4|31|139|23|30|20|59,42|38|4|31|139|23|30|20|59,0.0020671834625322996,0.6673557278208441,1.0,1.0,0.0020671834625322996
2,9|39,128,128,0,128|170|88,128|170|88,0.0005167958656330749,0.666838931955211,1.0,1.0,0.0005167958656330749
8,11|41,42,42,0,42|32|98|40|20|28|85|33|8,42|32|98|40|20|28|85|33|8,0.0020671834625322996,0.6673557278208441,1.0,1.0,0.0020671834625322996
6,2|28,55,55,0,55|69|82|44|72|1|63,55|69|82|44|72|1|63,0.0015503875968992248,0.6671834625322998,1.0,1.0,0.0015503875968992248
7,23|36,48,48,0,23,48|23|59|108|57|24|44|23,0.0018087855297157622,0.667269595176572,1.0,1.0,0.0018087855297157622
7,25|31,48,49,1,49|147|18|104|6|51|10|1,49|147|18|104|6|51|10|1,0.0018087855297157622,0.667269595176572,1.0,1.0,0.0018087855297157622
5,29|34,64,65,1,65|81|36|8|113|83,65|81|36|8|113|83,0.0012919896640826874,0.6670973298880276,1.0,1.0,0.0012919896640826874
7,8|27,48,47,1,17,47|17|55|56|5|17|70|119,0.0018087855297157622,0.667269595176572,1.0,1.0,0.0018087855297157622
5,8|23,64,63,1,63|45|134|31|22|91,63|45|134|31|22|91,0.0012919896640826874,0.6670973298880276,1.0,1.0,0.0012919896640826874
8,25|37,42,41,1,41|104|19|6|39|25|122|9|21,41|104|19|6|39|25|122|9|21,0.0020671834625322996,0.6673557278208441,1.0,1.0,0.0020671834625322996
6,12|25,55,56,1,56|88|7|105|8|111|11,56|88|7|105|8|111|11,0.0015503875968992248,0.6671834625322998,1.0,1.0,0.0015503875968992248
3,21|37,96,97,1,97|37|123|129,97|37|123|129,0.0007751937984496124,0.6669250645994832,1.0,1.0,0.0007751937984496124
6,12|26,55,56,1,95,56|95|7|1|15|95|117,0.0015503875968992248,0.6671834625322998,1.0,1.0,0.0015503875968992248
6,12|43,55,56,1,56|33|36|30|114|8|109,56|33|36|30|114|8|109,0.0015503875968992248,0.6671834625322998,1.0,1.0,0.0015503875968992248
7,14|25,48,49,1,49|46|114|7|1|139|5|25,49|46|114|7|1|139|5|25,0.0018087855297157622,0.667269595176572,1.0,1.0,0.0018087855297157622
5,34|39,64,65,1,65|116|49|69|63|24,65|116|49|69|63|24,0.0012919896640826874,0.6670973298880276,1.0,1.0,0.0012919896640826874
