conteo,tupla,X,L,M,R,T,P,Pr,PrX,PrL,PrM
1,6|10|12|18|39,193,193,0,193,193|193,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,6|22|25|28|40,193,192,1,192|194,192|194,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,3|7|14|19|22,193,194,1,194|192,194|192,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,2|4|12|18|35,193,191,2,191|195,191|195,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,3|10|32|40|42,193,195,2,195|191,195|191,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,19|25|28|31|40,193,196,3,196|190,196|190,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,24|29|34|35|40,193,190,3,190|196,190|196,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,6|8|13|14|37,193,189,4,189|197,189|197,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,1|5|6|8|27,193,197,4,197|189,197|189,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,5|16|26|32|36,193,188,5,188|198,188|198,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,3|5|30|37|39,193,198,5,198|188,198|188,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,6|22|33|36|41,193,187,6,187|199,187|199,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,1|10|23|38|43,193,199,6,199|187,199|187,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,18|20|21|35|43,193,186,7,186|200,186|200,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,16|17|21|22|43,193,200,7,200|186,200|186,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,16|18|19|21|38,193,201,8,201|185,201|185,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,3|15|20|23|25,193,185,8,185|201,185|201,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,6|17|24|39|43,193,184,9,184|202,184|202,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,3|7|11|19|25,193,202,9,202|184,202|184,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,3|4|22|40|41,193,183,10,183|203,183|203,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,7|9|16|24|31,193,203,10,203|183,203|183,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,20|29|32|34|37,193,182,11,182|204,182|204,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,8|15|28|38|42,193,204,11,204|182,204|182,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,6|13|15|26|31,193,205,12,205|181,205|181,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,15|18|24|34|39,193,181,12,181|205,181|205,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,6|7|8|27|34,193,180,13,180|206,180|206,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,2|19|22|28|32,193,206,13,206|180,206|180,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,5|20|27|30|38,193,207,14,207|179,207|179,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,3|4|31|34|43,193,179,14,179|207,179|207,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,10|14|19|39|41,193,208,15,208|178,208|178,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,10|17|24|29|43,193,178,15,178|208,178|208,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,4|8|32|34|40,193,177,16,177|209,177|209,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,9|14|25|26|37,193,209,16,209|177,209|177,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,1|13|32|37|43,193,176,17,176|210,176|210,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,10|14|29|30|42,193,210,17,210|176,210|176,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,1|4|8|19|27,193,175,18,175|211,175|211,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,9|13|31|33|41,193,211,18,211|175,211|175,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,3|7|11|39|41,193,212,19,212|174,212|174,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,4|11|12|16|26,193,174,19,174|212,174|212,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,15|27|28|41|42,193,213,20,213|173,213|173,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,1|4|21|30|43,193,173,20,173|213,173|213,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,4|13|25|31|33,193,214,21,214|172,214|172,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,3|11|27|39|41,193,172,21,172|214,172|214,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,4|17|36|37|43,193,215,22,215|171,215|171,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,3|17|25|39|42,193,171,22,171|215,171|215,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,14|20|24|25|39,193,216,23,216|170,216|170,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,3|4|20|25|37,193,170,23,170|216,170|216,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,1|14|15|18|25,193,217,24,217|169,217|169,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,9|16|20|28|37,193,169,24,169|217,169|217,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,3|6|23|25|38,193,218,25,218|168,218|168,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,2|10|14|34|40,193,168,25,168|218,168|218,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,1|2|22|29|42,193,167,26,167|219,167|219,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,2|4|16|30|40,193,219,26,219|167,219|167,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,1|3|17|23|32,193,166,27,166|220,166|220,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,5|13|22|34|43,193,220,27,220|166,220|166,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,1|4|8|22|37,193,165,28,165|221,165|221,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,1|15|19|21|42,193,221,28,221|165,221|165,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,10|25|29|35|37,193,164,29,164|222,164|222,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,10|12|13|32|38,193,222,29,222|164,222|164,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,11|20|21|23|32,193,223,30,223|163,223|163,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,3|8|25|28|40,193,163,30,163|223,163|223,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,10|14|27|35|41,193,162,31,162|224,162|224,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,5|23|24|29|43,193,224,31,224|162,224|162,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,8|20|32|36|40,193,225,32,225|161,225|161,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,4|10|20|32|33,193,161,32,161|225,161|225,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,15|16|24|26|32,193,160,33,160|226,160|226,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,9|14|28|33|43,193,226,33,226|160,226|160,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,6|12|15|26|35,193,159,34,159|227,159|227,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,8|17|21|25|40,193,227,34,227|159,227|159,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,2|12|16|26|30,193,158,35,158|228,158|228,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,6|20|33|36|41,193,228,35,228|158,228|158,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,1|2|3|10|31,193,157,36,157|229,157|229,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,1|7|11|16|23,193,229,36,229|157,229|157,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,1|8|21|34|35,193,156,37,156|230,156|230,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,19|20|34|38|39,193,230,37,230|156,230|156,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,9|12|31|33|43,193,155,38,155|231,155|231,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,5|13|14|35|42,193,231,38,231|155,231|155,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,11|21|27|41|43,193,232,39,232|154,232|154,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,2|18|29|37|39,193,154,39,154|232,154|232,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,6|12|14|15|38,193,153,40,153|233,153|233,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,19|26|33|34|42,193,233,40,233|153,233|153,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,10|11|15|31|38,193,152,41,152|234,152|234,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,8|16|25|36|37,193,234,41,234|152,234|152,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,3|12|24|25|26,193,151,42,151|235,151|235,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,5|18|19|25|41,193,235,42,235|151,235|151,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,9|13|18|19|33,193,150,43,150|236,150|236,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,10|14|20|21|41,193,236,43,236|150,236|150,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
1,2|4|6|7|13,193,237,44,237|149,237|149,0.002583979328165375,0.6675279931093884,1.0,1.0,0.002583979328165375
