conteo,tupla,X,L,M,T,P,Pr
19,1,19,30,2,30|75|14|22|10|51|10|8|49|2|23|6|2|14|6|5|43|5|3|2,0.049868766404199474,0.6832895888013999
28,2,13,34,2,34|19|17|3|17|3|3|5|2|8|4|37|5|11|36|2|8|2|2|13|31|20|11|22|6|11|20|9|19,0.07349081364829396,0.6911636045494314
27,3,13,6,1,6|27|4|51|3|27|20|1|4|39|12|2|1|2|6|8|10|1|15|18|13|3|5|8|40|19|28|7,0.07086614173228346,0.6902887139107611
22,4,16,0,1,0|2|3|23|137|1|5|4|13|19|28|20|6|20|6|1|11|14|5|17|21|1|23,0.05774278215223097,0.462580927384077
21,5,17,29,6,29|2|16|1|6|14|8|8|28|34|12|5|6|11|6|22|34|10|52|39|20|17,0.05511811023622047,0.6850393700787402
21,6,17,9,9|10|5|50,9|10|32|5|23|6|50|41|7|50|26|1|16|9|27|11|10|5|8|14|17|3,0.05511811023622047,0.46280603674540677
33,7,11,15,6|1|3|2|5,15|6|28|1|12|3|2|5|20|6|11|22|1|21|32|2|6|2|3|5|7|30|5|13|9|12|16|8|8|3|15|36|1|14,0.08661417322834646,0.4733047244094488
21,8,17,1,1|3|18|17|4|15,1|3|42|40|18|13|17|3|78|4|8|17|20|27|14|4|16|15|18|1|15|6,0.05511811023622047,0.46280603674540677
20,9,18,10,2|3|16,10|26|23|19|2|3|12|4|21|24|78|16|3|6|33|16|35|11|2|28|8,0.05249343832020997,0.46193114610673663
21,10,17,25,4,25|7|6|5|1|16|46|10|31|3|4|16|80|4|52|1|17|10|13|29|4|0,0.05511811023622047,0.6850393700787402
37,11,10,22,1,22|19|16|6|19|15|3|10|4|9|1|1|3|2|12|7|30|11|10|9|16|4|1|16|5|15|6|11|1|36|8|8|1|2|9|5|9|18,0.09711286089238845,0.6990376202974629
20,12,18,13,7|11,13|7|3|32|11|11|17|19|16|7|9|11|8|28|25|9|2|62|7|58|25,0.05249343832020997,0.46193114610673663
30,13,12,3,3,3|5|4|5|7|3|12|30|20|13|6|14|4|22|11|22|3|27|23|3|6|10|21|1|14|21|7|2|22|9|30,0.07874015748031496,0.6929133858267716
21,14,17,7,1,7|11|24|29|3|13|46|29|10|1|1|3|14|41|4|27|38|7|59|4|8|1,0.05511811023622047,0.6850393700787402
15,15,23,14,14|12|6|28,14|12|9|26|14|6|40|6|28|12|22|59|1|28|72|31,0.03937007874015748,0.4575566929133858
25,16,14,11,6,11|5|24|5|7|6|6|43|33|20|1|17|23|20|35|9|3|24|6|32|21|3|10|4|1|11,0.06561679790026247,0.6885389326334209
