conteo,tupla
8,1|2
5,1|3
11,1|4
8,1|5
3,1|6
6,1|7
9,1|8
4,1|9
5,1|10
4,1|11
6,1|12
7,1|13
8,1|14
5,1|15
6,1|16
1,1|17
7,1|18
6,1|19
4,1|20
7,1|21
6,1|22
8,1|23
2,1|24
3,1|25
3,1|26
8,1|27
6,1|28
4,1|29
5,1|30
8,1|31
4,1|32
8,1|33
7,1|34
4,1|35
8,1|36
7,1|37
2,1|38
6,1|39
5,1|40
6,1|41
6,1|42
8,1|43
5,2|3
8,2|4
7,2|5
2,2|6
4,2|7
4,2|8
10,2|9
8,2|10
7,2|11
6,2|12
4,2|13
6,2|14
2,2|15
7,2|16
3,2|17
5,2|18
3,2|19
3,2|20
5,2|21
6,2|22
8,2|23
4,2|24
7,2|25
5,2|26
6,2|27
6,2|28
3,2|29
5,2|30
6,2|31
3,2|32
6,2|33
7,2|34
2,2|35
5,2|36
6,2|37
1,2|38
4,2|39
6,2|40
2,2|41
6,2|42
5,2|43
7,3|4
5,3|5
1,3|6
6,3|7
3,3|8
2,3|9
6,3|10
5,3|11
7,3|12
2,3|13
2,3|14
3,3|15
4,3|16
3,3|17
4,3|18
6,3|19
9,3|20
4,3|21
5,3|22
9,3|23
4,3|24
10,3|25
4,3|26
1,3|27
5,3|28
4,3|29
6,3|30
3,3|31
5,3|32
3,3|33
8,3|34
3,3|35
3,3|36
5,3|37
4,3|38
6,3|39
6,3|40
6,3|41
4,3|42
3,3|43
6,4|5
4,4|6
3,4|7
8,4|8
8,4|9
4,4|10
4,4|11
5,4|12
8,4|13
5,4|14
5,4|15
7,4|16
6,4|17
3,4|18
2,4|19
5,4|20
5,4|21
5,4|22
4,4|23
5,4|24
5,4|25
3,4|26
5,4|27
4,4|28
8,4|29
3,4|30
6,4|31
4,4|32
7,4|33
4,4|34
6,4|35
7,4|36
6,4|37
1,4|38
3,4|39
6,4|40
5,4|41
5,4|42
4,4|43
7,5|6
8,5|7
6,5|8
7,5|9
3,5|10
5,5|11
5,5|12
9,5|13
6,5|14
8,5|16
2,5|17
2,5|18
3,5|19
3,5|20
3,5|21
2,5|22
5,5|23
3,5|24
6,5|25
6,5|26
4,5|27
5,5|28
8,5|29
4,5|30
3,5|31
5,5|32
2,5|33
6,5|34
4,5|35
1,5|36
3,5|37
3,5|38
4,5|39
2,5|40
4,5|41
8,5|42
5,5|43
4,6|7
6,6|8
2,6|9
5,6|10
1,6|11
7,6|12
7,6|13
9,6|14
7,6|15
4,6|16
8,6|17
3,6|18
4,6|19
4,6|20
3,6|21
6,6|22
5,6|23
3,6|24
8,6|25
4,6|26
7,6|27
6,6|28
6,6|29
2,6|30
6,6|31
7,6|32
6,6|33
6,6|34
4,6|35
7,6|36
5,6|37
4,6|38
6,6|39
4,6|40
5,6|41
9,6|42
5,6|43
5,7|8
5,7|9
3,7|10
7,7|11
7,7|12
1,7|13
6,7|14
4,7|15
8,7|16
2,7|17
8,7|18
5,7|19
5,7|20
3,7|21
6,7|22
8,7|23
4,7|24
7,7|25
2,7|26
4,7|27
3,7|28
4,7|29
7,7|30
6,7|31
4,7|32
2,7|33
7,7|34
4,7|35
7,7|36
6,7|37
2,7|38
3,7|39
3,7|40
6,7|41
3,7|42
6,7|43
5,8|9
2,8|10
6,8|11
9,8|12
5,8|13
8,8|14
6,8|15
4,8|16
6,8|17
6,8|18
7,8|19
6,8|20
5,8|21
5,8|22
5,8|23
2,8|24
12,8|25
2,8|26
7,8|27
8,8|28
5,8|29
3,8|30
4,8|31
7,8|32
4,8|33
7,8|34
8,8|35
7,8|36
5,8|37
5,8|38
4,8|39
9,8|40
5,8|41
5,8|42
5,8|43
1,9|10
1,9|11
10,9|12
4,9|13
3,9|14
6,9|15
7,9|16
4,9|17
4,9|18
4,9|19
5,9|20
1,9|21
2,9|23
6,9|24
5,9|25
3,9|26
5,9|27
6,9|28
4,9|29
3,9|30
7,9|31
3,9|32
8,9|33
6,9|34
5,9|35
2,9|36
6,9|37
3,9|38
3,9|39
6,9|40
4,9|41
8,9|42
4,9|43
5,10|11
5,10|12
4,10|13
8,10|14
6,10|15
7,10|16
4,10|17
6,10|18
3,10|19
8,10|20
6,10|21
2,10|22
10,10|23
4,10|24
8,10|25
2,10|26
5,10|27
4,10|28
4,10|29
4,10|30
7,10|31
5,10|32
5,10|33
6,10|34
9,10|35
5,10|36
4,10|37
4,10|38
6,10|39
5,10|40
9,10|41
7,10|42
6,10|43
4,11|12
1,11|13
2,11|14
4,11|15
6,11|16
3,11|17
6,11|18
3,11|19
3,11|20
6,11|21
4,11|22
10,11|23
3,11|24
5,11|25
4,11|26
4,11|27
4,11|28
4,11|29
2,11|30
3,11|31
5,11|32
6,11|33
1,11|34
5,11|35
5,11|36
4,11|37
4,11|38
8,11|39
8,11|40
8,11|41
3,11|42
5,11|43
1,12|12
4,12|13
2,12|14
7,12|15
9,12|16
4,12|17
9,12|18
7,12|19
5,12|20
4,12|21
3,12|22
4,12|23
3,12|24
7,12|25
6,12|26
4,12|27
3,12|28
2,12|29
4,12|30
5,12|31
3,12|32
8,12|33
6,12|34
8,12|35
4,12|36
5,12|37
6,12|38
8,12|39
8,12|40
5,12|41
3,12|42
7,12|43
6,13|14
4,13|15
5,13|16
2,13|17
4,13|18
3,13|19
5,13|20
2,13|21
3,13|22
3,13|23
3,13|24
6,13|25
7,13|26
3,13|27
3,13|28
4,13|29
4,13|30
7,13|31
2,13|32
7,13|33
2,13|34
4,13|35
2,13|36
3,13|37
3,13|38
3,13|39
6,13|40
5,13|41
5,13|42
4,13|43
3,14|15
5,14|16
4,14|17
8,14|18
5,14|19
9,14|20
5,14|21
5,14|22
4,14|23
1,14|24
8,14|25
4,14|26
4,14|27
9,14|28
3,14|29
3,14|30
7,14|31
3,14|32
5,14|33
9,14|34
8,14|35
3,14|36
8,14|37
1,14|38
5,14|39
8,14|40
7,14|41
8,14|42
5,14|43
5,15|16
5,15|18
4,15|19
5,15|20
3,15|21
3,15|22
6,15|23
6,15|24
8,15|25
7,15|26
4,15|27
6,15|28
4,15|29
3,15|30
7,15|31
6,15|32
5,15|33
2,15|34
7,15|35
6,15|36
4,15|37
7,15|38
5,15|39
4,15|40
3,15|41
7,15|42
2,15|43
3,16|17
8,16|18
7,16|19
6,16|20
6,16|21
1,16|22
7,16|23
5,16|24
3,16|25
7,16|26
2,16|27
3,16|28
4,16|29
8,16|30
3,16|31
3,16|32
4,16|33
4,16|34
4,16|35
5,16|36
8,16|37
2,16|38
2,16|39
4,16|40
3,16|41
4,16|42
4,16|43
4,17|18
2,17|20
3,17|21
3,17|22
6,17|23
5,17|24
4,17|25
5,17|26
8,17|27
6,17|28
5,17|29
2,17|30
5,17|31
4,17|32
3,17|33
3,17|35
3,17|36
