conteo,tupla
1,1|2|5|14
1,1|2|5|21
2,1|2|5|30
1,1|2|5|35
1,1|2|5|43
1,1|2|7|28
1,1|2|7|38
1,1|2|8|34
1,1|2|8|36
1,1|2|14|30
1,1|2|18|19
1,1|2|18|23
1,1|2|19|23
1,1|2|21|35
1,1|2|28|38
1,1|2|30|43
1,1|2|34|36
1,1|3|6|18
1,1|3|6|20
1,1|3|7|16
1,1|3|7|32
1,1|3|9|22
1,1|3|9|25
1,1|3|16|32
1,1|3|18|20
1,1|3|22|25
1,1|3|36|39
1,1|3|36|40
1,1|3|39|40
1,1|4|5|23
1,1|4|5|26
1,1|4|8|14
1,1|4|8|41
1,1|4|10|14
1,1|4|10|25
1,1|4|12|13
1,1|4|12|33
1,1|4|13|33
1,1|4|14|25
1,1|4|14|41
1,1|4|23|26
1,1|4|36|37
1,1|4|36|43
1,1|4|37|43
1,1|5|8|20
1,1|5|8|29
1,1|5|13|22
1,1|5|13|23
1,1|5|14|30
1,1|5|15|18
1,1|5|15|30
1,1|5|15|39
1,1|5|15|40
1,1|5|16|26
1,1|5|16|29
1,1|5|18|39
1,1|5|20|29
1,1|5|21|35
1,1|5|22|23
1,1|5|23|26
1,1|5|26|29
1,1|5|30|40
1,1|5|30|43
1,1|6|12|40
1,1|6|12|42
1,1|6|17|26
1,1|6|17|35
1,1|6|18|20
1,1|6|21|34
1,1|6|21|40
1,1|6|26|35
1,1|6|34|40
1,1|6|40|42
1,1|7|16|32
1,1|7|19|22
1,1|7|19|34
1,1|7|22|34
1,1|7|28|38
1,1|8|9|22
1,1|8|9|23
1,1|8|10|12
1,1|8|10|15
2,1|8|10|40
1,1|8|12|14
1,1|8|12|30
1,1|8|12|40
1,1|8|14|30
1,1|8|14|41
1,1|8|15|40
1,1|8|18|29
1,1|8|18|40
1,1|8|19|29
1,1|8|19|40
1,1|8|20|29
1,1|8|22|23
2,1|8|29|40
1,1|8|34|36
1,1|9|10|13
1,1|9|10|27
1,1|9|11|23
1,1|9|11|41
1,1|9|13|22
1,1|9|13|27
1,1|9|13|29
1,1|9|17|33
1,1|9|17|42
1,1|9|18|23
1,1|9|18|38
1,1|9|20|33
1,1|9|20|41
1,1|9|22|23
1,1|9|22|25
1,1|9|22|29
1,1|9|23|38
1,1|9|23|41
1,1|9|33|41
1,1|9|33|42
1,1|10|12|40
1,1|10|13|27
1,1|10|14|25
1,1|10|14|34
1,1|10|14|42
1,1|10|15|20
1,1|10|15|28
1,1|10|15|40
1,1|10|20|28
1,1|10|34|42
1,1|11|14|15
1,1|11|14|40
1,1|11|15|40
1,1|11|19|20
1,1|11|19|37
1,1|11|20|37
1,1|11|21|37
1,1|11|21|38
1,1|11|22|32
1,1|11|22|33
1,1|11|23|30
1,1|11|23|32
1,1|11|23|41
1,1|11|24|32
1,1|11|24|39
1,1|11|30|32
1,1|11|32|33
1,1|11|32|39
1,1|11|37|38
1,1|12|13|19
1,1|12|13|27
1,1|12|13|33
1,1|12|14|30
1,1|12|19|27
1,1|12|20|25
1,1|12|20|35
1,1|12|23|29
1,1|12|23|38
1,1|12|25|35
1,1|12|29|38
1,1|12|40|42
1,1|13|19|27
1,1|13|20|22
1,1|13|20|32
1,1|13|22|23
1,1|13|22|29
1,1|13|22|32
1,1|14|15|40
1,1|14|31|34
1,1|14|31|42
2,1|14|34|42
1,1|15|18|39
1,1|15|20|28
1,1|15|24|29
1,1|15|24|33
1,1|15|29|33
1,1|15|30|40
1,1|16|26|29
1,1|16|34|41
1,1|16|34|43
1,1|16|41|43
1,1|17|26|35
1,1|17|27|29
1,1|17|27|38
1,1|17|29|38
1,1|17|33|42
1,1|18|19|23
1,1|18|23|38
1,1|18|29|40
1,1|19|20|37
1,1|19|22|34
1,1|19|29|40
1,1|19|31|36
1,1|19|31|41
1,1|19|36|41
1,1|20|22|32
1,1|20|25|27
1,1|20|25|34
1,1|20|25|35
1,1|20|27|34
1,1|20|33|41
1,1|21|34|40
1,1|21|37|38
1,1|22|32|33
1,1|23|24|26
1,1|23|24|42
1,1|23|26|42
1,1|23|29|38
1,1|23|30|32
1,1|24|26|42
1,1|24|29|33
1,1|24|32|39
1,1|25|27|34
1,1|27|29|38
1,1|31|34|42
1,1|31|36|41
1,1|34|41|43
1,1|36|37|43
1,1|36|39|40
1,1|40|41|42
1,1|40|41|43
1,1|40|42|43
1,1|41|42|43
1,2|3|4|11
1,2|3|4|33
1,2|3|8|17
1,2|3|8|19
1,2|3|8|26
1,2|3|8|40
1,2|3|10|24
1,2|3|10|28
1,2|3|11|33
1,2|3|12|19
1,2|3|12|29
1,2|3|12|31
1,2|3|12|35
1,2|3|14|38
1,2|3|14|42
1,2|3|17|19
1,2|3|19|35
1,2|3|24|28
1,2|3|26|40
1,2|3|29|31
1,2|3|38|42
1,2|4|6|16
1,2|4|6|34
1,2|4|11|33
1,2|4|16|34
1,2|4|18|28
1,2|4|18|33
1,2|4|19|27
1,2|4|19|34
1,2|4|21|27
1,2|4|21|42
1,2|4|27|34
1,2|4|27|42
1,2|4|28|33
1,2|4|32|33
1,2|4|32|41
1,2|4|33|41
1,2|5|7|12
1,2|5|7|22
1,2|5|12|22
1,2|5|12|38
1,2|5|12|40
1,2|5|13|27
1,2|5|13|41
1,2|5|14|30
1,2|5|17|20
1,2|5|17|23
1,2|5|20|23
1,2|5|21|35
1,2|5|27|41
1,2|5|30|43
1,2|5|38|40
1,2|6|8|12
1,2|6|8|24
1,2|6|8|29
1,2|6|8|37
1,2|6|10|15
1,2|6|10|24
1,2|6|12|29
1,2|6|14|15
1,2|6|14|20
1,2|6|14|27
1,2|6|14|39
1,2|6|15|24
1,2|6|15|39
1,2|6|16|34
1,2|6|20|27
1,2|6|22|28
1,2|6|22|34
1,2|6|24|37
2,2|6|28|34
1,2|6|28|38
1,2|6|34|38
1,2|7|12|22
1,2|7|15|16
1,2|7|15|22
1,2|7|16|22
1,2|7|16|26
1,2|7|16|41
1,2|7|26|32
1,2|7|26|33
1,2|7|26|41
1,2|7|28|38
1,2|7|32|33
1,2|8|11|29
1,2|8|11|32
1,2|8|12|29
1,2|8|17|19
1,2|8|19|23
1,2|8|19|37
1,2|8|20|22
1,2|8|20|28
1,2|8|22|28
1,2|8|23|37
1,2|8|24|37
1,2|8|26|40
1,2|8|29|32
1,2|8|34|36
1,2|9|10|29
1,2|9|10|31
1,2|9|13|35
1,2|9|13|39
1,2|9|15|30
1,2|9|15|32
1,2|9|17|24
1,2|9|17|25
1,2|9|18|31
1,2|9|18|42
1,2|9|24|25
1,2|9|29|31
1,2|9|30|32
1,2|9|31|42
1,2|9|35|39
1,2|10|11|17
1,2|10|11|22
1,2|10|13|16
1,2|10|13|26
1,2|10|15|22
1,2|10|15|24
1,2|10|15|25
1,2|10|16|26
1,2|10|17|22
1,2|10|22|25
1,2|10|24|28
1,2|10|29|31
1,2|10|36|37
1,2|10|36|40
1,2|10|37|40
1,2|11|13|22
1,2|11|13|38
1,2|11|17|22
1,2|11|19|21
1,2|11|19|23
1,2|11|21|23
1,2|11|22|38
1,2|11|29|32
1,2|12|16|24
1,2|12|16|40
1,2|12|19|35
1,2|12|24|40
1,2|12|29|31
1,2|12|38|40
1,2|13|16|26
1,2|13|22|38
1,2|13|27|41
1,2|13|35|39
1,2|14|15|39
1,2|14|20|27
1,2|14|26|29
1,2|14|26|40
1,2|14|27|37
1,2|14|27|41
1,2|14|28|34
1,2|14|28|39
1,2|14|29|40
1,2|14|34|39
1,2|14|37|41
1,2|14|38|42
2,2|15|16|22
1,2|15|16|28
1,2|15|22|25
1,2|15|22|28
1,2|15|27|28
1,2|15|27|41
1,2|15|28|41
1,2|15|30|32
1,2|15|30|37
1,2|15|30|38
1,2|15|37|38
1,2|16|22|28
1,2|16|24|40
1,2|16|26|41
1,2|17|20|23
1,2|17|24|25
1,2|18|19|23
1,2|18|28|33
1,2|18|31|42
1,2|19|21|23
1,2|19|23|37
1,2|19|25|26
1,2|19|25|28
1,2|19|26|28
1,2|19|27|34
1,2|19|27|37
1,2|19|27|40
1,2|19|37|40
1,2|20|22|28
1,2|21|27|42
1,2|21|31|34
1,2|21|31|42
1,2|21|34|42
1,2|22|28|34
1,2|22|30|35
1,2|22|30|39
1,2|22|35|39
1,2|23|25|33
1,2|23|25|36
1,2|23|27|28
1,2|23|27|34
1,2|23|28|34
1,2|23|33|36
2,2|25|26|28
1,2|25|26|35
1,2|25|28|35
1,2|25|33|36
1,2|26|28|35
1,2|26|29|40
1,2|26|32|33
1,2|27|28|34
1,2|27|28|41
1,2|27|37|40
1,2|27|37|41
1,2|28|34|38
1,2|28|34|39
1,2|30|32|35
1,2|30|32|36
1,2|30|35|36
1,2|30|35|39
1,2|30|37|38
1,2|31|34|42
1,2|32|33|41
1,2|32|34|41
1,2|32|34|43
1,2|32|35|36
1,2|32|41|43
1,2|34|41|43
1,2|36|37|40
1,3|4|7|13
1,3|4|7|24
1,3|4|8|19
1,3|4|8|24
1,3|4|11|33
1,3|4|13|24
1,3|4|19|24
1,3|4|22|38
1,3|4|22|43
1,3|4|29|40
1,3|4|29|43
1,3|4|38|43
1,3|4|40|43
1,3|5|7|13
1,3|5|7|16
1,3|5|8|20
1,3|5|8|24
1,3|5|11|37
1,3|5|11|40
1,3|5|13|16
1,3|5|17|30
1,3|5|17|37
1,3|5|20|24
1,3|5|22|26
1,3|5|22|35
1,3|5|25|27
1,3|5|25|36
1,3|5|26|35
1,3|5|27|36
1,3|5|30|37
1,3|5|37|40
1,3|6|7|21
1,3|6|7|28
1,3|6|7|34
1,3|6|7|40
1,3|6|9|24
1,3|6|9|30
1,3|6|9|31
1,3|6|9|32
1,3|6|18|20
1,3|6|21|34
1,3|6|24|30
1,3|6|28|40
1,3|6|31|32
1,3|7|9|17
1,3|7|9|39
1,3|7|10|13
1,3|7|10|18
1,3|7|10|21
1,3|7|10|40
1,3|7|13|16
1,3|7|13|21
1,3|7|13|24
1,3|7|16|32
1,3|7|17|39
1,3|7|18|40
1,3|7|21|34
1,3|7|23|35
1,3|7|23|36
1,3|7|28|40
1,3|7|35|36
1,3|8|9|23
1,3|8|9|35
1,3|8|12|15
1,3|8|12|38
1,3|8|15|38
1,3|8|17|19
1,3|8|19|24
1,3|8|20|24
1,3|8|23|35
1,3|8|26|40
1,3|9|10|21
1,3|9|10|40
1,3|9|15|29
1,3|9|15|41
1,3|9|17|39
1,3|9|21|40
1,3|9|22|25
1,3|9|23|35
1,3|9|24|30
1,3|9|29|31
2,3|9|29|41
1,3|9|31|32
1,3|9|31|41
1,3|10|13|21
1,3|10|18|40
1,3|10|21|40
1,3|10|24|28
1,3|10|28|29
1,3|10|28|33
1,3|10|29|33
1,3|11|15|23
1,3|11|15|26
1,3|11|18|36
1,3|11|18|37
1,3|11|22|27
1,3|11|22|39
1,3|11|23|26
1,3|11|27|39
1,3|11|36|37
1,3|11|37|40
1,3|12|14|23
1,3|12|14|41
1,3|12|15|38
1,3|12|19|35
1,3|12|23|41
1,3|12|29|31
1,3|12|29|33
1,3|12|29|37
1,3|12|33|37
1,3|13|16|20
1,3|13|16|26
1,3|13|16|36
1,3|13|16|40
1,3|13|20|26
1,3|13|36|40
1,3|14|23|41
1,3|14|26|31
1,3|14|26|40
1,3|14|31|40
1,3|14|38|42
1,3|15|17|29
1,3|15|17|32
1,3|15|23|26
1,3|15|26|31
1,3|15|26|34
1,3|15|29|32
1,3|15|29|41
1,3|15|31|34
1,3|16|20|26
1,3|16|21|28
1,3|16|21|39
1,3|16|28|39
1,3|16|36|40
1,3|17|21|28
1,3|17|21|31
1,3|17|22|35
1,3|17|22|36
1,3|17|28|31
1,3|17|29|32
1,3|17|30|37
1,3|17|35|36
1,3|18|23|28
1,3|18|23|43
1,3|18|24|34
1,3|18|24|36
1,3|18|28|43
1,3|18|34|36
1,3|18|36|37
1,3|19|23|30
1,3|19|23|40
1,3|19|26|32
1,3|19|26|43
1,3|19|30|36
1,3|19|30|39
1,3|19|30|40
1,3|19|32|43
1,3|19|36|39
1,3|20|22|33
1,3|20|22|35
1,3|20|24|27
1,3|20|24|28
1,3|20|24|37
1,3|20|24|38
1,3|20|27|28
1,3|20|27|40
1,3|20|27|43
1,3|20|28|37
1,3|20|28|39
1,3|20|33|35
1,3|20|37|38
1,3|20|37|39
1,3|20|40|43
1,3|21|28|31
1,3|21|28|39
1,3|22|26|35
1,3|22|27|39
1,3|22|33|35
1,3|22|35|36
1,3|22|38|43
1,3|23|28|43
1,3|23|30|32
2,3|23|30|40
1,3|23|32|40
1,3|23|35|36
1,3|24|27|28
1,3|24|34|36
1,3|24|37|38
1,3|25|27|36
1,3|26|31|34
1,3|26|31|40
1,3|26|32|43
1,3|27|35|39
1,3|27|35|42
1,3|27|39|42
1,3|27|40|43
1,3|28|29|33
1,3|28|32|41
1,3|28|32|43
1,3|28|37|39
1,3|28|41|43
1,3|29|30|36
1,3|29|30|37
1,3|29|31|41
1,3|29|33|37
1,3|29|36|37
1,3|29|40|43
1,3|30|32|40
1,3|30|36|37
1,3|30|36|39
1,3|32|41|43
1,3|35|39|42
1,3|36|39|40
1,4|5|15|36
1,4|5|15|42
1,4|5|23|26
1,4|5|36|42
1,4|6|8|9
1,4|6|8|16
1,4|6|9|16
1,4|6|16|34
1,4|6|18|32
1,4|6|18|42
1,4|6|20|27
1,4|6|20|29
1,4|6|20|35
1,4|6|20|38
1,4|6|27|35
1,4|6|29|38
1,4|6|32|42
1,4|7|8|24
1,4|7|8|41
1,4|7|11|39
1,4|7|11|43
1,4|7|13|24
1,4|7|17|18
1,4|7|17|20
1,4|7|18|20
1,4|7|19|33
1,4|7|19|39
1,4|7|24|41
1,4|7|33|39
1,4|7|39|43
1,4|8|9|16
1,4|8|10|26
1,4|8|10|32
1,4|8|12|19
1,4|8|12|27
1,4|8|12|30
1,4|8|12|41
1,4|8|14|29
2,4|8|14|41
1,4|8|16|31
1,4|8|16|37
1,4|8|17|23
1,4|8|17|38
1,4|8|18|20
1,4|8|18|24
1,4|8|19|24
1,4|8|19|30
1,4|8|20|24
1,4|8|22|25
1,4|8|22|28
1,4|8|23|38
1,4|8|24|26
1,4|8|24|32
1,4|8|24|41
1,4|8|25|28
2,4|8|26|32
1,4|8|27|41
1,4|8|29|41
1,4|8|31|37
1,4|9|10|17
1,4|9|10|25
1,4|9|13|18
1,4|9|13|25
1,4|9|17|25
1,4|9|18|25
1,4|9|25|31
1,4|9|25|36
1,4|9|31|36
1,4|10|14|25
1,4|10|17|25
1,4|10|18|30
1,4|10|18|37
1,4|10|26|32
1,4|10|28|37
1,4|10|28|43
1,4|10|30|37
1,4|10|37|43
1,4|11|12|21
1,4|11|12|36
1,4|11|18|36
1,4|11|18|41
1,4|11|21|36
1,4|11|22|34
1,4|11|22|38
1,4|11|24|26
1,4|11|24|27
1,4|11|26|27
1,4|11|34|38
1,4|11|36|41
1,4|11|39|43
1,4|12|13|24
1,4|12|13|32
1,4|12|13|33
1,4|12|19|30
1,4|12|21|36
1,4|12|24|32
1,4|12|27|41
1,4|12|28|33
1,4|12|28|43
1,4|12|33|43
1,4|12|35|39
1,4|12|35|43
1,4|12|39|43
1,4|13|18|25
1,4|13|18|29
1,4|13|18|37
1,4|13|20|31
1,4|13|20|33
1,4|13|22|36
1,4|13|22|37
1,4|13|24|32
1,4|13|29|37
1,4|13|31|33
1,4|13|36|37
1,4|14|29|41
1,4|14|31|32
1,4|14|31|43
1,4|14|32|43
1,4|15|17|19
1,4|15|17|25
1,4|15|19|25
1,4|15|30|38
1,4|15|30|42
1,4|15|36|42
1,4|15|38|42
1,4|16|18|22
1,4|16|18|27
1,4|16|22|27
1,4|16|31|37
1,4|17|18|20
1,4|17|19|25
1,4|17|21|35
1,4|17|21|40
1,4|17|23|38
1,4|17|33|34
1,4|17|33|35
1,4|17|34|35
1,4|17|35|40
1,4|18|20|24
1,4|18|22|27
1,4|18|22|34
1,4|18|22|41
1,4|18|28|33
1,4|18|29|37
1,4|18|30|37
1,4|18|32|42
1,4|18|34|41
1,4|18|36|41
1,4|19|27|34
1,4|19|30|34
1,4|19|30|43
1,4|19|32|35
1,4|19|32|41
1,4|19|33|39
1,4|19|34|43
1,4|19|35|41
1,4|20|27|32
1,4|20|27|35
1,4|20|27|40
1,4|20|29|38
1,4|20|31|33
1,4|20|32|40
1,4|21|27|42
1,4|21|35|40
1,4|22|25|28
1,4|22|28|35
1,4|22|28|37
1,4|22|29|32
1,4|22|29|40
1,4|22|32|40
1,4|22|34|38
1,4|22|34|41
1,4|22|35|37
1,4|22|36|37
1,4|22|38|43
1,4|24|26|27
1,4|24|26|32
1,4|25|31|36
1,4|25|31|38
1,4|25|31|43
1,4|25|38|43
1,4|26|32|36
1,4|26|32|42
1,4|26|36|42
1,4|27|32|40
1,4|28|33|43
1,4|28|35|37
1,4|28|37|43
1,4|29|30|31
1,4|29|30|42
1,4|29|31|42
1,4|29|32|40
1,4|29|36|38
1,4|29|36|39
1,4|29|38|39
1,4|29|40|43
1,4|30|31|42
1,4|30|34|43
1,4|30|38|42
1,4|31|32|43
1,4|31|38|43
1,4|32|33|41
1,4|32|35|36
1,4|32|35|37
1,4|32|35|41
1,4|32|36|37
1,4|32|36|42
1,4|33|34|35
1,4|35|36|37
1,4|35|39|43
1,4|36|37|43
1,4|36|38|39
1,5|6|8|21
1,5|6|8|23
1,5|6|15|27
1,5|6|15|30
1,5|6|16|18
1,5|6|16|22
1,5|6|18|22
1,5|6|21|23
1,5|6|27|30
1,5|7|8|14
1,5|7|8|28
1,5|7|12|22
1,5|7|13|16
1,5|7|14|28
1,5|7|23|34
1,5|7|23|43
1,5|7|34|43
1,5|8|14|26
1,5|8|14|28
1,5|8|14|33
1,5|8|20|24
1,5|8|20|29
1,5|8|21|23
1,5|8|26|33
1,5|9|10|18
1,5|9|10|27
1,5|9|18|27
1,5|10|12|24
1,5|10|12|41
1,5|10|13|16
1,5|10|13|18
1,5|10|16|18
1,5|10|16|35
1,5|10|16|39
1,5|10|18|27
1,5|10|20|22
1,5|10|20|41
1,5|10|22|41
1,5|10|24|29
2,5|10|24|41
1,5|10|29|41
1,5|10|35|39
1,5|11|22|27
1,5|11|22|35
1,5|11|27|35
1,5|11|37|40
1,5|12|14|15
1,5|12|14|40
1,5|12|15|20
1,5|12|15|40
1,5|12|15|42
1,5|12|20|42
1,5|12|24|41
1,5|12|32|34
1,5|12|32|43
1,5|12|34|43
1,5|12|38|40
1,5|13|16|18
1,5|13|17|22
1,5|13|17|40
1,5|13|22|23
1,5|13|22|40
1,5|13|27|41
1,5|14|15|40
1,5|14|26|33
1,5|15|18|39
1,5|15|20|42
1,5|15|21|22
1,5|15|21|39
1,5|15|22|39
1,5|15|27|30
1,5|15|27|36
1,5|15|27|38
1,5|15|30|40
1,5|15|36|38
1,5|15|36|42
1,5|16|18|22
1,5|16|18|25
1,5|16|18|28
1,5|16|18|30
1,5|16|18|41
1,5|16|25|30
1,5|16|25|39
1,5|16|25|41
1,5|16|26|29
1,5|16|28|41
1,5|16|31|32
1,5|16|31|33
1,5|16|32|33
1,5|16|35|39
1,5|16|39|41
1,5|17|20|23
1,5|17|21|26
1,5|17|21|31
1,5|17|22|40
1,5|17|23|28
1,5|17|23|35
1,5|17|26|31
1,5|17|27|29
1,5|17|27|30
1,5|17|28|35
1,5|17|29|30
1,5|17|30|37
1,5|18|19|25
1,5|18|19|26
1,5|18|19|31
1,5|18|19|36
1,5|18|25|30
1,5|18|25|36
1,5|18|26|31
1,5|18|28|41
1,5|18|29|33
1,5|18|29|34
1,5|18|33|34
1,5|19|20|22
1,5|19|20|34
1,5|19|22|34
1,5|19|25|36
1,5|19|26|31
1,5|19|30|35
1,5|19|30|37
1,5|19|35|37
1,5|20|21|25
1,5|20|21|26
1,5|20|22|34
1,5|20|22|41
1,5|20|25|26
1,5|20|26|34
1,5|20|26|37
1,5|20|34|35
1,5|20|34|37
1,5|20|34|43
1,5|20|35|43
1,5|21|22|39
1,5|21|25|26
1,5|21|26|31
1,5|22|24|33
1,5|22|24|43
1,5|22|26|35
1,5|22|27|35
1,5|22|28|29
1,5|22|28|38
1,5|22|29|38
1,5|22|33|43
1,5|23|28|35
1,5|23|34|43
2,5|24|29|41
1,5|24|29|43
1,5|24|33|43
1,5|24|41|43
1,5|25|27|36
1,5|25|39|41
1,5|26|31|39
1,5|26|31|40
1,5|26|34|37
1,5|26|39|40
1,5|27|29|30
1,5|27|34|36
1,5|27|34|39
1,5|27|36|38
