conteo,tupla
1,1|2|5|14|30
1,1|2|5|21|35
1,1|2|5|30|43
1,1|2|7|28|38
1,1|2|8|34|36
1,1|2|18|19|23
1,1|3|6|18|20
1,1|3|7|16|32
1,1|3|9|22|25
1,1|3|36|39|40
1,1|4|5|23|26
1,1|4|8|14|41
1,1|4|10|14|25
1,1|4|36|37|43
1,1|5|8|20|29
1,1|5|13|22|23
1,1|5|15|18|39
1,1|5|15|30|40
1,1|5|16|26|29
1,1|6|12|40|42
1,1|6|17|26|35
1,1|6|21|34|40
1,1|7|19|22|34
1,1|8|9|22|23
1,1|8|10|12|40
1,1|8|10|15|40
1,1|8|12|14|30
1,1|8|18|29|40
1,1|8|19|29|40
1,1|9|10|13|27
1,1|9|11|23|41
1,1|9|13|22|29
1,1|9|17|33|42
1,1|9|18|23|38
1,1|9|20|33|41
1,1|10|14|34|42
1,1|10|15|20|28
1,1|11|14|15|40
1,1|11|19|20|37
1,1|11|21|37|38
1,1|11|23|30|32
1,1|11|24|32|39
1,1|12|13|19|27
1,1|12|20|25|35
1,1|12|23|29|38
1,1|13|20|22|32
1,1|14|31|34|42
1,1|15|24|29|33
1,1|16|34|41|43
1,1|17|27|29|38
1,1|19|31|36|41
1,1|20|25|27|34
1,1|23|24|26|42
1,1|40|41|42|43
1,2|3|4|11|33
1,2|3|8|17|19
1,2|3|8|26|40
1,2|3|10|24|28
1,2|3|12|19|35
1,2|3|12|29|31
1,2|3|14|38|42
1,2|4|6|16|34
1,2|4|18|28|33
1,2|4|19|27|34
1,2|4|21|27|42
1,2|4|32|33|41
1,2|5|7|12|22
1,2|5|12|38|40
1,2|5|13|27|41
1,2|5|17|20|23
1,2|6|8|12|29
1,2|6|8|24|37
1,2|6|10|15|24
1,2|6|14|15|39
1,2|6|14|20|27
1,2|6|22|28|34
1,2|6|28|34|38
1,2|7|15|16|22
1,2|7|16|26|41
1,2|7|26|32|33
1,2|8|11|29|32
1,2|8|19|23|37
1,2|8|20|22|28
1,2|9|10|29|31
1,2|9|13|35|39
1,2|9|15|30|32
1,2|9|17|24|25
1,2|9|18|31|42
1,2|10|11|17|22
1,2|10|13|16|26
1,2|10|15|22|25
1,2|10|36|37|40
1,2|11|13|22|38
1,2|11|19|21|23
1,2|12|16|24|40
1,2|14|26|29|40
1,2|14|27|37|41
1,2|14|28|34|39
1,2|15|16|22|28
1,2|15|27|28|41
1,2|15|30|37|38
1,2|19|25|26|28
1,2|19|27|37|40
1,2|21|31|34|42
1,2|22|30|35|39
1,2|23|25|33|36
1,2|23|27|28|34
1,2|25|26|28|35
1,2|30|32|35|36
1,2|32|34|41|43
1,3|4|7|13|24
1,3|4|8|19|24
1,3|4|22|38|43
1,3|4|29|40|43
1,3|5|7|13|16
1,3|5|8|20|24
1,3|5|11|37|40
1,3|5|17|30|37
1,3|5|22|26|35
1,3|5|25|27|36
1,3|6|7|21|34
1,3|6|7|28|40
1,3|6|9|24|30
1,3|6|9|31|32
1,3|7|9|17|39
1,3|7|10|13|21
1,3|7|10|18|40
1,3|7|23|35|36
1,3|8|9|23|35
1,3|8|12|15|38
1,3|9|10|21|40
1,3|9|15|29|41
1,3|9|29|31|41
1,3|10|28|29|33
1,3|11|15|23|26
1,3|11|18|36|37
1,3|11|22|27|39
1,3|12|14|23|41
1,3|12|29|33|37
1,3|13|16|20|26
1,3|13|16|36|40
1,3|14|26|31|40
1,3|15|17|29|32
1,3|15|26|31|34
1,3|16|21|28|39
1,3|17|21|28|31
1,3|17|22|35|36
1,3|18|23|28|43
1,3|18|24|34|36
1,3|19|23|30|40
1,3|19|30|36|39
1,3|20|22|33|35
1,3|20|24|27|28
1,3|20|24|37|38
1,3|20|27|40|43
1,3|20|28|37|39
1,3|23|30|32|40
1,3|27|35|39|42
1,3|28|32|41|43
1,3|29|30|36|37
1,4|5|15|36|42
1,4|6|8|9|16
1,4|6|18|32|42
1,4|6|20|27|35
1,4|6|20|29|38
1,4|7|8|24|41
1,4|7|11|39|43
1,4|7|17|18|20
1,4|8|10|26|32
1,4|8|12|19|30
1,4|8|12|27|41
1,4|8|14|29|41
1,4|8|16|31|37
1,4|8|17|23|38
1,4|8|18|20|24
1,4|8|22|25|28
1,4|8|24|26|32
1,4|9|10|17|25
1,4|9|13|18|25
1,4|9|25|31|36
1,4|10|18|30|37
1,4|10|28|37|43
1,4|11|12|21|36
1,4|11|18|36|41
1,4|11|22|34|38
1,4|11|24|26|27
1,4|12|13|24|32
1,4|12|28|33|43
1,4|13|18|29|37
1,4|13|20|31|33
1,4|13|22|36|37
1,4|14|31|32|43
1,4|15|17|19|25
1,4|15|30|38|42
1,4|16|18|22|27
1,4|17|21|35|40
