conteo,tupla
1,1|2|3|10|31
1,1|2|4|5|13
1,1|2|5|16|23
1,1|2|15|36|39
1,1|2|20|31|43
1,1|2|22|29|42
1,1|2|25|31|33
1,1|2|33|34|41
1,1|3|8|28|41
1,1|3|12|15|23
1,1|3|17|23|32
1,1|3|26|33|34
1,1|4|5|16|30
1,1|4|8|11|36
1,1|4|8|19|27
1,1|4|8|22|37
1,1|4|13|23|33
1,1|4|14|21|42
1,1|4|18|21|42
1,1|4|21|27|33
1,1|4|21|30|43
1,1|4|29|32|33
1,1|5|6|8|27
1,1|5|6|13|26
1,1|5|8|14|40
1,1|5|9|29|42
1,1|5|18|38|41
1,1|6|12|18|36
1,1|7|9|31|40
1,1|7|10|25|27
1,1|7|11|16|23
1,1|7|12|19|21
1,1|7|12|26|43
1,1|7|14|35|43
1,1|8|14|23|40
1,1|8|14|28|34
1,1|8|21|34|35
1,1|9|13|16|30
1,1|9|27|29|35
1,1|10|11|23|33
1,1|10|23|38|43
1,1|10|28|35|41
1,1|11|28|31|41
1,1|12|20|39|41
1,1|12|28|30|33
1,1|13|16|19|20
1,1|13|24|27|39
1,1|13|32|37|43
1,1|14|15|18|25
1,1|14|18|22|43
1,1|14|36|37|40
1,1|15|19|21|42
1,1|15|22|36|37
1,1|18|19|34|40
1,1|18|22|30|39
1,1|19|31|37|39
1,1|20|36|39|43
1,1|22|31|32|37
1,1|27|28|34|37
1,1|27|31|34|36
1,2|3|4|5|29
1,2|3|4|12|16
1,2|3|18|21|36
1,2|3|22|28|37
1,2|4|6|7|13
1,2|4|9|15|24
1,2|4|10|17|37
1,2|4|12|18|35
1,2|4|16|30|40
1,2|5|7|9|28
1,2|5|9|11|42
1,2|5|9|34|42
1,2|5|10|23|34
1,2|6|16|23|43
1,2|7|9|12|34
1,2|7|14|25|31
1,2|8|9|12|39
1,2|8|9|25|33
1,2|8|14|19|28
1,2|8|20|25|27
1,2|9|12|34|40
1,2|9|17|27|42
1,2|9|24|26|42
1,2|10|14|34|40
1,2|10|16|23|25
1,2|10|21|23|35
1,2|10|27|30|31
1,2|11|18|23|43
1,2|11|24|28|39
1,2|11|26|32|41
1,2|11|26|33|40
1,2|11|33|36|38
1,2|12|16|26|30
1,2|13|14|26|42
1,2|13|25|36|43
1,2|14|16|17|31
1,2|14|21|27|28
1,2|18|29|37|39
1,2|19|22|25|37
1,2|19|22|28|32
1,2|20|32|37|43
1,2|21|22|30|34
1,2|21|27|36|40
1,2|22|24|27|37
1,2|23|30|33|40
1,3|4|5|7|21
1,3|4|9|20|32
1,3|4|20|25|37
1,3|4|22|40|41
1,3|4|31|34|43
1,3|5|11|25|29
1,3|5|25|30|42
1,3|5|30|37|39
1,3|6|23|25|38
1,3|7|11|19|25
1,3|7|11|39|41
1,3|7|12|12|40
1,3|7|14|19|22
1,3|7|23|30|35
1,3|8|10|15|39
1,3|8|25|28|40
1,3|9|12|34|35
1,3|10|13|21|38
1,3|10|16|25|41
1,3|10|20|30|39
1,3|10|32|40|42
1,3|11|18|24|37
1,3|11|27|39|41
1,3|12|19|20|24
1,3|12|24|25|26
1,3|13|14|17|23
1,3|15|20|23|25
1,3|16|18|30|34
1,3|16|19|20|23
1,3|17|25|39|42
1,3|18|34|42|43
1,3|19|20|21|28
1,3|19|34|37|43
1,3|20|22|24|36
1,3|20|33|34|40
1,3|22|26|29|36
1,3|23|28|29|32
1,3|23|31|35|40
1,3|26|33|34|38
1,3|30|32|38|41
1,4|5|9|13|40
1,4|5|13|16|41
1,4|6|14|17|29
1,4|6|17|24|25
1,4|6|27|35|39
1,4|7|10|36|41
1,4|8|9|28|37
1,4|8|12|17|35
1,4|8|18|25|29
1,4|8|19|20|35
1,4|8|32|34|40
1,4|9|10|35|40
1,4|9|14|31|34
1,4|9|15|24|29
1,4|9|20|35|43
1,4|10|20|32|33
1,4|11|12|16|26
1,4|11|14|16|36
1,4|11|22|25|26
1,4|12|15|33|42
1,4|13|14|16|33
1,4|13|24|39|41
1,4|13|25|31|33
1,4|15|22|23|38
1,4|15|31|36|40
1,4|17|27|28|42
1,4|17|36|37|43
1,4|22|26|29|36
1,4|23|27|29|34
1,4|23|28|29|31
1,4|24|28|36|39
1,4|31|37|41|42
1,5|6|7|12|37
1,5|6|7|28|32
1,5|6|9|39|42
1,5|6|14|16|35
1,5|6|14|26|31
1,5|7|8|12|25
1,5|7|11|16|29
1,5|7|11|17|22
1,5|7|20|34|37
1,5|8|10|13|20
1,5|8|11|16|32
1,5|8|12|17|43
1,5|9|16|29|42
1,5|10|21|28|42
1,5|12|23|28|35
1,5|12|25|26|43
1,5|13|14|26|31
1,5|13|14|35|42
1,5|13|19|21|25
1,5|13|22|34|43
1,5|14|28|31|39
1,5|16|26|32|36
1,5|18|19|25|41
1,5|19|24|27|29
1,5|20|27|30|38
1,5|23|24|29|43
1,5|23|26|32|38
1,5|24|27|32|35
1,5|29|33|34|39
1,5|33|34|41|43
1,6|7|8|27|34
1,6|8|13|14|37
1,6|8|13|28|29
1,6|8|13|29|31
1,6|8|15|32|33
1,6|9|15|37|42
1,6|10|12|18|39
1,6|10|14|22|39
1,6|10|15|33|42
1,6|10|23|31|34
1,6|10|25|31|36
1,6|11|12|17|40
1,6|12|14|15|38
1,6|12|15|26|35
1,6|12|16|21|33
1,6|13|15|26|31
1,6|13|17|33|38
1,6|14|21|28|35
1,6|14|25|29|42
1,6|14|32|34|42
1,6|15|19|27|42
1,6|16|20|24|30
1,6|17|22|30|42
1,6|17|23|27|32
1,6|17|24|39|43
1,6|17|31|32|41
1,6|18|34|40|43
1,6|19|20|37|38
1,6|19|23|25|41
1,6|19|25|28|36
1,6|20|25|27|43
1,6|20|33|36|41
1,6|21|22|34|36
1,6|22|25|28|40
1,6|22|28|32|36
1,6|22|33|36|41
1,6|27|32|40|42
1,6|29|34|41|42
1,6|29|37|39|43
1,7|8|18|25|43
1,7|8|18|34|42
1,7|8|21|30|42
1,7|9|15|16|26
1,7|9|16|24|31
1,7|10|24|31|43
1,7|11|16|30|35
1,7|11|23|41|43
1,7|14|16|18|36
1,7|14|18|27|28
1,7|14|20|34|41
1,7|15|22|25|32
1,7|15|23|29|35
1,7|15|23|30|32
1,7|16|18|37|40
1,7|16|19|20|37
1,7|17|18|30|33
1,7|18|20|22|34
1,7|18|23|31|36
1,7|19|27|31|36
1,7|20|36|42|43
1,7|22|25|36|37
1,7|22|29|32|41
1,7|23|24|34|39
1,7|23|30|33|36
1,7|24|29|30|38
1,7|37|38|39|41
1,8|9|19|23|38
1,8|11|13|18|27
1,8|11|15|35|40
1,8|11|17|23|39
1,8|11|22|35|41
1,8|12|15|31|38
1,8|12|16|21|27
1,8|12|18|40|43
1,8|12|20|36|40
1,8|12|22|29|39
1,8|14|17|23|37
1,8|14|20|22|42
1,8|14|25|31|34
1,8|15|28|38|42
1,8|15|30|35|36
1,8|16|19|35|41
1,8|16|25|36|37
1,8|17|21|25|40
1,8|17|26|27|31
1,8|18|21|30|43
1,8|19|22|25|38
1,8|19|25|36|38
1,8|20|32|36|40
1,8|23|24|32|36
1,8|24|26|33|35
1,8|28|33|41|43
1,8|29|32|34|42
1,9|12|16|18|34
1,9|12|16|21|30
1,9|12|18|32|38
1,9|12|18|37|41
1,9|12|23|33|36
1,9|12|31|33|43
1,9|13|18|19|33
1,9|13|31|33|41
1,9|14|25|26|37
1,9|14|28|33|43
1,9|15|19|27|30
1,9|15|25|27|33
1,9|16|20|28|37
1,9|17|28|31|40
1,9|17|28|35|38
1,9|19|20|36|37
1,9|20|24|31|33
1,9|24|25|27|40
1,10|11|15|28|35
1,10|11|15|31|38
1,10|11|37|40|41
1,10|12|13|32|38
1,10|12|16|17|27
1,10|12|25|27|41
1,10|12|34|35|36
1,10|13|22|26|42
1,10|14|18|20|33
1,10|14|19|39|41
1,10|14|20|21|41
1,10|14|27|35|41
1,10|14|29|30|42
1,10|14|32|35|42
1,10|15|16|29|39
1,10|15|20|32|41
1,10|16|18|35|40
1,10|16|19|23|34
1,10|16|23|31|43
1,10|17|24|29|43
1,10|17|24|37|42
1,10|18|19|36|43
1,10|18|21|24|43
1,10|20|21|34|36
1,10|20|25|28|30
1,10|23|25|26|33
1,10|25|29|35|37
1,11|12|25|33|39
1,11|12|39|40|43
