conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
1,10|11|15|23,230,359,129,359|101,359|101,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|11|15|38,230,359,129,359|101,359|101,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|11|17|22,230,160,70,160|300,160|300,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|11|23|38,230,359,129,359|101,359|101,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|11|30|36,230,399,169,399|61,399|61,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|11|30|43,230,399,169,399|61,399|61,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|11|36|43,230,399,169,399|61,399|61,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|12|15|41,230,424,194,424|36,424|36,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|12|15|43,230,424,194,424|36,424|36,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|12|17|20,230,362,132,362|98,362|98,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|12|17|32,230,362,132,362|98,362|98,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|12|20|32,230,362,132,362|98,362|98,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|12|24|41,230,69,161,69|391,69|391,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|12|27|34,230,428,198,428|32,428|32,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|12|27|40,230,428,198,428|32,428|32,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|12|34|40,230,428,198,428|32,428|32,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|12|41|43,230,424,194,424|36,424|36,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|13|14|37,230,275,45,275|185,275|185,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|13|16|18,230,88,142,88|372,88|372,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|13|16|26,230,170,60,170|290,170|290,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|13|18|19,230,109,121,109|351,109|351,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|13|18|37,230,109,121,109|351,109|351,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|13|19|37,230,109,121,109|351,109|351,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|13|21|34,230,282,52,282|178,282|178,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|13|21|43,230,282,52,282|178,282|178,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|13|34|43,230,282,52,282|178,282|178,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|14|21|26,230,225,5,225|235,225|235,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|14|29|35,230,266,36,266|194,266|194,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|14|29|37,230,266,36,266|194,266|194,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|14|30|37,230,360,130,360|100,360|100,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
