conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
1,10|11|15|28,226,170,56,170|283,170|283,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|11|15|31,226,219,7,219|234,219|234,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|11|15|35,226,170,56,170|283,170|283,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|11|15|38,226,219,7,219|234,219|234,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|11|18|23,226,3,223,3|450,3|450,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|11|23|33,226,69,157,69|384,69|384,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|11|28|35,226,170,56,170|283,170|283,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|11|31|38,226,219,7,219|234,219|234,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|11|37|40,226,109,117,109|344,109|344,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|11|37|41,226,109,117,109|344,109|344,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|11|40|41,226,109,117,109|344,109|344,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|12|13|32,226,289,63,289|164,289|164,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|12|13|38,226,289,63,289|164,289|164,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|12|16|17,226,349,123,349|104,349|104,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|12|16|27,226,349,123,349|104,349|104,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|12|17|27,226,349,123,349|104,349|104,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|12|18|39,226,260,34,260|193,260|193,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|12|25|27,226,211,15,211|242,211|242,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|12|25|41,226,211,15,211|242,211|242,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|12|27|41,226,211,15,211|242,211|242,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|12|32|38,226,289,63,289|164,289|164,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|12|34|35,226,314,88,314|139,314|139,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|12|34|36,226,314,88,314|139,314|139,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|12|35|36,226,314,88,314|139,314|139,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|13|21|38,226,407,181,407|46,407|46,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|13|22|26,226,127,99,127|326,127|326,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|13|22|42,226,127,99,127|326,127|326,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|13|26|42,226,127,99,127|326,127|326,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|13|32|38,226,289,63,289|164,289|164,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|14|18|20,226,358,132,358|95,358|95,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|14|18|33,226,358,132,358|95,358|95,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|14|19|39,226,275,49,275|178,275|178,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|14|19|41,226,275,49,275|178,275|178,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|14|20|21,226,303,77,303|150,303|150,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|14|20|33,226,358,132,358|95,358|95,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|14|20|41,226,303,77,303|150,303|150,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|14|21|41,226,303,77,303|150,303|150,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|14|22|39,226,144,82,144|309,144|309,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|14|27|35,226,229,3,229|224,229|224,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|14|27|41,226,229,3,229|224,229|224,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|14|29|30,226,277,51,277|176,277|176,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|14|29|42,226,277,51,277|176,277|176,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|14|30|42,226,277,51,277|176,277|176,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|14|32|35,226,13,213,13|440,13|440,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|14|32|42,226,13,213,13|440,13|440,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|14|34|40,226,235,9,235|218,235|218,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|14|35|41,226,229,3,229|224,229|224,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|14|35|42,226,13,213,13|440,13|440,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,10|14|39|41,226,275,49,275|178,275|178,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
