conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
5,3|21,73,73,0,73|77|136|29|127|0,73|77|136|29|127|0,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
6,1|11,63,63,0,41,63|41|41|177|41|56|23,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
4,1|26,88,88,0,88|29|162|95|68,88|29|162|95|68,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
6,23|41,63,63,0,63|64|14|52|205|13|31,63|64|14|52|205|13|31,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
7,7|18,55,55,0,55|42|82|43|25|103|18|74,55|42|82|43|25|103|18|74,0.001580135440180587,0.6671933784800602,1.0,1.0,0.001580135440180587
5,4|35,73,74,1,74|150|94|95|9|20,74|150|94|95|9|20,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
5,11|33,73,72,1,72|8|201|109|43|9,72|8|201|109|43|9,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
9,19|30,44,43,1,43|12,43|34|26|12|190|15|6|43|61|12,0.0020316027088036117,0.6673438675696012,1.0,1.0,0.0020316027088036117
7,11|36,55,54,1,54|33|5|138|102|49|18|43,54|33|5|138|102|49|18|43,0.001580135440180587,0.6671933784800602,1.0,1.0,0.001580135440180587
5,22|33,73,72,1,72|167|32|82|35|54,72|167|32|82|35|54,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
8,18|42,49,48,1,48|108|21|38|25|20|17|58|107,48|108|21|38|25|20|17|58|107,0.0018058690744920992,0.6672686230248307,1.0,1.0,0.0018058690744920992
4,11|21,88,87,1,87|167|98|11|79,87|167|98|11|79,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
6,11|13,63,62,1,62|4|143|45|24|89|75,62|4|143|45|24|89|75,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
6,17|37,63,64,1,64|92|87|66|50|73|10,64|92|87|66|50|73|10,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
5,32|35,73,74,1,74|199|45|17|26|81,74|199|45|17|26|81,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
7,3|37,55,54,1,54|6|61|62|27|10|139|83,54|6|61|62|27|10|139|83,0.001580135440180587,0.6671933784800602,1.0,1.0,0.001580135440180587
6,7|43,63,64,1,64|44|86|53|136|2|57,64|44|86|53|136|2|57,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
6,11|38,63,62,1,62|39|108|132|22|4|75,62|39|108|132|22|4|75,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
3,11|26,110,112,2,112|92|25|213,112|92|25|213,0.0006772009029345372,0.6668924003009781,1.0,1.0,0.0006772009029345372
6,3|31,63,65,2,21,65|132|21|68|21|48|87,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
7,34|42,55,57,2,57|158|29|86|8|42|12|50,57|158|29|86|8|42|12|50,0.001580135440180587,0.6671933784800602,1.0,1.0,0.001580135440180587
7,7|40,55,57,2,57|66|42|35|38|130|14|60,57|66|42|35|38|130|14|60,0.001580135440180587,0.6671933784800602,1.0,1.0,0.001580135440180587
9,8|32,44,42,2,42|58|67|9|20|64|49|37|33|63,42|58|67|9|20|64|49|37|33|63,0.0020316027088036117,0.6673438675696012,1.0,1.0,0.0020316027088036117
4,6|10,88,86,2,86|121|165|21|49,86|121|165|21|49,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
7,7|15,55,57,2,57|40|11|36|21|35|1|241,57|40|11|36|21|35|1|241,0.001580135440180587,0.6671933784800602,1.0,1.0,0.001580135440180587
4,6|35,88,86,2,86|138|55|26|137,86|138|55|26|137,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
3,8|39,110,107,3,107,107|107|113|115,0.0006772009029345372,0.6668924003009781,1.0,1.0,0.0006772009029345372
3,25|39,110,107,3,107|185|8|142,107|185|8|142,0.0006772009029345372,0.6668924003009781,1.0,1.0,0.0006772009029345372
5,5|13,73,70,3,70|102|78|64|113|15,70|102|78|64|113|15,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
7,14|34,55,52,3,52|70|122|8|87|41|4|58,52|70|122|8|87|41|4|58,0.001580135440180587,0.6671933784800602,1.0,1.0,0.001580135440180587
5,14|25,73,76,3,76|29|17|177|137|6,76|29|17|177|137|6,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
8,14|28,49,52,3,52|70|53|24|38|48|5|9|143,52|70|53|24|38|48|5|9|143,0.0018058690744920992,0.6672686230248307,1.0,1.0,0.0018058690744920992
6,37|40,63,60,3,60|63|45|75|115|74|10,60|63|45|75|115|74|10,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
6,5|40,63,60,3,60|70|13|73|67|144|15,60|70|13|73|67|144|15,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
7,8|23,55,58,3,58|24|84|5|4|135|18|114,58|24|84|5|4|135|18|114,0.001580135440180587,0.6671933784800602,1.0,1.0,0.001580135440180587
8,14|42,49,46,3,46|3|140|55|34|43|21|38|62,46|3|140|55|34|43|21|38|62,0.0018058690744920992,0.6672686230248307,1.0,1.0,0.0018058690744920992
6,3|8,63,59,4,59|23|49|200|46|61|4,59|23|49|200|46|61|4,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
5,9|15,73,77,4,77|154|4|6|35|166,77|154|4|6|35|166,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
7,8|38,55,59,4,59|36|66|53|113|1|112|2,59|36|66|53|113|1|112|2,0.001580135440180587,0.6671933784800602,1.0,1.0,0.001580135440180587
5,36|42,73,69,4,69|23|3|60|209|78,69|23|3|60|209|78,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
6,8|15,63,59,4,39,59|39|69|29|49|39|158,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
8,2|22,49,45,4,45|17|23|57|2|122|28|106|42,45|17|23|57|2|122|28|106|42,0.0018058690744920992,0.6672686230248307,1.0,1.0,0.0018058690744920992
6,12|15,63,59,4,59|55|29|141|122|33|3,59|55|29|141|122|33|3,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
4,9|40,88,84,4,84|54|157|147|0,84|54|157|147|0,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
5,9|30,73,77,4,77|140|18|60|6|141,77|140|18|60|6|141,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
12,20|22,34,38,4,38,38|34|3|27|106|15|16|17|38|23|58|12|55,0.002708803611738149,0.6675696012039127,1.0,1.0,0.002708803611738149
4,11|42,88,92,4,92|85|101|43|121,92|85|101|43|121,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
6,18|23,63,68,5,68|31|72|8|14|115|134,68|31|72|8|14|115|134,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
8,22|28,49,44,5,44|107|20|85|10|28|43|63|42,44|107|20|85|10|28|43|63|42,0.0018058690744920992,0.6672686230248307,1.0,1.0,0.0018058690744920992
8,22|38,49,44,5,44|3|15|39|60|52|14|213|2,44|3|15|39|60|52|14|213|2,0.0018058690744920992,0.6672686230248307,1.0,1.0,0.0018058690744920992
5,28|41,73,78,5,78|32|24|239|60|9,78|32|24|239|60|9,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
4,4|12,88,83,5,83|4|239|63|53,83|4|239|63|53,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
6,8|21,63,58,5,58|40|98|134|16|94|2,58|40|98|134|16|94|2,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
12,4|8,34,29,5,29|71|51|9|16|11|76|35|28|2|3|92|19,29|71|51|9|16|11|76|35|28|2|3|92|19,0.002708803611738149,0.6675696012039127,1.0,1.0,0.002708803611738149
11,29|41,36,30,6,50,30|10|50|24|13|60|6|48|66|50|4|81,0.0024830699774266367,0.6674943566591423,1.0,1.0,0.0024830699774266367
7,3|9,55,61,6,61|4|17|159|60|6|135|0,61|4|17|159|60|6|135|0,0.001580135440180587,0.6671933784800602,1.0,1.0,0.001580135440180587
2,23|27,147,141,6,141|184|117,141|184|117,0.0004514672686230248,0.6668171557562076,1.0,1.0,0.0004514672686230248
