conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
5,33|43,75,75,0,75|102|45|71|25|135,75|102|45|71|25|135,0.0011013215859030838,0.6670337738619677,1.0,1.0,0.0011013215859030838
6,11|21,64,64,0,64|87|26|113|9|101|53,64|87|26|113|9|101|53,0.0013215859030837004,0.6671071953010279,1.0,1.0,0.0013215859030837004
4,26|35,90,90,0,90|82|54|80|147,90|82|54|80|147,0.000881057268722467,0.6669603524229074,1.0,1.0,0.000881057268722467
7,16|23,56,55,1,55|40|92|109|41|38|35|43,55|40|92|109|41|38|35|43,0.0015418502202643172,0.6671806167400881,1.0,1.0,0.0015418502202643172
7,10|16,56,55,1,55|125|7|3|159|61|23|20,55|125|7|3|159|61|23|20,0.0015418502202643172,0.6671806167400881,1.0,1.0,0.0015418502202643172
2,36|38,151,152,1,152|63|238,152|63|238,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
6,4|17,64,63,1,63|146|73|79|35|40|17,63|146|73|79|35|40|17,0.0013215859030837004,0.6671071953010279,1.0,1.0,0.0013215859030837004
5,29|37,75,76,1,76|132|13|10|18|204,76|132|13|10|18|204,0.0011013215859030838,0.6670337738619677,1.0,1.0,0.0011013215859030838
7,23|43,56,55,1,55|146|5|60|25|84|37|41,55|146|5|60|25|84|37|41,0.0015418502202643172,0.6671806167400881,1.0,1.0,0.0015418502202643172
9,34|43,45,44,1,44|45|39|29|89|41|21|10|30|105,44|45|39|29|89|41|21|10|30|105,0.001982378854625551,0.6673274596182085,1.0,1.0,0.001982378854625551
7,6|27,56,57,1,57|157|33|17|74|22|16|77,57|157|33|17|74|22|16|77,0.0015418502202643172,0.6671806167400881,1.0,1.0,0.0015418502202643172
4,6|40,90,89,1,89|125|45|115|79,89|125|45|115|79,0.000881057268722467,0.6669603524229074,1.0,1.0,0.000881057268722467
9,3|20,45,46,1,46|66|86|39|15|81|4|98|5|13,46|66|86|39|15|81|4|98|5|13,0.001982378854625551,0.6673274596182085,1.0,1.0,0.001982378854625551
5,6|43,75,76,1,76|13|162|109|15|78,76|13|162|109|15|78,0.0011013215859030838,0.6670337738619677,1.0,1.0,0.0011013215859030838
6,3|7,64,65,1,65|77|43|76|8|10|174,65|77|43|76|8|10|174,0.0013215859030837004,0.6671071953010279,1.0,1.0,0.0013215859030837004
8,17|42,50,49,1,49|12|112|34|31|119|4|50|42,49|12|112|34|31|119|4|50|42,0.001762114537444934,0.6672540381791484,1.0,1.0,0.001762114537444934
4,3|29,90,92,2,92|58|163|75|65,92|58|163|75|65,0.000881057268722467,0.6669603524229074,1.0,1.0,0.000881057268722467
7,7|12,64,62,2,62|75|5|194|95|19|3,62|75|5|194|95|19|3,0.0015418502202643172,0.6671806167400881,1.0,1.0,0.0015418502202643172
