conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
1,10|11|15|28|35,226,170,56,170|283,170|283,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
1,10|11|15|31|38,226,219,7,219|234,219|234,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
1,10|11|37|40|41,226,109,117,109|344,109|344,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
1,10|12|13|32|38,226,289,63,289|164,289|164,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
1,10|12|16|17|27,226,349,123,349|104,349|104,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
1,10|12|25|27|41,226,211,15,211|242,211|242,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
1,10|12|34|35|36,226,314,88,314|139,314|139,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
1,10|13|22|26|42,226,127,99,127|326,127|326,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
1,10|14|18|20|33,226,358,132,358|95,358|95,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
1,10|14|19|39|41,226,275,49,275|178,275|178,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
1,10|14|20|21|41,226,303,77,303|150,303|150,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
1,10|14|27|35|41,226,229,3,229|224,229|224,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
1,10|14|29|30|42,226,277,51,277|176,277|176,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
1,10|14|32|35|42,226,13,213,13|440,13|440,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
1,10|15|16|29|39,226,180,46,180|273,180|273,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
1,10|15|20|32|41,226,160,66,160|293,160|293,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
1,10|16|18|35|40,226,433,207,433|20,433|20,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
1,10|16|19|23|34,226,410,184,410|43,410|43,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
1,10|16|23|31|43,226,55,171,55|398,55|398,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
1,10|17|24|29|43,226,245,19,245|208,245|208,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
1,10|17|24|37|42,226,411,185,411|42,411|42,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
1,10|18|19|36|43,226,347,121,347|106,347|106,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
1,10|18|21|24|43,226,113,113,113|340,113|340,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
1,10|20|21|34|36,226,106,120,106|347,106|347,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
1,10|20|25|28|30,226,216,10,216|237,216|237,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
1,10|23|25|26|33,226,367,141,367|86,367|86,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
1,10|25|29|35|37,226,231,5,231|222,231|222,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
