conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
56,30,8,8,0,3,8|15|1|8|4|43|2|32|26|12|1|10|3|1|2|3|10|32|29|11|3|3|9|3|8|3|6|1|6|8|6|7|5|8|2|6|4|6|5|4|1|5|10|1|5|14|3|10|4|8|17|7|9|2|2|12|12,0.02338204592901879,0.6744606819763396,1.0,1.0,0.02338204592901879
53,24,8,8,0,3,8|20|8|6|4|1|19|7|14|24|6|2|17|4|13|1|18|28|6|13|3|12|6|1|17|3|6|11|7|23|4|22|3|5|5|8|12|7|19|7|1|7|11|3|2|3|3|2|2|9|16|13|2|4,0.022129436325678497,0.6740431454418928,1.0,1.0,0.022129436325678497
50,6,9,8,1,3|1,8|9|3|6|11|3|15|2|8|6|18|5|7|1|6|14|25|24|2|12|1|3|12|9|33|16|1|18|10|14|11|2|6|4|4|3|5|4|42|1|14|3|1|4|2|10|11|15|1|3|30,0.020876826722338204,0.673625608907446,1.0,1.0,0.020876826722338204
47,12,9,10,1,2,10|2|3|1|6|6|2|3|54|2|6|24|2|2|2|25|7|22|38|35|2|15|1|12|13|2|9|4|10|15|4|20|3|18|4|6|6|29|1|1|15|4|1|1|13|14|2|1,0.01962421711899791,0.6732080723729993,1.0,1.0,0.01962421711899791
51,13,9,10,1,8|7|2,10|9|6|11|8|6|8|4|1|13|7|15|4|4|13|8|3|25|33|5|7|8|14|23|12|5|2|5|1|4|12|2|2|3|7|14|33|3|1|2|7|25|18|17|9|1|11|15|7|2|5|8,0.02129436325678497,0.6737647877522616,1.0,1.0,0.02129436325678497
56,1,8,10,2,7,10|1|7|22|1|9|8|2|8|7|14|8|2|4|21|11|5|1|11|1|8|5|15|2|15|4|7|7|1|7|4|27|15|10|1|1|17|2|3|2|2|7|35|3|5|14|9|2|7|9|11|6|23|16|5|11|7,0.02338204592901879,0.6744606819763396,1.0,1.0,0.02338204592901879
57,31,8,6,2,3,6|10|22|11|3|9|3|5|4|5|6|17|42|13|4|5|9|15|1|6|14|6|17|6|11|1|3|9|3|1|2|7|4|11|4|3|21|3|18|3|12|5|14|10|7|5|13|2|17|5|7|11|1|4|1|12|1|8,0.023799582463465554,0.6745998608211551,1.0,1.0,0.023799582463465554
58,27,8,6,2,4|1|7,6|14|2|5|3|4|5|8|1|9|1|12|1|1|4|10|17|12|7|12|8|3|1|9|22|5|2|24|6|18|4|4|7|13|10|8|7|4|8|23|9|3|6|1|22|2|6|4|21|11|9|17|6|7|2|7|8|10|7,0.024217118997912318,0.6747390396659707,1.0,1.0,0.024217118997912318
49,11,9,7,2,1,7|4|1|19|8|39|12|6|2|1|3|6|8|7|5|9|3|8|24|6|3|1|3|28|1|16|10|5|20|1|17|7|24|3|22|18|1|10|9|11|11|4|12|2|9|9|15|5|14|9,0.02045929018789144,0.6734864300626304,1.0,1.0,0.02045929018789144
59,34,7,3,4,2,3|10|15|12|15|13|7|13|5|20|7|5|4|8|8|2|11|14|13|1|38|9|11|3|4|8|2|11|2|6|8|6|6|2|3|18|18|15|5|5|2|5|1|1|12|20|9|4|8|6|4|2|1|5|3|2|6|4|10|7,0.024634655532359082,0.6748782185107863,1.0,1.0,0.024634655532359082
65,32,7,11,4,2,11|1|2|17|2|5|14|9|6|11|23|9|2|7|6|1|7|3|4|22|2|5|1|11|10|9|3|7|2|9|11|4|2|33|7|18|1|6|2|2|2|2|2|32|8|1|15|2|3|1|4|1|2|14|1|5|3|2|8|11|14|17|3|2|10|6,0.027139874739039668,0.6757132915796799,1.0,1.0,0.027139874739039668
55,29,8,4,4,3,4|8|29|6|3|10|3|3|1|9|4|23|12|2|7|2|3|4|17|7|3|3|12|15|3|24|6|6|9|16|1|1|21|7|5|6|2|11|10|25|4|29|3|14|4|5|4|6|3|30|3|4|2|14|5|5,0.022964509394572025,0.674321503131524,1.0,1.0,0.022964509394572025
53,9,8,4,4,1|8,4|1|2|10|8|10|2|5|8|8|4|3|4|1|1|26|2|2|12|5|2|8|7|21|4|14|16|8|1|3|16|2|5|20|8|13|1|4|5|1|16|8|11|16|3|6|6|59|18|9|24|24|1|0,0.022129436325678497,0.6740431454418928,1.0,1.0,0.022129436325678497
55,25,8,3,5,3,3|2|1|14|1|2|2|17|6|8|22|19|10|5|3|2|9|12|3|2|11|2|2|5|11|3|10|8|11|12|8|8|5|3|6|9|30|20|21|3|4|1|4|9|16|11|14|7|6|54|4|3|3|4|1|6,0.022964509394572025,0.674321503131524,1.0,1.0,0.022964509394572025
58,23,8,13,5,1,13|5|8|1|6|12|6|18|23|2|5|5|13|1|17|4|9|1|4|1|9|14|4|13|8|5|3|1|4|2|10|2|8|26|2|27|11|11|9|1|3|6|11|2|3|1|11|3|1|12|10|1|4|18|22|2|13|3|28,0.024217118997912318,0.6747390396659707,1.0,1.0,0.024217118997912318
59,19,7,2,5,2,2|2|5|5|2|2|6|7|6|4|2|13|16|7|7|5|16|3|3|14|11|1|12|8|8|5|17|6|2|2|15|2|8|20|3|17|6|17|9|14|7|24|5|10|3|3|5|9|12|6|11|6|11|4|7|7|15|7|4|12,0.024634655532359082,0.6748782185107863,1.0,1.0,0.024634655532359082
