conteo,tupla,X,L,M,R,T,P,Pr,PrX,PrL,PrM
55,4,7,7,0,1,7|7|1|9|7|1|5|2|1|53|7|14|9|1|3|1|7|8|2|7|11|4|3|4|9|19|4|5|3|1|1|2|2|4|8|23|1|4|18|6|15|10|19|7|9|1|8|17|5|8|6|1|6|13|1|17,0.02570093457943925,0.6752336448598131,1.0,1.0,0.02570093457943925
61,25,6,5,1,1,5|8|6|8|9|1|8|11|3|7|16|8|3|4|12|5|12|10|4|1|9|11|3|14|7|1|4|2|12|1|6|1|14|7|4|6|7|5|2|1|1|9|7|1|20|1|8|1|2|26|7|18|2|4|6|26|5|4|10|9|1|1,0.02850467289719626,0.6761682242990653,1.0,1.0,0.02850467289719626
51,18,8,9,1,2,9|14|24|16|16|8|2|5|16|4|3|15|5|18|2|3|16|4|1|1|9|4|27|5|5|2|8|16|18|6|21|3|3|4|8|9|2|1|5|2|2|5|19|2|1|8|14|1|3|12|1|19,0.02383177570093458,0.6746105919003115,1.0,1.0,0.02383177570093458
50,16,8,7,1,5,7|5|9|8|4|18|18|5|4|6|16|5|5|7|25|11|1|4|3|1|1|1|10|25|2|9|5|14|12|1|2|16|10|5|14|4|6|4|1|7|2|3|7|15|5|6|35|4|7|12|20,0.02336448598130841,0.6744548286604362,1.0,1.0,0.02336448598130841
52,41,8,6,2,3|4|1,6|18|25|27|3|4|17|3|5|1|6|19|12|2|4|12|14|3|4|2|16|10|11|4|21|3|1|1|15|4|3|1|2|11|2|5|3|1|19|8|12|6|8|12|11|5|4|2|9|21|1|8|0,0.024299065420560748,0.6747663551401869,1.0,1.0,0.024299065420560748
49,3,8,10,2,4,10|3|5|2|19|18|9|6|14|17|5|8|8|31|4|4|1|8|20|6|6|3|4|1|1|7|4|2|9|1|3|4|10|6|23|3|2|4|12|4|4|13|6|32|19|18|10|5|1|12,0.022897196261682243,0.6742990654205608,1.0,1.0,0.022897196261682243
45,32,9,11,2,6,11|11|6|6|11|16|6|7|25|4|12|7|7|5|4|5|45|13|1|5|10|1|5|6|7|11|16|1|2|31|1|2|36|1|5|8|12|6|6|6|14|4|10|1|9|9,0.02102803738317757,0.6736760124610592,1.0,1.0,0.02102803738317757
47,35,8,10,2,3,10|17|3|1|10|13|10|13|4|3|29|8|1|1|21|2|2|11|8|3|3|3|6|1|14|3|3|2|22|4|1|40|7|1|8|13|14|9|13|6|12|18|5|4|6|19|15|5,0.021962616822429906,0.67398753894081,1.0,1.0,0.021962616822429906
57,12,7,9,2,1,9|1|2|8|16|17|1|3|8|32|8|6|1|4|14|5|4|14|10|3|3|14|2|7|2|2|3|1|15|17|2|29|25|1|1|7|8|5|3|2|3|5|2|17|4|1|1|18|1|24|14|7|4|1|5|2|3,0.02663551401869159,0.6755451713395639,1.0,1.0,0.02663551401869159
48,27,8,5,3,5|4|13|3,5|12|5|9|1|15|5|4|4|13|3|9|3|4|6|7|17|18|7|10|3|13|12|3|15|10|3|5|17|10|6|19|13|22|4|10|1|6|5|1|9|2|4|13|13|1|23|21|6,0.022429906542056073,0.6741433021806853,1.0,1.0,0.022429906542056073
