conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
35,13,12,14,2,3,14|3|2|18|6|16|5|4|5|7|3|12|30|20|13|6|14|4|22|11|22|3|27|23|3|6|10|21|1|14|21|7|2|22|9|30,0.08009153318077804,0.6933638443935927,1.0,1.0,0.08009153318077804
22,1,18,21,3,10|14|2,21|10|14|41|75|14|22|10|51|10|8|49|2|23|6|2|14|6|5|43|5|3|2,0.05034324942791762,0.6834477498093059,1.0,1.0,0.05034324942791762
25,5,16,20,4,6,20|10|3|11|41|2|16|1|6|14|8|8|28|34|12|5|6|11|6|22|34|10|52|39|20|17,0.057208237986270026,0.6857360793287567,1.0,1.0,0.057208237986270026
36,7,11,16,5,2,16|9|2|44|6|28|1|12|3|2|5|20|6|11|22|1|21|32|2|6|2|3|5|7|30|5|13|9|12|16|8|8|3|15|36|1|14,0.08237986270022883,0.6941266209000764,1.0,1.0,0.08237986270022883
31,3,13,6,7,6|1,6|20|9|6|21|27|4|51|3|27|20|1|4|39|12|2|1|2|6|8|10|1|15|18|13|3|5|8|40|19|28|7,0.07093821510297482,0.6903127383676583,1.0,1.0,0.07093821510297482
24,10,17,10,7,10|1|4,10|1|41|29|7|6|5|1|16|46|10|31|3|4|16|80|4|52|1|17|10|13|29|4|0,0.05491990846681922,0.684973302822273,1.0,1.0,0.05491990846681922
30,16,14,23,9,6,23|5|6|14|7|12|5|24|5|7|6|6|43|33|20|1|17|23|20|35|9|3|24|6|32|21|3|10|4|1|11,0.06864988558352403,0.6895499618611747,1.0,1.0,0.06864988558352403
42,11,10,0,10,1,0|2|1|4|17|54|19|16|6|19|15|3|10|4|9|1|1|3|2|12|7|30|11|10|9|16|4|1|16|5|15|6|11|1|36|8|8|1|2|9|5|9|18,0.09610983981693363,0.4753699466056445,0.33,1.0,0.09610983981693363
35,2,12,1,11,2,1|12|16|3|8|2|11|37|19|17|3|17|3|3|5|2|8|4|37|5|11|36|2|8|2|2|13|31|20|11|22|6|11|20|9|19,0.08009153318077804,0.6933638443935927,1.0,1.0,0.08009153318077804
28,4,15,4,11,5|6|1,4|5|6|3|18|11|9|2|3|23|137|1|5|4|13|19|28|20|6|20|6|1|11|14|5|17|21|1|23,0.06407322654462243,0.6880244088482074,1.0,1.0,0.06407322654462243
26,8,16,5,11,3|4,5|3|4|10|28|7|3|42|40|18|13|17|3|78|4|8|17|20|27|14|4|16|15|18|1|15|6,0.059496567505720827,0.6864988558352403,1.0,1.0,0.059496567505720827
16,15,25,39,14,31|12|6|28,39|31|12|9|26|14|6|40|6|28|12|22|59|1|28|72|31,0.036613272311212815,0.6788710907704042,1.0,1.0,0.036613272311212815
22,12,18,38,20,7|11,38|13|18|7|3|32|11|11|17|19|16|7|9|11|8|28|25|9|2|62|7|58|25,0.05034324942791762,0.6834477498093059,1.0,1.0,0.05034324942791762
22,14,18,46,28,1,46|17|11|24|29|3|13|46|29|10|1|1|3|14|41|4|27|38|7|59|4|8|1,0.05034324942791762,0.6834477498093059,1.0,1.0,0.05034324942791762
22,6,18,49,31,16|10|5|50,49|16|10|32|5|23|6|50|41|7|50|26|1|16|9|27|11|10|5|8|14|17|3,0.05034324942791762,0.6834477498093059,1.0,1.0,0.05034324942791762
21,9,19,54,35,12|2|3|16,54|12|26|23|19|2|3|12|4|21|24|78|16|3|6|33|16|35|11|2|28|8,0.04805491990846682,0.6826849733028223,1.0,1.0,0.04805491990846682
