conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
2,6|18|22,152,152,0,152|233|72,152|233|72,0.0004366812227074236,0.6668122270742357,1.0,1.0,0.0004366812227074236
1,3|22|43,228,228,0,228|229,228|229,0.0002183406113537118,0.6667394468704512,1.0,1.0,0.0002183406113537118
1,3|38|43,228,228,0,228|229,228|229,0.0002183406113537118,0.6667394468704512,1.0,1.0,0.0002183406113537118
1,3|22|38,228,228,0,228|229,228|229,0.0002183406113537118,0.6667394468704512,1.0,1.0,0.0002183406113537118
2,16|18|22,152,152,0,152|165|140,152|165|140,0.0004366812227074236,0.6668122270742357,1.0,1.0,0.0004366812227074236
1,3|4|38,228,228,0,228|229,228|229,0.0002183406113537118,0.6667394468704512,1.0,1.0,0.0002183406113537118
1,22|38|43,228,228,0,228|229,228|229,0.0002183406113537118,0.6667394468704512,1.0,1.0,0.0002183406113537118
1,3|4|22,228,228,0,228|229,228|229,0.0002183406113537118,0.6667394468704512,1.0,1.0,0.0002183406113537118
1,4|22|43,228,228,0,228|229,228|229,0.0002183406113537118,0.6667394468704512,1.0,1.0,0.0002183406113537118
1,20|25|43,228,227,1,227|230,227|230,0.0002183406113537118,0.6667394468704512,1.0,1.0,0.0002183406113537118
1,26|38|39,228,229,1,229|228,229|228,0.0002183406113537118,0.6667394468704512,1.0,1.0,0.0002183406113537118
1,15|35|43,228,227,1,227|230,227|230,0.0002183406113537118,0.6667394468704512,1.0,1.0,0.0002183406113537118
1,15|25|43,228,227,1,227|230,227|230,0.0002183406113537118,0.6667394468704512,1.0,1.0,0.0002183406113537118
1,15|25|35,228,227,1,227|230,227|230,0.0002183406113537118,0.6667394468704512,1.0,1.0,0.0002183406113537118
1,15|20|43,228,227,1,227|230,227|230,0.0002183406113537118,0.6667394468704512,1.0,1.0,0.0002183406113537118
1,15|20|35,228,227,1,227|230,227|230,0.0002183406113537118,0.6667394468704512,1.0,1.0,0.0002183406113537118
1,15|20|25,228,227,1,227|230,227|230,0.0002183406113537118,0.6667394468704512,1.0,1.0,0.0002183406113537118
1,25|35|43,228,227,1,227|230,227|230,0.0002183406113537118,0.6667394468704512,1.0,1.0,0.0002183406113537118
3,4|26|32,114,115,1,115|55|21|266,115|55|21|266,0.0006550218340611354,0.6668850072780205,1.0,1.0,0.0006550218340611354
3,8|15|27,114,113,1,113|98|88|158,113|98|88|158,0.0006550218340611354,0.6668850072780205,1.0,1.0,0.0006550218340611354
1,8|26|31,228,229,1,229|228,229|228,0.0002183406113537118,0.6667394468704512,1.0,1.0,0.0002183406113537118
2,11|34|39,152,151,1,151|13|293,151|13|293,0.0004366812227074236,0.6668122270742357,1.0,1.0,0.0004366812227074236
3,8|26|32,114,115,1,115|67|9|266,115|67|9|266,0.0006550218340611354,0.6668850072780205,1.0,1.0,0.0006550218340611354
1,8|26|38,228,229,1,229|228,229|228,0.0002183406113537118,0.6667394468704512,1.0,1.0,0.0002183406113537118
1,8|26|39,228,229,1,229|228,229|228,0.0002183406113537118,0.6667394468704512,1.0,1.0,0.0002183406113537118
1,31|38|39,228,229,1,229|228,229|228,0.0002183406113537118,0.6667394468704512,1.0,1.0,0.0002183406113537118
2,9|22|40,152,153,1,153|157|147,153|157|147,0.0004366812227074236,0.6668122270742357,1.0,1.0,0.0004366812227074236
2,9|25|40,152,153,1,153|157|147,153|157|147,0.0004366812227074236,0.6668122270742357,1.0,1.0,0.0004366812227074236
1,8|31|38,228,229,1,229|228,229|228,0.0002183406113537118,0.6667394468704512,1.0,1.0,0.0002183406113537118
1,2|19|34,228,226,2,226|231,226|231,0.0002183406113537118,0.6667394468704512,1.0,1.0,0.0002183406113537118
1,18|31|33,228,230,2,230|227,230|227,0.0002183406113537118,0.6667394468704512,1.0,1.0,0.0002183406113537118
1,18|33|42,228,230,2,230|227,230|227,0.0002183406113537118,0.6667394468704512,1.0,1.0,0.0002183406113537118
1,18|34|42,228,230,2,230|227,230|227,0.0002183406113537118,0.6667394468704512,1.0,1.0,0.0002183406113537118
2,14|26|40,152,154,2,154|216|87,154|216|87,0.0004366812227074236,0.6668122270742357,1.0,1.0,0.0004366812227074236
1,19|27|34,228,226,2,226|231,226|231,0.0002183406113537118,0.6667394468704512,1.0,1.0,0.0002183406113537118
