conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
3,22|25|37,114,114,0,114|104|220|21,114|104|220|21,0.0006521739130434783,0.6668840579710146,1.0,1.0,0.0006521739130434783
2,8|11|35,153,153,0,153|180|126,153|180|126,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,1|21|34,229,229,0,229|230,229|230,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,1|21|35,229,229,0,229|230,229|230,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,1|8|35,229,229,0,229|230,229|230,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,1|8|21,229,229,0,229|230,229|230,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,8|34|35,229,229,0,229|230,229|230,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,21|34|35,229,229,0,229|230,229|230,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
2,11|15|35,153,153,0,153|23|283,153|23|283,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,1|34|35,229,229,0,229|230,229|230,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,8|21|34,229,229,0,229|230,229|230,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
3,2|22|37,114,114,0,114|16|193|136,114|16|193|136,0.0006521739130434783,0.6668840579710146,1.0,1.0,0.0006521739130434783
1,8|21|35,229,229,0,229|230,229|230,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,2|3|31,229,230,1,230|229,230|229,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,2|3|10,229,230,1,230|229,230|229,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,12|31|43,229,228,1,228|231,228|231,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
2,28|31|40,153,152,1,152|117|190,152|117|190,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|31|33,229,228,1,228|231,228|231,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
