idSorteo,n1,n2,n3,n4,n5,sb,delta
2098,26,29,39,42,43,4,CJCAY
2097,6,21,22,34,36,10,ÑALBM
2096,6,19,20,37,38,10,MAPAK
2095,1,5,8,14,40,8,DCFYD
2094,7,8,21,30,42,2,AMILH
2093,9,15,25,27,33,13,FJBFR
2092,7,14,20,34,41,4,GFNGI
2091,1,4,5,16,30,7,CAKNN
2090,1,15,22,36,37,13,NGNAG
2089,8,12,18,40,43,4,DFUCH
2088,3,9,12,34,35,13,FCUAK
2087,8,29,32,34,42,5,TCBHI
2086,9,12,16,21,30,1,CDEIU
2085,3,5,25,30,42,8,BSELD
2084,4,23,28,29,31,16,REABO
2083,4,8,9,28,37,11,DARIJ
2082,2,5,10,23,34,7,CEMKK
2081,22,23,27,28,30,3,ADABg
2080,3,19,34,37,43,7,OÑCFC
2079,6,10,25,31,36,16,DÑFEM
2078,3,12,19,20,24,2,IGADU
2077,5,7,11,16,29,5,BDEMR
2076,27,31,32,42,43,1,DAJAZ
2075,17,18,36,37,42,2,AQAEQ
2074,4,31,37,41,42,5,ZFDAE
2073,2,23,30,33,40,16,TGCGE
2072,5,7,11,17,22,3,BDFEY
2071,13,20,25,30,35,4,GEEET
2070,2,20,32,37,43,13,QLEFB
2069,10,16,23,31,43,12,FGHLJ
2068,14,28,33,34,35,15,NEAAU
2067,4,6,27,35,39,2,BTHDH
2066,1,4,21,27,33,3,CPFFK
2065,1,13,16,19,20,2,LCCAW
2064,6,8,15,32,33,13,BGPAO
2063,6,17,22,30,42,5,KEHLG
2062,5,7,8,12,25,1,BADMV
2061,4,6,17,24,25,14,BKGAU
2060,11,21,22,38,42,4,JAODL
2059,3,4,5,7,21,16,AABNX
2058,4,15,31,36,40,6,KOEDG
2057,7,15,23,29,35,8,HHFFÑ
2056,6,13,17,33,38,12,GDOEK
2055,1,10,11,23,33,10,IALJK
2054,14,19,21,22,23,2,EBAAf
2053,7,15,22,25,32,9,HGCGQ
2052,17,24,26,28,40,16,GBBLS
2051,7,14,18,27,28,4,GDIAU
2050,1,14,36,37,40,8,MUACD
2049,8,28,33,41,43,4,SEHBH
2048,6,29,37,39,43,13,VHBDF
2047,16,21,24,26,33,8,ECBGY
2046,5,19,24,27,29,4,NECBR
2045,12,19,24,37,42,3,GEMEM
2044,5,12,23,28,35,14,GKEGM
2043,1,8,14,28,34,13,GFNFJ
2042,9,24,25,27,40,6,ÑABML
2041,1,3,12,15,23,9,BICHT
2040,5,10,21,28,42,16,EKGNF
2039,5,13,19,21,25,13,HFBDV
2038,7,19,27,31,36,12,LHDEN
2037,7,15,23,30,32,15,HHGBQ
2036,2,21,22,30,34,7,RAHDK
2035,6,18,34,40,43,16,LOFCF
2034,17,20,26,35,40,13,CFIES
2033,12,19,20,33,37,14,GAMDQ
2032,3,5,11,25,29,6,BFNDP
